Source,Target
5384,39031
5384,47862
5384,50602
5384,50811
5384,51182
5384,56479
5384,57143
5384,57163
5384,57171
5384,58283
5384,58287
5384,59695
5384,197024
5384,197381
5384,198157
5384,198503
5384,201340
5384,201678
5384,201700
5384,202024
5384,202041
8966,5384
8966,44703
8966,47201
15802,5613
15802,33847
15802,51182
15802,57187
15802,57702
15802,58287
15802,59695
15802,197024
15802,197381
15802,198247
15802,198503
15802,199878
15802,201340
15802,201700
39031,47862
47862,50602
47862,51182
47862,52216
47862,56479
47862,57143
47862,57163
47862,57171
47862,58283
47862,61137
57187,59868
57187,60080
57187,60140
57187,60924
198157,198129
