Source,Target
9230,24342
9230,55846
9230,58695
9230,58737
9230,59242
9230,59321
9230,134109
9441,38011
9441,63957
9441,133633
9441,133949
9441,134128
9441,134159
17469,17641
17469,38315
17469,55344
17806,7565
17806,9230
17806,9832
17806,23893
17806,23923
17806,23991
17806,24122
17806,24342
17806,24432
17806,38017
17806,38069
17806,38203
17806,38210
17806,38259
17806,38562
17806,38721
17806,38744
17806,45245
17806,45326
17806,45904
17806,45925
17806,45951
17806,55406
17806,55828
17806,56121
17806,56138
17806,58599
17806,58715
17806,58826
17806,58912
17806,59340
17806,59341
17806,63932
23688,58695
23688,63987
23688,133610
23893,59236
23893,59321
23923,9230
23923,23956
23923,59209
23923,63923
23923,63939
23923,63952
23923,132502
23923,133083
23956,38054
23956,58581
23956,58926
23956,63952
23956,132801
23956,133430
23956,133854
23956,134146
23991,58814
24122,9651
24122,9825
24122,17641
24122,24050
24122,24323
24122,58445
24122,58581
24122,58814
24122,63890
24122,134113
24323,55344
24323,58445
24323,58917
24323,59242
24323,63914
24323,132604
24323,134109
24342,9651
24342,63851
38026,58919
38026,58947
38026,63984
38071,58926
38203,63932
38592,17469
38712,58935
38712,63851
38712,132801
45273,58657
55828,58947
58587,7565
58587,9832
58587,24122
58587,38011
58587,45245
58587,45925
58587,45951
58587,56054
58587,56138
58587,58616
58587,58656
58587,58662
58587,58688
58587,58689
58587,58704
58587,58782
58587,58945
58587,59341
58587,63526
58587,63980
58587,132306
58587,132341
58587,132442
58587,133034
58587,133155
58599,9230
58599,23688
58599,58736
58601,18230
58601,23893
58601,24323
58601,24432
58601,38071
58601,38315
58601,38493
58601,38614
58601,55492
58601,55708
58601,56115
58601,58800
58601,58889
58601,58912
58601,59203
58601,59315
58601,59316
58601,59353
58601,59362
58601,59365
58601,59382
58601,63844
58601,133331
58601,133954
58601,133957
58601,134077
58601,134084
58601,134135
58601,134146
58601,134204
58601,134371
58629,23923
58629,23991
58629,24432
58629,38200
58629,45951
58629,132602
58656,9832
58656,23923
58656,23956
58656,23991
58656,24342
58656,24389
58656,24556
58656,38017
58656,38026
58656,38069
58656,38071
58656,38192
58656,38256
58656,38313
58656,38712
58656,38744
58656,45245
58656,45276
58656,55550
58656,55828
58656,56264
58656,58701
58656,58736
58656,58813
58656,58946
58656,59332
58656,63526
58656,132598
58656,132606
58656,132684
58656,133605
58668,38203
58668,58665
58668,58691
58672,45904
58682,9441
58682,9832
58682,17471
58682,24389
58682,24556
58682,38036
58682,38192
58682,38256
58682,38493
58682,38556
58682,38614
58682,38721
58682,45176
58682,45925
58682,55828
58682,56264
58682,58805
58682,59365
58682,133605
58682,134226
58688,38067
58688,38313
58688,45276
58688,55733
58688,58813
58689,38011
58689,45766
58691,38138
58691,58749
58691,58752
58691,58886
58691,58892
58691,58953
58691,59353
58691,59375
58691,63944
58691,133109
58691,133153
58691,133180
58691,133439
58691,133608
58691,134404
58699,55406
58701,63963
58704,17469
58704,18230
58704,38030
58704,45276
58704,55550
58704,132884
58715,17471
58715,38026
58715,38031
58715,38071
58715,38212
58715,38555
58715,38556
58715,38558
58715,45276
58715,45766
58715,45951
58715,55406
58715,55550
58715,55733
58715,58768
58715,58926
58715,63957
58715,63996
58715,134084
58715,134128
58715,134226
58715,134404
58717,17471
58717,24342
58717,24481
58717,38192
58717,38256
58717,38562
58717,38592
58717,45326
58717,45766
58717,45905
58717,45951
58717,55492
58717,55708
58717,56054
58717,56115
58717,56121
58717,56138
58717,58736
58717,58768
58717,58813
58717,58890
58717,58912
58717,59249
58717,59340
58717,59341
58717,59347
58717,131179
58717,133155
58717,133331
58717,133443
58717,133605
58717,133854
58717,133957
58717,134108
58782,58689
58782,63840
58803,38031
58889,134116
58889,134201
58889,134236
58923,58889
58923,58919
58923,59362
58923,59382
58923,63526
58923,63923
58923,133854
58923,133954
58923,133957
58945,38036
58945,133374
59347,133954
63952,55531
132267,9230
132267,17471
132267,24342
132267,24432
132267,38712
132267,38721
132267,45268
132267,58629
132267,58684
132267,58685
132267,58826
132267,58923
132267,132602
132442,23956
132442,132684
132602,38203
132602,58616
132602,58656
132602,58672
132602,58682
132602,58717
132602,132106
132884,58691
132884,58717
132884,58782
132884,132575
133854,134382
134084,38036
134109,58917
