Source,Target
2611,15383
2611,16326
2611,21239
2611,25344
2611,31511
2611,35733
2611,42744
2611,49046
2611,198559
2611,199670
2611,201205
5432,3304
5432,5488
5432,6716
5432,8221
5432,13088
5432,15776
5432,15983
5432,21108
5432,21373
5432,21424
5432,25428
5432,28704
5432,28827
5432,29005
5432,29595
5432,34167
5432,41233
5432,41282
5432,42851
5432,49333
5432,56808
5432,200133
5432,200911
5488,25024
5488,48075
5488,48260
5488,200146
6774,5432
6774,31669
6774,34762
6774,39923
6774,43256
6774,50998
6848,8221
6848,12763
6848,13088
6848,15583
6848,21108
6848,21139
6848,24998
6848,25136
6848,25428
6848,30961
6848,31154
6848,31612
6848,39804
6848,41008
6848,41233
6848,41282
6848,42018
6848,42329
6848,42744
6848,42851
6848,43751
6848,48137
6848,48638
6848,49333
6848,50906
6848,56799
6848,56808
6848,60436
6848,197429
6848,199777
6848,199796
6848,202191
6848,202225
8201,35040
8201,56837
8368,44806
8368,48517
8368,49285
8368,59889
8368,197483
8368,200177
8368,201067
8368,201168
9031,35001
9031,41604
9031,42628
9031,50675
9031,57948
9031,61023
9166,41008
9208,33864
9208,41035
9208,49677
12392,9208
21175,41756
28707,21239
28707,29435
28707,49621
28707,199670
28707,201894
30961,50906
31669,41778
34144,47861
34762,28747
39318,48408
39923,31669
39923,50156
39923,57948
43751,6716
47377,9166
47377,31237
47377,35056
47377,35733
47377,39579
47377,50998
47377,56799
47377,202191
48408,201110
48408,201366
49677,197690
49964,31309
49964,39234
49964,44140
49964,50675
49964,61023
49964,196755
49964,197690
49964,198847
50083,41035
50156,35627
56799,60780
57948,50156
59547,8221
59547,200911
201984,201050
