Source,Target
2111,47174
3245,197997
6802,5421
6802,8745
6802,28949
6802,35503
6802,41352
6802,47174
6802,48155
8262,6802
8262,8431
8262,8745
8262,8860
8262,8866
8262,8880
8262,12795
8262,12796
8262,12829
8262,13124
8262,15669
8262,21230
8262,25206
8262,29084
8262,31420
8262,34340
8262,34376
8262,34395
8262,35480
8262,41703
8262,41803
8262,42081
8262,42191
8262,43732
8262,44886
8262,48452
8262,49849
8262,50020
8262,50103
8262,51189
8262,56546
8262,57237
8262,57344
8262,57813
8262,57912
8262,59429
8262,59639
8262,59851
8262,60147
8262,60447
8262,60590
8262,61082
8262,61301
8262,197069
8262,197184
8262,197216
8262,197236
8262,197741
8262,198202
8262,198388
8262,201215
8390,25407
8390,31298
8390,34074
8390,34272
8390,34589
8390,34753
8390,35194
8390,41764
8390,41803
8390,42815
8390,47771
8390,47874
8390,49233
8390,50020
8390,51987
8390,57546
8390,57813
8390,57912
8390,59582
8390,60097
8390,60447
8390,60752
8431,31011
8431,60147
8717,3187
8717,5421
8717,8672
8717,8808
8717,8877
8717,8880
8717,12564
8717,12591
8717,12716
8717,12756
8717,12815
8717,15362
8717,15534
8717,16127
8717,16193
8717,20911
8717,21337
8717,24693
8717,24964
8717,29080
8717,29210
8717,29343
8717,29366
8717,29580
8717,31014
8717,31140
8717,31250
8717,31287
8717,31369
8717,31440
8717,31534
8717,33825
8717,34224
8717,34491
8717,34569
8717,35141
8717,35183
8717,35194
8717,35464
8717,39357
8717,39505
8717,41093
8717,41234
8717,41292
8717,41352
8717,41730
8717,41799
8717,41889
8717,41901
8717,41922
8717,42295
8717,42625
8717,42735
8717,42794
8717,42844
8717,43063
8717,43548
8717,43561
8717,43651
8717,43718
8717,43943
8717,44129
8717,44179
8717,44201
8717,44396
8717,44805
8717,44886
8717,47647
8717,47874
8717,48064
8717,48115
8717,48155
8717,48458
8717,48745
8717,48746
8717,48917
8717,49421
8717,49738
8717,49950
8717,50194
8717,50431
8717,50506
8717,51374
8717,51383
8717,51581
8717,51605
8717,51830
8717,51855
8717,51925
8717,56371
8717,56539
8717,56661
8717,59429
8717,60092
8717,60578
8717,60956
8717,60966
8717,61321
8717,61427
8717,62037
8717,62106
8717,62411
8717,62418
8717,196738
8717,196781
8717,196807
8717,197055
8717,197086
8717,197184
8717,197232
8717,197516
8717,197719
8717,198003
8717,198280
8717,198388
8717,198576
8717,198790
8717,198868
8717,198938
8717,198940
8717,199169
8717,199282
8717,199898
8717,200422
8717,201406
8717,201642
8808,56856
8866,3187
8866,3245
8866,8734
8866,8795
8866,8877
8866,12564
8866,12795
8866,12815
8866,12962
8866,13172
8866,13236
8866,16154
8866,16193
8866,16344
8866,24693
8866,24750
8866,25166
8866,25407
8866,25556
8866,28909
8866,28949
8866,29084
8866,29122
8866,29210
8866,31140
8866,31287
8866,31291
8866,31420
8866,31435
8866,31440
8866,31522
8866,31527
8866,31534
8866,34074
8866,34224
8866,34295
8866,34753
8866,35122
8866,35183
8866,35464
8866,35654
8866,39135
8866,39163
8866,39177
8866,39357
8866,39401
8866,39601
8866,39635
8866,41093
8866,41339
8866,41799
8866,41803
8866,41901
8866,41922
8866,42049
8866,42191
8866,42410
8866,42431
8866,42555
8866,42625
8866,42794
8866,43202
8866,43548
8866,43561
8866,43651
8866,43713
8866,43732
8866,43778
8866,43943
8866,44077
8866,44201
8866,44396
8866,44586
8866,44718
8866,44781
8866,44851
8866,47410
8866,47849
8866,48264
8866,48745
