Source,Target
271,4476
271,11105
271,13764
271,16462
271,25689
271,32956
271,33314
271,36000
271,36391
271,55185
271,62692
271,393249
271,393966
376,566
376,577
376,806
376,812
376,852
376,5645
376,5769
376,6509
376,11032
376,11290
376,11489
376,12277
376,13552
376,13864
376,13942
376,15318
376,22652
376,22953
376,25689
376,31930
376,32555
376,32563
376,36786
376,40191
376,40206
376,40660
376,53437
376,54783
376,55176
549,239
549,802
549,5645
549,10265
549,11628
549,11666
549,11851
549,13733
549,19350
549,19925
549,22652
549,26996
549,30045
549,32156
549,40191
549,46626
549,53566
549,54070
549,63327
549,393877
577,271
577,603
577,803
577,812
577,818
577,852
577,855
577,2669
577,3804
577,3848
577,3958
577,4470
577,4540
577,5690
577,5769
577,5788
577,6280
577,6327
577,6407
577,6539
577,7312
577,7788
577,10264
577,10265
577,10808
577,10929
577,11031
577,11033
577,11181
577,11342
577,11522
577,11814
577,11831
577,12188
577,12226
577,13319
577,13441
577,13468
577,13851
577,13911
577,14007
577,14014
577,14112
577,14152
577,14240
577,14426
577,14453
577,14894
577,15000
577,15031
577,15127
577,15290
577,15321
577,15348
577,16438
577,16487
577,16605
577,16751
577,16949
577,17023
577,17266
577,17328
577,17358
577,18637
577,18705
577,19171
577,19394
577,19432
577,19515
577,19608
577,19696
577,19737
577,19842
577,20010
577,20161
577,21570
577,21722
577,21724
577,21804
577,21949
577,22113
577,22573
577,22639
577,22652
577,22910
577,23217
577,23252
577,23419
577,25668
577,25797
577,25946
577,26198
577,26884
577,27181
577,27272
577,27293
577,27299
577,30431
577,30466
577,30713
577,30715
577,32006
577,32277
577,32453
577,32564
577,32820
577,33007
577,33017
577,33162
577,33303
577,33610
577,35843
577,35947
577,36030
577,36031
577,36052
577,36205
577,36369
577,36452
577,36522
577,36543
577,40108
577,40124
577,40126
577,40282
577,40341
577,40473
577,40560
577,40688
577,40788
577,40867
577,46135
577,46184
577,46872
577,46959
577,53390
577,53442
577,53494
577,53564
577,53583
577,53829
577,53987
577,54175
577,54233
577,54307
577,54353
577,54454
577,54777
577,54788
577,54826
577,54915
577,54916
577,55055
577,55124
577,62593
577,62649
577,62706
577,62770
577,62921
577,62925
577,63278
577,393468
577,393686
577,393952
603,6539
603,8104
603,19276
603,21834
603,26323
603,36068
803,852
803,4143
803,5645
803,10980
803,18968
803,19928
803,22950
803,26206
803,27628
803,30324
803,36479
803,46612
803,46920
803,393598
803,393607
803,393891
812,611
812,819
