Source,Target
513,1297
513,3303
513,6776
513,8235
513,12333
513,12350
513,13030
513,15479
513,15547
513,20932
513,25091
513,28810
513,29222
513,33845
513,34288
513,34781
513,43189
513,48751
513,61339
559,513
559,1836
559,8235
559,13030
559,20932
559,25021
559,25091
559,29222
559,34288
559,34781
559,50837
559,202123
1836,3303
1836,6772
1836,6776
1836,8235
1836,8302
1836,8408
1836,8758
1836,8821
1836,9044
1836,9092
1836,12333
1836,12347
1836,12350
1836,12649
1836,13154
1836,13250
1836,15479
1836,15517
1836,15547
1836,15576
1836,15600
1836,15623
1836,15716
1836,16242
1836,20612
1836,20868
1836,20893
1836,20932
1836,20984
1836,21040
1836,21069
1836,21232
1836,24889
1836,24951
1836,25091
1836,25375
1836,25563
1836,28859
1836,29097
1836,29222
1836,29655
1836,29691
1836,30727
1836,30935
1836,31424
1836,31662
1836,31736
1836,33845
1836,33965
1836,34146
1836,34288
1836,34554
1836,34617
1836,34781
1836,34960
1836,35276
1836,35635
1836,41655
1836,41913
1836,42346
1836,43284
1836,43477
1836,43735
1836,44361
1836,48885
1836,48971
1836,49071
1836,49237
1836,49489
1836,49520
1836,49867
1836,49983
1836,50837
1836,51395
1836,51450
1836,51852
1836,51873
1836,59414
1836,59622
1836,59758
1836,59761
1836,61287
1836,197742
1836,197763
1836,198249
1836,198385
1836,198738
1836,198905
1836,199554
1836,199567
1836,202194
3303,559
3303,6730
3303,8235
3303,8300
3303,8302
3303,8408
3303,8729
3303,8803
3303,8883
3303,9042
3303,9096
3303,9101
3303,12333
3303,12350
3303,12429
3303,12511
3303,12620
3303,12649
3303,12651
3303,12750
3303,12776
3303,12928
3303,13030
3303,13250
3303,13267
3303,13283
3303,15398
3303,15517
3303,15532
3303,15576
3303,15600
3303,15623
3303,15661
3303,16079
3303,16114
3303,16242
3303,20700
3303,20743
3303,20988
3303,21190
3303,21217
3303,21222
3303,24951
3303,24952
3303,25031
3303,25091
3303,25275
3303,25289
3303,25598
3303,28916
3303,29058
3303,29222
3303,29416
3303,29430
3303,29500
3303,29691
3303,30934
3303,31097
3303,31141
3303,31424
3303,31592
3303,31736
3303,33845
3303,33849
3303,34261
3303,34288
3303,34532
3303,34781
3303,35231
3303,35276
3303,35495
3303,35507
3303,35610
3303,39132
3303,39166
3303,39265
3303,39296
3303,39624
3303,41294
3303,41396
3303,41503
3303,41521
3303,41577
3303,41768
3303,42079
3303,42662
3303,42917
3303,43107
3303,43127
3303,43136
3303,43189
3303,43572
3303,43828
3303,44038
3303,44635
3303,47299
3303,47538
3303,47617
3303,47803
3303,47946
3303,48060
3303,48138
3303,48307
3303,48482
3303,48751
3303,48789
3303,48857
3303,48885
3303,49446
3303,49520
3303,49837
3303,49942
3303,50110
3303,50117
3303,50350
3303,50405
3303,50609
3303,50849
3303,51395
3303,51688
3303,51817
3303,51820
3303,51877
3303,52089
3303,57370
3303,59622
3303,60190
3303,60374
3303,60390
3303,60420
3303,61042
3303,196651
3303,197380
3303,197525
3303,197827
3303,198172
3303,198175
3303,198249
3303,198534
3303,198808
3303,199225
3303,199642
3303,199802
3303,200544
3303,200925
3303,200987
3303,201344
3303,201436
3303,201586
3303,201590
3303,201870
3303,202229
5426,6730
6730,513
6730,6772
6730,6837
6730,6893
6730,8302
6730,8640
6730,8703
6730,8729
6730,9042
6730,9100
6730,12350
6730,12511
6730,12928
6730,13030
6730,13267
6730,15513
6730,15517
6730,15532
6730,15575
6730,15585
6730,15600
6730,15675
6730,21047
6730,21102
6730,21190
6730,21405
6730,21434
6730,24585
6730,25090
6730,25091
6730,25164
6730,25420
6730,25563
6730,28749
6730,28859
6730,29058
6730,29296
6730,29356
6730,29641
6730,30934
6730,31004
6730,31052
6730,31141
6730,33845
6730,35396
6730,38940
6730,39132
6730,39457
6730,39750
6730,39764
6730,42168
6730,43549
6730,43828
6730,44601
6730,44635
6730,44879
6730,47649
6730,48060
6730,48258
6730,48307
6730,48468
6730,48766
6730,48885
6730,49071
6730,49457
6730,51423
6730,51817
6730,52089
6730,57502
6730,59622
6730,60190
6730,60364
6730,197312
6730,199802
6730,200167
6730,200173
6730,200925
6730,200987
6730,201345
6772,8758
6772,9100
6772,13030
6772,20932
6772,25091
6772,29222
6772,34288
6772,34781
6772,43735
6772,44879
6772,48776
6772,58260
6772,59824
6772,197439
6772,199178
6775,20932
6775,25091
6775,29222
6775,34288
6775,34781
6775,60728
6776,8758
6776,20932
6776,25091
6776,29222
6776,34288
6776,34781
6898,39616
6898,198483
6898,200726
6898,202032
8235,8758
8235,20932
8235,25091
8235,29222
8235,34288
8235,34781
8247,39037
8247,41482
8271,20932
8271,25091
8300,21273
8302,12350
8302,20932
8302,25091
8302,29222
8302,34288
8302,34781
8758,6898
8758,9044
8758,12333
8758,12347
8758,12350
8758,13030
8758,13250
8758,15398
8758,15517
8758,15547
8758,15600
8758,15623
8758,16242
8758,20612
8758,20893
8758,20932
8758,20984
8758,21069
8758,21232
8758,24889
8758,24951
8758,25091
8758,25375
8758,29097
8758,29222
8758,29655
8758,29691
8758,31662
8758,31736
8758,33845
8758,33965
8758,34146
8758,34288
8758,34578
8758,34781
8758,39040
8758,41872
8758,41913
8758,42346
8758,47617
8758,47908
8758,48971
8758,49071
8758,49489
8758,49983
8758,50837
8758,51395
8758,51852
8758,59622
8758,59761
8758,60390
8758,61287
8758,196621
8758,198738
8758,199376
8758,199811
8758,199819
8758,201505
8821,12350
8821,12750
8821,29222
8821,34288
8821,35518
8821,41294
8821,198175
9044,2612
9044,12350
9044,13030
9044,16242
9044,20914
9044,20932
9044,25091
9044,29222
9044,29296
9044,34288
9044,34438
9044,34781
9044,35034
9044,51820
9044,62044
9044,199376
9092,20932
9092,25091
9092,34288
9092,34781
12333,8801
12333,13030
12333,20932
12333,25091
12333,29222
12333,34288
12333,34781
12333,39409
12333,48590
12347,12350
12347,20932
12347,25091
12347,29222
12347,34288
12347,34781
12350,9101
12350,13030
12350,13250
12350,15517
12350,15576
12350,15600
12350,15716
12350,20893
12350,20932
12350,20984
12350,24951
12350,25091
12350,28859
12350,28916
12350,29222
