Source,Target
3268,198336
5425,50233
5504,6866
5504,24655
5504,39935
6866,15666
6866,24655
6866,35358
6866,39935
6866,48623
6866,49338
6866,50233
6866,51228
6866,196676
6866,196736
6866,196984
6866,198943
6866,199598
6866,200649
6866,201444
6866,202117
8544,5425
8544,5504
8544,16229
8544,30916
8544,35358
8544,43644
8544,50996
8544,197374
8544,198686
8544,199206
8544,202117
15805,24672
15805,50996
15805,198943
15805,201860
16229,43644
16229,47471
16229,47760
16229,49338
16229,197648
16229,197785
24672,196676
35432,5504
35432,24672
35432,25425
35432,43644
35432,47471
35432,48623
35432,51228
35432,196736
35432,196992
35432,197374
35432,197648
35432,199206
35432,200497
35432,200649
35432,201444
35432,202117
35432,202232
60039,201860
