Source,Target
1835,3292
1835,5491
1835,42236
1835,62138
1835,200611
3292,2109
3292,3308
3292,3321
3292,5624
3292,6834
3292,8989
3292,9158
3292,9171
3292,12483
3292,12834
3292,13120
3292,15516
3292,16095
3292,16245
3292,20681
3292,21125
3292,24584
3292,25384
3292,28717
3292,28765
3292,29100
3292,31027
3292,31131
3292,33796
3292,34482
3292,34848
3292,35033
3292,35376
3292,35789
3292,39554
3292,41014
3292,41076
3292,41795
3292,42418
3292,42525
3292,42659
3292,42697
3292,42876
3292,42903
3292,43167
3292,43959
3292,44338
3292,44398
3292,47249
3292,47292
3292,47527
3292,48564
3292,48805
3292,48854
3292,49010
3292,49309
3292,49930
3292,49974
3292,50062
3292,51000
3292,51482
3292,51510
3292,51844
3292,52114
3292,56496
3292,56901
3292,57030
3292,59469
3292,60244
3292,60876
3292,62319
3292,196997
3292,197317
3292,198206
3292,198473
3292,198530
3292,198944
3292,199718
3292,201078
3292,201503
3292,201720
3308,6834
3308,9167
3308,25384
3308,28765
3308,28826
3308,29266
3308,31393
3308,33796
3308,34482
3308,41795
3308,42659
3308,43220
3308,47527
3308,48854
3308,49362
3308,49974
3308,196724
3308,197288
3308,197291
3308,197927
3308,199213
6834,34027
6834,42525
9158,29266
9158,57720
9158,59700
9167,31709
9167,49187
9167,50043
9167,50346
9167,61397
9167,198622
9167,201895
12617,41474
12617,61253
16095,42638
16095,48186
16095,48726
16095,61045
16095,197927
16095,198622
16095,198901
16095,199289
16245,12617
16245,15411
16245,21125
16245,29280
16245,31590
16245,35678
16245,39839
16245,43806
16245,57915
16245,197660
16245,198194
16245,198206
16245,198608
16245,198631
16245,198903
16245,199988
16245,201455
16245,201889
16245,201960
20618,62324
25384,34506
28717,29542
28717,33916
28717,34220
28717,35678
28717,42236
28717,42553
28717,42720
28717,43806
28717,44134
28717,50457
28717,51482
28717,51844
28717,57915
28717,59701
28717,60794
28717,62113
28717,196727
28717,196827
28717,197190
28717,197660
28717,198194
28717,198452
28717,198608
28717,198631
28717,198903
28717,199988
28717,201455
28717,201889
28717,201960
31027,3321
31027,5491
31027,8273
31027,9171
31027,20618
31027,21060
31027,31131
31027,31590
31027,34705
31027,34823
31027,34848
31027,35376
31027,35637
31027,39500
31027,39642
31027,39839
31027,42355
31027,42418
31027,42697
31027,42876
31027,43337
31027,43557
31027,43869
31027,44433
31027,44869
31027,47249
31027,47304
31027,47765
31027,49010
31027,49930
31027,49974
31027,50134
31027,50346
31027,50457
31027,51595
31027,51608
31027,56496
31027,56841
31027,57735
31027,58282
31027,59469
31027,60153
31027,61045
31027,61128
31027,62090
31027,62210
31027,196997
31027,198452
31027,198944
31027,199041
31027,199213
31027,199289
31027,199374
31027,199848
31027,200538
31027,201720
31661,15516
33796,51073
34848,21465
34848,41016
34848,47715
35033,3272
35376,56901
35376,199289
39642,39026
39642,48805
39642,198473
42525,9120
42525,9171
42525,21465
42525,24800
42525,25111
42525,25352
42525,29280
42525,29331
42525,31130
42525,35158
42525,39500
42525,39839
42525,42355
42525,42789
42525,42903
42525,43088
42525,43220
42525,43986
42525,44328
42525,44508
42525,44659
42525,47239
42525,47292
42525,49010
42525,49309
42525,49362
42525,50134
42525,50783
42525,51073
42525,57030
42525,57720
42525,60153
42525,60422
42525,60794
42525,61032
42525,62121
42525,62210
42525,197288
42525,197301
42525,198141
42525,198455
42525,198901
42525,199289
42525,199848
42525,201078
42525,201503
48854,196976
49309,15687
49309,41746
51468,198810
57735,42355
59469,12617
59469,42541
59469,197291
59469,197317
59469,197495
59469,198676
59469,198794
59469,199795
59469,201895
59701,57020
59701,59700
59701,200963
61045,42638
198455,200611
