Source,Target
766,6739
766,13041
766,15488
766,15630
766,25285
766,25354
766,25572
766,34511
766,197829
766,198096
766,198853
766,198878
2134,12479
2134,20760
3262,6895
3262,15711
3262,44233
3262,50335
3352,2114
3352,6813
3352,9075
3352,12319
3352,13137
3352,13168
3352,15548
3352,15608
3352,15711
3352,15732
3352,15810
3352,16371
3352,16373
3352,16383
3352,20748
3352,20784
3352,20906
3352,21027
3352,21364
3352,24580
3352,24920
3352,25247
3352,25261
3352,25267
3352,25285
3352,25356
3352,25392
3352,25479
3352,25508
3352,25544
3352,29481
3352,29612
3352,30846
3352,30937
3352,30939
3352,31164
3352,31341
3352,31418
3352,31627
3352,34285
3352,34511
3352,35264
3352,35454
3352,39069
3352,39353
3352,39738
3352,39780
3352,40973
3352,41072
3352,41140
3352,41569
3352,41994
3352,42212
3352,43159
3352,43697
3352,43919
3352,44127
3352,44280
3352,44431
3352,44561
3352,44585
3352,44762
3352,44978
3352,44998
3352,47585
3352,48048
3352,48187
3352,48202
3352,48221
3352,48569
3352,48640
3352,48697
3352,48710
3352,48864
3352,48868
3352,48884
3352,49054
3352,49576
3352,49851
3352,50235
3352,50335
3352,50429
3352,50889
3352,51007
3352,51678
3352,51753
3352,52037
3352,56989
3352,57910
3352,59499
3352,59723
3352,60493
3352,60506
3352,60813
3352,61181
3352,62064
3352,62104
3352,197478
3352,197619
3352,197829
3352,197991
3352,198153
3352,198355
3352,198479
3352,199056
3352,199134
3352,199840
3352,200773
3352,200892
3352,200956
3352,200968
3352,201704
3352,201976
3352,202125
3352,202233
6739,8216
6739,8903
6739,12541
6739,12924
6739,13066
6739,15699
6739,15734
6739,16039
6739,16289
6739,16338
6739,16372
6739,20815
6739,21027
6739,24580
6739,24799
6739,25479
6739,25487
6739,29109
6739,30937
6739,31249
6739,31346
6739,33932
6739,35116
6739,39738
6739,39780
6739,41418
6739,41558
6739,42212
6739,42220
6739,42386
6739,42612
6739,43697
6739,44428
6739,44431
6739,44585
6739,44762
6739,44998
6739,47683
6739,48048
6739,48202
6739,48569
6739,48640
6739,48864
6739,49388
6739,49565
6739,50046
6739,50518
6739,50564
6739,50926
6739,51151
6739,51457
6739,51487
6739,56551
6739,56571
6739,56909
6739,56924
6739,56989
6739,57910
6739,57929
6739,57970
6739,58233
6739,59682
6739,60314
6739,60675
6739,60813
6739,62235
6739,62412
6739,196816
6739,196834
6739,197267
6739,197478
6739,197829
6739,197924
6739,198153
6739,198355
6739,198411
6739,198653
6739,198731
6739,198760
6739,198871
6739,198968
6739,199143
6739,199226
6739,199292
6739,199478
6739,199581
6739,199905
6739,200064
6739,200832
6739,200845
6739,201153
6739,201337
6739,201359
6739,201815
6739,201843
6739,202054
6739,202198
6739,202211
8311,39144
8903,8827
8903,20905
8903,34721
8903,39551
8903,42211
8903,44662
8903,44989
8903,49538
8903,49635
8903,51457
8903,57365
8903,59739
8903,60714
12321,15915
12321,24799
12334,42083
12334,199949
12334,201815
12338,12319
12338,12946
12338,15915
12338,21364
12338,31082
12338,31332
12338,35700
12338,44233
12338,48187
12338,50335
12357,12569
12357,34285
12357,57656
12357,202210
12386,9192
12386,13041
12386,25259
12386,42722
12386,49493
12386,51676
12386,199652
12430,12357
12479,2114
12479,8311
12479,12386
12479,13287
12479,15450
12479,15633
12479,20838
12479,20921
12479,25285
12479,35171
12479,35630
12479,41397
12479,42992
12479,49576
12479,50715
12479,51681
12479,56571
12479,60203
12479,60551
12479,199589
12479,201105
12479,202005
12540,198653
12541,8827
12541,12715
12541,20905
12541,34721
12541,39551
12541,42211
12541,44662
12541,44989
12541,49538
12541,49635
12541,51457
12541,57365
12541,59739
12541,60714
12715,8216
12715,8311
12715,9165
12715,12521
12715,15450
12715,15734
12715,15937
12715,20693
12715,31262
12715,31346
12715,31577
12715,34471
12715,39155
12715,41074
12715,42493
12715,42820
12715,43160
12715,43833
12715,44278
12715,47507
12715,48846
12715,49650
12715,50478
12715,50518
12715,51487
12715,51678
12715,57877
12715,57910
12715,58327
12715,59814
12715,60917
12715,61408
12715,62055
12715,62235
12715,62352
12715,62412
12715,196816
12715,197100
12715,198193
12715,198454
12715,198479
12715,198760
12715,198968
12715,199312
12715,199380
12715,199435
12715,199581
12715,199611
12715,199913
12715,199952
12715,200738
12715,200832
12715,201234
12715,201435
12715,202147
12924,199913
12946,15919
12946,44707
12956,3352
13041,15633
13041,43115
13041,49638
13066,31341
15450,41569
15699,34760
15699,39140
15699,197712
15699,199976
15704,12321
15704,12521
15704,29337
15704,42666
15704,50129
15704,52037
15704,52122
15704,60711
15704,60807
15704,62332
15704,196929
15704,198144
15704,199343
15704,199853
15704,200030
15704,202158
15732,39353
15732,41140
15732,43919
15734,25354
15915,43833
15954,16134
15954,51718
15954,201446
16030,31653
16030,51984
16030,56710
16030,200695
16030,201705
16206,25261
16206,35740
16206,44233
16206,199652
16206,199840
16338,15548
16338,24624
16338,25247
16338,31386
16338,34114
16338,35454
16338,35740
16338,41541
16338,42435
16338,44561
16338,49493
16338,49851
16338,50977
16338,51294
16338,196713
16371,48958
16371,51718
16371,56732
20815,44280
20815,60551
24592,35288
24592,49008
29119,29337
29119,39339
29119,41558
29119,42947
29119,43402
29119,43578
29119,43988
29119,44717
29119,47507
29119,48427
29119,48990
29119,49603
29119,50129
29119,50563
29119,50564
29119,50977
29119,51151
29119,51152
29119,51223
29119,56345
29119,57074
29119,59432
29119,59631
29119,59682
29119,60711
29119,60807
29119,62332
29119,197752
29119,198066
29119,198144
29119,198192
29119,198193
29119,198731
29119,199343
29119,199380
29119,199434
29119,199482
29119,199738
29119,199770
29119,199853
29119,199952
29119,200030
29119,201153
29119,201337
29119,201343
29119,201680
29119,202005
29119,202054
29119,202169
30892,30846
31479,31739
31479,39141
31479,57677
31577,25487
31577,50926
34977,56345
34977,60675
34977,199292
35699,9192
35699,20815
35699,39447
35699,41721
35699,42241
35699,48341
35699,50046
35699,51007
35699,57877
35699,198432
35699,198968
35699,201942
39020,6895
39020,59432
39551,16153
39551,21193
39551,25412
41368,204234
41397,39144
42237,48348
42237,201746
42947,59885
43578,60443
43578,201109
43578,201426
43833,3339
43833,35394
43833,41343
43833,41368
43833,42237
43833,42947
43833,44293
43833,47683
43833,48427
43833,48624
43833,49000
43833,50977
43833,60267
43833,197740
43833,197752
43833,200738
43833,201735
45037,44585
45037,197924
48427,43528
48569,196816
49835,199736
49835,199961
49835,201466
51007,21057
51007,25259
51007,42816
51007,197109
59682,61953
59682,201551
60203,59631
60917,202198
62352,12924
197267,197991
198432,20648
198934,34751
198934,41315
200738,39339
