Source,Target
15491,47810
15491,49364
16010,39452
16010,41224
16010,56855
16010,57881
16010,58227
16010,61961
16010,198512
16010,198561
16010,200568
16010,201598
16010,202223
20771,9144
20771,16010
20771,20545
20771,24997
20771,28751
20771,34666
20771,35076
20771,41738
20771,41877
20771,44327
20771,49254
20771,51010
20771,57473
20771,57768
20771,57814
20771,197229
20771,198561
20771,199045
21214,58227
25249,42806
28751,16010
34797,49129
35805,9144
35805,15491
35805,25249
35805,34666
35805,41738
35805,42082
35805,42223
35805,44877
35805,47644
35805,48393
35805,48415
35805,56811
35805,56966
35805,57445
35805,57881
35805,58185
35805,59503
35805,61167
35805,62252
35805,198512
35805,198561
35805,198874
35805,198876
35805,199045
35805,199872
35805,200488
35805,200888
35805,201174
35805,201651
35805,202223
41877,199469
44327,20545
44327,21214
44327,25249
44327,51010
44327,56855
44327,57881
44327,58185
44327,201174
44327,201651
