Source,Target
1241,6674
1241,8388
1241,8499
1241,9128
1241,13038
1241,15764
1241,16013
1241,20506
1241,24849
1241,25472
1241,28953
1241,29052
1241,29241
1241,30850
1241,34239
1241,34780
1241,35506
1241,41125
1241,42680
1241,43834
1241,48489
1241,50148
1241,51537
1241,51810
1241,56910
1241,60597
1241,197534
1241,198365
1241,199246
1241,199375
1241,199382
1241,200744
1241,201293
3329,3260
3329,8388
3329,9128
3329,13038
3329,15414
3329,15764
3329,16013
3329,28953
3329,28969
3329,29241
3329,34516
3329,35446
3329,35459
3329,39017
3329,39481
3329,39820
3329,41372
3329,42070
3329,42365
3329,42680
3329,44036
3329,44357
3329,56910
3329,60723
3329,197189
3329,197534
3329,198365
5408,2546
5408,3323
5408,5470
5408,6744
5408,6867
5408,8248
5408,8253
5408,8278
5408,8522
5408,8643
5408,8700
5408,8762
5408,15536
5408,20813
5408,31563
5408,47616
5408,197121
5408,199399
6799,3260
6799,6674
6799,8396
6799,9128
6799,15439
6799,24735
6799,28969
6799,29052
6799,29247
6799,29353
6799,34239
6799,35446
6799,35472
6799,35506
6799,41125
6799,41579
6799,42365
6799,44036
6799,50501
6799,50919
6799,51537
6799,60723
6799,60911
6799,199081
6799,199141
6799,200540
8280,30858
8280,44593
8280,196945
12361,35472
12713,6799
12713,15544
12713,199370
15439,39062
15544,199382
15617,24897
25472,9128
25472,15439
25472,15617
25472,31579
25472,39017
25472,48261
25472,50919
25472,201827
25472,204268
51810,48380
56910,15853
56910,39245
56910,41372
56910,47521
56910,49582
56910,199789
56910,200128
56910,201494
196945,200540
197580,30850
197580,31443
198477,29162
198477,48380
198477,60342
198477,197580
198477,198188
198477,201293
198477,202042
199081,41372
199081,60911
