Source,Target
1886,25365
5391,13046
5391,21323
5391,25328
5391,29647
5391,30905
5391,34463
5391,34519
5391,34540
5391,34594
5391,34748
5391,35128
5391,35225
5391,35620
5391,39663
5391,42488
5391,44377
5391,48794
5391,52152
5391,62161
5391,196622
5391,197716
5391,197823
5391,199433
13046,5620
13046,25045
13046,29647
13046,30905
13046,34463
13046,34540
13046,35416
13046,41452
13046,42679
13046,44325
13046,48353
13046,48372
13046,49428
13046,50410
13046,56556
13046,61211
13046,197521
13046,198548
13046,198565
13046,198785
13046,199244
15994,12810
15994,28766
15994,31012
15994,35225
15994,35416
15994,35620
15994,42488
15994,43540
15994,48372
15994,49498
15994,51989
15994,57785
15994,59786
15994,59866
15994,61995
15994,197521
15994,199433
25277,29485
25277,59522
25528,34522
29485,47107
29485,49428
29485,57785
29485,59866
34362,60762
34594,35416
34594,48797
34594,51989
34594,59786
34594,196622
34594,198548
34594,198785
34748,38937
34748,44325
35549,5620
35549,6794
35549,15994
35549,16163
35549,25365
35549,25528
35549,28862
35549,34748
35549,41121
35549,41336
35549,42679
35549,43009
35549,43394
35549,43540
35549,43953
35549,44377
35549,47988
35549,48256
35549,48567
35549,48621
35549,48794
35549,49498
35549,52152
35549,52172
35549,56556
35549,56706
35549,57736
35549,62161
35549,199244
35549,199401
35549,200990
41336,31215
41336,41121
41336,57499
41454,34362
41454,57499
51577,47948
56681,57266
60009,43540
61211,43804
61211,60009
198785,34362
198785,61094
198785,198492
