Source,Target
1213,2128
1213,2850
1213,42310
2110,2128
2110,13280
2110,24622
2110,29636
2110,31733
2110,34218
2110,39915
2110,47417
2110,48255
2110,199256
2110,201111
5466,2127
5466,15751
5466,34004
5466,39730
5466,39915
5466,47615
5466,51516
5466,197953
15502,34912
15612,39319
15806,24675
16171,15405
16171,41680
25441,35272
25441,197904
25441,200174
29636,29644
29636,31122
29636,34245
29636,39122
29636,39915
29644,2127
29644,43192
29644,49221
29644,51516
29644,198812
29644,199588
29644,201111
30900,31698
31122,1197
31122,24784
31122,34815
31122,41680
31122,41949
31122,42090
31122,47580
31122,48255
31122,199203
31122,200451
31122,202148
34110,34815
34245,34110
34912,41973
39122,49567
39122,201000
41883,62431
42090,15947
42227,47490
43192,49221
43192,50883
43192,57791
43192,60214
43192,199763
44196,198812
47680,197957
47720,15405
47720,29516
47720,41736
47720,42090
47720,49634
47720,196737
47720,199373
197904,56985
