Source,Target
378,5585
378,41116
378,50995
1680,3288
1680,5540
1680,5585
1680,8738
1680,8867
1680,8894
1680,12619
1680,12736
1680,13073
1680,13074
1680,13093
1680,13240
1680,15526
1680,15643
1680,15686
1680,15708
1680,15976
1680,16158
1680,16370
1680,20645
1680,20800
1680,20841
1680,21350
1680,21363
1680,21486
1680,25046
1680,25237
1680,29149
1680,29410
1680,29585
1680,30744
1680,30866
1680,31417
1680,31578
1680,34583
1680,35243
1680,35435
1680,35438
1680,35553
1680,35560
1680,39213
1680,39274
1680,39343
1680,39768
1680,41394
1680,41923
1680,41927
1680,42254
1680,42647
1680,42793
1680,42925
1680,43194
1680,43514
1680,43871
1680,44282
1680,44367
1680,44669
1680,47256
1680,47770
1680,47776
1680,47997
1680,48068
1680,49308
1680,49391
1680,49456
1680,49771
1680,49794
1680,50237
1680,50454
1680,50744
1680,50995
1680,51304
1680,51385
1680,51825
1680,56378
1680,56596
1680,56804
1680,56839
1680,57035
1680,57259
1680,57721
1680,58268
1680,197538
1680,197797
1680,197819
1680,198087
1680,198114
1680,198773
1680,199270
1680,199391
1680,201156
1680,201415
1680,202122
5486,8738
5486,20623
5486,20645
5486,20841
5486,47135
8551,3288
8551,5486
8551,6810
8551,8203
8551,8867
8551,8958
8551,9071
8551,9116
8551,12619
8551,12749
8551,12753
8551,12802
8551,12849
8551,13074
8551,13093
8551,13240
8551,15976
8551,16061
8551,16116
8551,16158
8551,16370
8551,20645
8551,20800
8551,21486
8551,25003
8551,25125
8551,25565
8551,28783
8551,28799
8551,28833
8551,29149
8551,29585
8551,31092
8551,31162
8551,31391
8551,33914
8551,34380
8551,34886
8551,35016
8551,35243
8551,35435
8551,35532
8551,35541
8551,35553
8551,35560
8551,39274
8551,39343
8551,39768
8551,41116
8551,41394
8551,41924
8551,42243
8551,42384
8551,42475
8551,42647
8551,42793
8551,42976
8551,43381
8551,43423
8551,43438
8551,43514
8551,43842
8551,44282
8551,44427
8551,44435
8551,44709
8551,47665
8551,47766
8551,47770
8551,49076
8551,49308
8551,49484
8551,49771
8551,49794
8551,49993
8551,50006
8551,50079
8551,50365
8551,50454
8551,51082
8551,51651
8551,51825
8551,56521
8551,56596
8551,56804
8551,56914
8551,57259
8551,57666
8551,59648
8551,61102
8551,197797
8551,197819
8551,198114
8551,198425
8551,198986
8551,199267
8551,199391
8551,199989
8551,200742
8551,201660
8551,201857
9116,5486
9116,8894
9116,12400
9116,12491
9116,12736
9116,12749
9116,12753
9116,12802
9116,13073
9116,15823
9116,15976
9116,20645
9116,20800
9116,21486
9116,25046
9116,25237
9116,25565
9116,28799
9116,31092
9116,31162
9116,31417
9116,34852
9116,34886
9116,35016
9116,35435
9116,35532
9116,39159
9116,39274
9116,41923
9116,41924
9116,43165
9116,43423
9116,43739
9116,43871
9116,44367
9116,44709
9116,47135
9116,47461
9116,48627
9116,49484
9116,49771
9116,50081
9116,51651
9116,56914
9116,196828
9116,197012
9116,197538
12400,12988
12400,13093
12400,15526
12400,15708
12400,16240
12400,20645
12400,25237
12400,30866
12400,31578
12400,34380
12400,34598
12400,35541
12400,39213
12400,42384
12400,42475
12400,43842
12400,44669
12400,47665
12400,49794
12400,51385
12400,57727
12400,198087
12400,198484
12400,201093
12491,24890
12849,21450
12849,35392
12849,48627
25003,12441
25003,15823
25003,20645
25003,35392
25003,47256
25003,47461
25003,47766
25003,48068
25003,49069
25003,50079
25003,50865
25003,198482
25003,202122
50463,12988
50463,29410
50463,31391
50463,44846
50463,199989
57259,41714
