Source,Target
6677,1850
6677,24743
6677,25244
6677,29689
6677,31236
6677,39472
6677,39532
6677,42888
6677,43892
6677,44275
6677,44644
6677,47545
6677,47828
6677,48685
6677,51296
6677,57729
6677,60300
6677,62384
6677,197403
6677,197973
6677,198815
12969,1850
12969,31441
12969,39472
12969,39532
12969,43571
12969,43892
12969,48685
12969,51017
12969,57729
12969,62384
12969,198815
15474,25244
15474,29348
25509,34678
29689,202030
30818,44515
30818,50613
30818,51969
30818,60300
30818,60690
31410,44925
43892,51296
44735,29689
44735,30818
44735,31410
44735,35834
44735,39532
44735,43892
44735,44925
44735,59396
44735,60690
44735,62384
44735,202030
56704,43571
56704,48685
56704,51896
56704,60259
60300,21268
