Source,Target
2847,5479
2847,44358
2847,51172
5377,9207
5522,15995
6769,15911
6769,44198
6769,50610
8764,5522
8764,8314
8764,15440
8764,15908
8764,15995
8764,21031
8764,21412
8764,24852
8764,24984
8764,25190
8764,30775
8764,30944
8764,31114
8764,34120
8764,34842
8764,34961
8764,39007
8764,41228
8764,41506
8764,42549
8764,42675
8764,42887
8764,43811
8764,44198
8764,47205
8764,47247
8764,47512
8764,49602
8764,50065
8764,51172
8764,51719
8764,51802
8764,59821
8764,60121
8764,61272
8764,62203
8764,197225
8764,198651
8764,199527
8764,200814
8764,201096
8764,201400
8764,201959
8764,202085
13194,5479
13194,15419
13194,16125
13194,24825
13194,24852
13194,29625
13194,33922
13194,34037
13194,34842
13194,39354
13194,42774
13194,42887
13194,44613
13194,47512
13194,49602
13194,50256
13194,51719
13194,60121
13194,61272
13194,199527
13194,201959
13194,202085
15419,42181
15419,50320
15440,21211
15440,30775
15440,34961
15440,35135
15440,42181
15440,42380
15440,56413
15440,61053
15440,62282
21211,61053
21211,198009
21211,200814
21211,201341
24607,15419
24607,21211
24607,24852
24607,34120
24607,35135
24607,42774
24607,50256
24607,62179
24607,201400
24852,24877
33922,25406
33922,43627
33922,44642
33922,48583
33922,50962
33922,198651
34037,43463
34120,43627
42549,15440
42549,43151
42549,44358
42549,61091
42549,62282
43700,8892
47205,44358
47205,59874
47205,61091
47205,199232
49550,25406
49550,34857
49550,43627
49550,44642
49550,48583
49550,50962
49550,51388
49550,198651
51172,44358
61053,43463
62282,59874
