Source,Target
4788,9655
4788,10030
4788,17564
4788,17971
4788,18206
4788,18227
4788,23659
4788,23678
4788,23736
4788,24020
4788,24028
4788,24090
4788,24321
4788,24514
4788,38005
4788,38006
4788,38044
4788,38199
4788,45121
4788,45808
4788,55420
4788,55520
4788,55856
4788,55951
4788,56169
4788,59263
4788,132850
4788,132874
4788,132882
4788,132890
4788,133014
4788,133084
4788,133444
4788,134088
4818,10081
9534,9930
9534,38868
9534,38891
9534,45331
9534,55520
9534,55724
9534,132170
9534,132434
9534,132688
9655,38005
9930,9833
9930,18227
9930,18253
9930,38006
9930,38868
9930,45344
9930,45410
9930,55951
9930,56181
9930,58622
9930,132022
9930,132033
9930,132035
9930,132170
9930,132434
9930,132694
9930,132885
9930,133609
9930,133755
9930,134107
10204,24461
10204,55571
17666,56275
17666,133936
17971,55405
18206,17971
18206,38044
18206,45909
23678,45121
23678,132033
23678,132326
24028,24068
24028,45220
24218,9655
24218,9930
24218,23678
24218,24028
24218,24461
24218,24486
24218,38466
24218,45352
24218,45668
24218,45785
24218,45839
24218,45945
24218,45960
24218,46015
24218,55720
24218,56092
24218,56229
24218,56275
24218,58578
24218,58983
24218,131310
24218,132326
24218,132512
24514,24020
24514,24090
24514,38868
24514,45344
24514,45808
24514,55827
24514,55856
24514,58812
24514,59263
24514,132494
24514,132688
24514,132694
24514,133014
24514,134107
38182,4769
38182,45352
38182,45839
38182,45945
38182,46015
38182,55405
38182,55720
38182,55950
38182,55951
38182,56286
38182,132197
38182,132241
38182,132318
38199,4769
38199,133421
38278,132104
38278,133164
38322,17736
45352,45144
45352,56109
45352,56229
45352,133437
45352,133936
45352,134066
45630,9655
45630,133408
45668,45220
45668,45785
45668,132546
45960,37997
46015,132704
55405,56092
55720,45352
55761,56140
56111,24373
56169,58796
58910,58983
131310,45785
131310,45839
132197,10111
132434,132170
132435,45839
132901,55482
133444,9833
133444,132426
