Source,Target
286,1103
286,1136
286,3265
286,3333
286,5580
286,8283
286,8315
286,8328
286,8587
286,9150
286,12414
286,12469
286,12859
286,12989
286,15435
286,15542
286,16147
286,16243
286,16265
286,20495
286,20847
286,20857
286,20953
286,24753
286,24875
286,25182
286,25222
286,25459
286,25542
286,25599
286,28806
286,29028
286,29063
286,29263
286,29311
286,29396
286,31477
286,39059
286,41095
286,41552
286,41960
286,42416
286,43350
286,43407
286,44074
286,47167
286,50522
286,51682
286,56953
286,57146
286,57626
286,59524
286,61429
286,197038
286,197727
286,197985
286,198089
286,198203
286,198334
286,198759
286,199106
286,199408
286,201017
286,202120
1101,8283
1103,1101
1103,1104
1103,1124
1103,1126
1103,1128
1103,1132
1103,1133
1103,1136
1103,1140
1103,1142
1103,1147
1103,1161
1103,1837
1103,1888
1103,3265
1103,3333
1103,5390
1103,5418
1103,5524
1103,5583
1103,5615
1103,6819
1103,8283
1103,8315
1103,8455
1103,8587
1103,8608
1103,8918
1103,9143
1103,9150
1103,12315
1103,12414
1103,12561
1103,12859
1103,12871
1103,12902
1103,12989
1103,13127
1103,15426
1103,15435
1103,15447
1103,15542
1103,15693
1103,15695
1103,15703
1103,15879
1103,15966
1103,16243
1103,16265
1103,16298
1103,20495
1103,20504
1103,20507
1103,20562
1103,20847
1103,20857
1103,20953
1103,20969
1103,21073
1103,21221
1103,21315
1103,21478
1103,24586
1103,24642
1103,24730
1103,24753
1103,24793
1103,24875
1103,25151
1103,25182
1103,25433
1103,25459
1103,25542
1103,25596
1103,28685
1103,28788
1103,28836
1103,29028
1103,29073
1103,29263
1103,29290
1103,29396
1103,29462
1103,30785
1103,30925
1103,31019
1103,31172
1103,31383
1103,31477
1103,31615
1103,31673
1103,31680
1103,33915
1103,34106
1103,34141
1103,34305
1103,34756
1103,34942
1103,34968
1103,35156
1103,35176
1103,35220
1103,35224
1103,35332
1103,35579
1103,38915
1103,38930
1103,39136
1103,39309
1103,39591
1103,39637
1103,39647
1103,39704
1103,41153
1103,41445
1103,41480
1103,41552
1103,41677
1103,41696
1103,41887
1103,42093
1103,42158
1103,42585
1103,42707
1103,42755
1103,42949
1103,43190
1103,43350
1103,43366
1103,43437
1103,43821
1103,43996
1103,44253
1103,44608
1103,44953
1103,47172
1103,47207
1103,47344
1103,47463
1103,47628
1103,47836
1103,47869
1103,48056
1103,48522
1103,48539
1103,48635
1103,48886
1103,49405
1103,49544
1103,49627
1103,49685
1103,49784
1103,49820
1103,49981
1103,50072
1103,50266
1103,50295
1103,50311
1103,50522
1103,50655
1103,50673
1103,50737
1103,50805
1103,51050
1103,51088
1103,51313
1103,51514
1103,51646
1103,51752
1103,51758
1103,56583
1103,56738
1103,56953
1103,57029
1103,57043
1103,57124
1103,57146
1103,57172
1103,57638
1103,57866
1103,58073
1103,58138
1103,58209
1103,58291
1103,59545
1103,59554
1103,59560
1103,59865
1103,59940
1103,60142
1103,61013
1103,61349
1103,61387
1103,62182
1103,196752
1103,197038
1103,197156
1103,197219
1103,197727
1103,197731
1103,197902
1103,197985
1103,198203
1103,198334
1103,199139
1103,199636
1103,199863
1103,199939
1103,200020
1103,200023
1103,201290
1103,201330
1103,201372
1103,201401
1103,201690
1103,201791
1103,201883
1103,202018
1103,202189
1126,3333
1126,5580
1126,8283
1126,12859
1126,12989
1126,15435
1126,20562
1126,31019
1126,35176
1126,44953
1126,49838
1126,202018
1136,1134
1136,1140
1136,2043
1136,3333
1136,3917
1136,5580
1136,5615
1136,8211
1136,8455
1136,8694
1136,8737
1136,12854
1136,12859
1136,12871
1136,12989
1136,13266
1136,15435
1136,15466
1136,20562
1136,20844
1136,20896
1136,21286
1136,30720
1136,31537
1136,34663
1136,39309
1136,47829
1136,48037
1136,49562
1136,50238
1136,50799
1136,51412
1136,52186
1136,57744
1136,59393
1136,59542
1136,59599
1136,61346
1136,198462
1140,3333
1140,5580
1140,8283
1140,12989
1140,15435
1140,20562
1140,31019
1140,44953
1140,48283
1140,202018
3265,3333
3265,5417
3265,5580
3265,8283
3265,12859
3265,12989
3265,15435
3265,20562
3265,31019
3265,33955
3265,41095
3265,47628
3300,22683
3333,2121
3333,5390
3333,5524
3333,5580
3333,5583
3333,5615
3333,8283
3333,8315
3333,8587
3333,8608
3333,8918
