Source,Target
224,50270
224,58302
224,59863
2116,2603
2116,3307
2116,12994
2116,13243
2116,21171
2116,21201
2116,24959
2116,25351
2116,28824
2116,29517
2116,31020
2116,31264
2116,34100
2116,34822
2116,35094
2116,39787
2116,41729
2116,41741
2116,42022
2116,43516
2116,44381
2116,44764
2116,47528
2116,48144
2116,48863
2116,49082
2116,49193
2116,49214
2116,49278
2116,49409
2116,49586
2116,49952
2116,50484
2116,52157
2116,56538
2116,56828
2116,57280
2116,58298
2116,60037
2116,60052
2116,60270
2116,60830
2116,61006
2116,61095
2116,61275
2116,197090
2116,197475
2116,197519
2116,197909
2116,198204
2116,198309
2116,199791
2116,200163
2116,201627
2116,202008
2116,202057
2116,202204
2119,5619
2119,15659
2119,15932
2119,28795
2119,35703
2119,39197
2119,39787
2119,41572
2119,41729
2119,43905
2119,44381
2119,44763
2119,47405
2119,47953
2119,49310
2119,49409
2119,49952
2119,50217
2119,52157
2119,60687
2119,60717
2119,60745
2119,60830
2119,61275
2119,62225
2119,197090
2119,197212
2119,197909
2119,197943
2119,199791
2119,199900
2119,199990
2119,199999
2119,200139
2119,200168
2119,200915
2119,202204
2119,202230
2603,224
2603,5381
2603,5619
2603,8896
2603,12996
2603,13069
2603,13243
2603,15659
2603,16175
2603,16186
2603,21171
2603,21201
2603,21293
2603,25148
2603,29695
2603,30737
2603,30950
2603,31726
2603,34087
2603,39029
2603,39783
2603,39787
2603,41164
2603,41483
2603,41572
2603,41741
2603,42400
2603,44654
2603,50272
2603,50989
2603,56867
2603,57660
2603,199339
5381,1770
5381,30737
5381,34100
5381,43516
5381,48469
5381,57280
5381,60130
5381,61188
5381,201419
5381,201577
5381,201822
8542,35132
8542,60163
8542,201165
8896,29458
8896,60848
8896,201454
8896,202174
13069,21119
13069,21201
13069,35687
13069,49574
13069,57381
13243,57381
15659,21331
15659,35157
15659,42175
15659,43200
15659,49310
15659,50272
15659,59720
15765,43200
16175,50304
16175,57381
16175,62186
16175,198869
16175,199999
16175,201656
16185,57381
16186,28824
16186,59608
25148,198204
29479,57381
29479,196915
29492,50304
29492,57280
29492,62186
29492,197212
29492,199672
29492,202057
29607,31096
29607,57660
29695,15765
29695,16175
29695,16234
29695,28824
29695,34087
29695,60848
29695,198368
29695,201454
30950,8542
30950,15765
30950,29492
31169,202128
31283,48598
31726,41222
31726,57381
34087,50304
35132,6829
35132,31169
35132,199990
39197,42980
39197,200037
39783,48376
39787,35703
39787,50304
39832,57381
41164,25400
41164,47853
41164,49455
41572,31726
41572,43401
41572,49193
41572,56538
41572,60586
41572,60745
41572,196788
41572,197943
41572,200163
41572,201577
42400,57381
44381,50213
44381,58005
44381,60942
44381,62002
44511,57381
44654,57381
44764,28795
44764,44763
44764,198309
48144,57381
49455,50304
49788,16185
49788,34989
49788,42400
49788,48630
49788,50562
49788,50582
49788,51886
49788,57381
49788,57423
49788,57997
49788,61227
49788,202008
50272,57381
50304,8896
50304,16186
50304,29458
50304,29479
50304,44511
50304,48144
50304,49788
50304,50562
50304,56867
50304,57202
50304,57381
50304,57963
50304,60717
50304,61292
50304,199115
50304,202060
50562,51850
50562,57381
51886,57381
56538,57506
56538,61188
56809,57381
56867,57381
57202,57381
57381,200163
59720,58264
60052,47405
60717,34822
60717,59767
60717,59863
197212,38990
