Source,Target
1887,8766
1887,8962
1887,12464
1887,15665
1887,24597
1887,25075
1887,25495
1887,41092
1887,44959
1887,47404
1887,48183
1887,48395
1887,196802
1887,197005
1887,197982
1887,199721
1887,201617
1887,202121
3169,60552
3169,60658
3169,199899
5526,29596
5526,49743
5526,52153
5550,8326
5550,12423
5550,12827
5616,15521
5616,29563
5617,6873
5617,8326
5617,8380
5617,8535
5617,9016
5617,12324
5617,12741
5617,12743
5617,12827
5617,12877
5617,12966
5617,12990
5617,15728
5617,15993
5617,16138
5617,16167
5617,20670
5617,20763
5617,20983
5617,21010
5617,21187
5617,21244
5617,21328
5617,21344
5617,21395
5617,21495
5617,24619
5617,24740
5617,24756
5617,24879
5617,24928
5617,24985
5617,25055
5617,25410
5617,25495
5617,25506
5617,25523
5617,25552
5617,28785
5617,28950
5617,29023
5617,29103
5617,29223
5617,29314
5617,29445
5617,29535
5617,29536
5617,29553
5617,30730
5617,30876
5617,30932
5617,31032
5617,31165
5617,31229
5617,31267
5617,31280
5617,31306
5617,31381
5617,31431
5617,31434
5617,31599
5617,31658
5617,33951
5617,33990
5617,34199
5617,34212
5617,34330
5617,34339
5617,34431
5617,34530
5617,34656
5617,34789
5617,34844
5617,35124
5617,35187
5617,35491
5617,35752
5617,38991
5617,39133
5617,39174
5617,39261
5617,39403
5617,39487
5617,39599
5617,39800
5617,39897
5617,41023
5617,41097
5617,41253
5617,41519
5617,41621
5617,41643
5617,41647
5617,42107
5617,42328
5617,42453
5617,42656
5617,43325
5617,43420
5617,43447
5617,43638
5617,43679
5617,43762
5617,43932
5617,43941
5617,44004
5617,44262
5617,44382
5617,44535
5617,44551
5617,44758
5617,44860
5617,45026
5617,47301
5617,47322
5617,47357
5617,47401
5617,47633
5617,47672
5617,47695
5617,47741
5617,47888
5617,48021
5617,48022
5617,48189
5617,48428
5617,48565
5617,48690
5617,48963
5617,49370
5617,49420
5617,49822
5617,49888
5617,50014
5617,50638
5617,50759
5617,51064
5617,51208
5617,51750
5617,51772
5617,52142
5617,56381
5617,56590
5617,56609
5617,56682
5617,56713
5617,56838
5617,57701
5617,57875
5617,57966
5617,58237
5617,59945
5617,59977
5617,60271
5617,60565
5617,60809
5617,60877
5617,61171
5617,61242
5617,61338
5617,61983
5617,62081
5617,62393
5617,196652
5617,196728
5617,196853
5617,196891
5617,196926
5617,196972
5617,196974
5617,196982
5617,196999
5617,197048
5617,197072
5617,197091
5617,197201
5617,197227
5617,197285
5617,197295
5617,197321
5617,197405
5617,197507
5617,197543
5617,197621
5617,197678
5617,197887
5617,197928
5617,198043
5617,198051
5617,198081
5617,198115
5617,198131
5617,198221
5617,198271
5617,198289
5617,198327
5617,198410
5617,198416
5617,198495
5617,198497
5617,198527
5617,198579
5617,198637
5617,198696
5617,198811
5617,198857
5617,198900
5617,198906
5617,198937
5617,198971
5617,198992
5617,199076
5617,199151
5617,199212
5617,199222
5617,199353
5617,199390
5617,199815
5617,199859
5617,199910
5617,199953
5617,199964
5617,199981
5617,200671
5617,201020
5617,201373
5617,201488
5617,201801
5617,201953
5617,201954
5617,202037
5617,202050
6714,198704
6778,41660
8246,5629
8246,6714
8308,1887
8308,8501
8308,12992
8308,15606
8308,21111
8308,21324
8308,25390
8308,28732
8308,30731
8308,30883
8308,30932
8308,31080
8308,31372
8308,33838
8308,34402
8308,34826
8308,39794
8308,41487
8308,41650
8308,41692
8308,42619
8308,42778
8308,43512
8308,43596
8308,44490
8308,47468
8308,48534
8308,49035
8308,49420
8308,50421
8308,50505
8308,51675
8308,56381
8308,56752
8308,57593
8308,59415
8308,60243
8308,60877
8308,61218
8308,196826
8308,197020
8308,197027
8308,197124
8308,197238
8308,197494
8308,197608
8308,197621
8308,197837
8308,198451
8308,198777
8308,198915
8308,199436
8308,199648
8308,199845
8308,201448
8308,201724
8308,201954
8308,202226
8323,8267
8323,12990
8323,15541
8323,15967
8323,16138
8323,20898
8323,28815
8323,29522
8323,29593
8323,34254
8323,56682
8323,57249
8323,57889
8323,58350
8323,197527
8326,29535
8364,29501
8364,39599
8364,41256
8364,41835
8364,44033
8364,49822
8364,57569
8364,60158
8364,197645
8364,199034
8374,20656
8374,21243
8374,34789
8374,38921
8374,39085
8374,41476
8374,41643
8374,42453
8374,47281
8374,47357
8374,47672
8374,197048
8374,197072
8374,197124
8374,197671
8374,197928
8374,198495
8374,198838
8374,198937
8374,200504
8477,47755
8501,1887
8501,5550
8501,8256
8501,8267
8501,8286
8501,8323
8501,8326
8501,8364
8501,8508
8501,8664
8501,8865
8501,8890
8501,8970
8501,9103
8501,9112
8501,12324
8501,12423
8501,12618
8501,12831
8501,13119
8501,15373
8501,15744
8501,16263
8501,16283
8501,21182
8501,24848
8501,25468
8501,28678
8501,34604
8501,39909
8501,50561
8508,15373
8508,199279
8664,8286
8664,12464
8664,15396
8664,15665
8664,20555
8798,15787
8798,30726
8798,197064
8798,197215
8865,29414
8890,42576
8970,15851
9016,34254
9085,3165
9085,8766
9085,34985
9085,35215
9085,35671
9085,48636
9085,198527
9085,198915
9103,13065
9112,41256
9112,41385
9112,196887
12324,12346
12324,29535
12324,197552
12324,199028
12324,199936
12346,197586
12346,198197
12346,200839
12423,35686
12580,24929
12580,48487
12580,48782
12580,201046
12618,8326
12618,29445
12618,42968
12618,197265
12642,198397
12741,2115
12741,6873
12741,8374
12741,8380
12741,8477
12741,8535
12741,12328
12741,12580
12741,12774
12741,12824
12741,12827
12741,12877
12741,12968
12741,12985
12741,12990
12741,12992
12741,13274
12741,15443
12741,15503
12741,15507
12741,15563
12741,15618
12741,15857
12741,15902
12741,15969
12741,15993
12741,16138
12741,20553
12741,20808
12741,20889
12741,20898
12741,20983
12741,21010
12741,21068
12741,21187
12741,21210
12741,21259
12741,21495
12741,24578
12741,24597
12741,24738
12741,24740
12741,24928
12741,24985
12741,25070
12741,25390
12741,28689
12741,28950
12741,29007
12741,29023
12741,29228
12741,29251
12741,29272
12741,29305
12741,29512
12741,29522
12741,29536
12741,29620
