Source,Target
1930,5516
1930,12833
1930,57350
1930,199155
1930,199993
2860,13200
2860,15457
2860,15647
2860,24698
2860,25253
2860,34873
2860,35038
2860,38993
2860,41345
2860,42580
2860,43643
2860,43887
2860,44222
2860,49941
2860,57350
2860,196619
2860,200942
2860,201782
3243,6773
3243,9118
3243,12527
3243,25253
3243,28672
3243,28998
3243,31497
3243,39088
3243,41159
3243,42863
8657,3243
8657,15525
8657,42863
8657,197426
9186,5626
9186,24768
9186,28998
9186,31401
9186,34873
9186,41159
9186,43064
9186,43652
9186,47202
9186,49349
9186,201449
9186,201523
9186,202170
12305,29003
12353,29003
12353,29673
12353,38993
12353,43652
12353,59690
12353,199993
12353,200706
12926,25060
12926,34122
12926,43887
12926,47784
13156,9186
15525,6773
15525,12527
15525,13134
15525,28672
15525,31401
15525,31413
15525,33813
15525,35038
15525,43064
15525,43643
15525,43990
15525,44785
15525,47202
15525,199016
29003,29615
29003,41962
29003,51171
29003,197426
29003,199016
