Source,Target
2614,3233
2614,6693
2614,8708
2614,12356
2614,12675
2614,13210
2614,16220
2614,24839
2614,25304
2614,31313
2614,39737
2614,39815
2614,43703
2614,49437
2614,49507
2614,50944
2614,51098
2614,57444
2614,61353
2614,199513
3223,39107
3223,45035
3223,47220
3223,49374
3223,50347
3223,56430
3223,60118
3223,61030
3223,62305
3223,200651
5541,12439
5541,12842
5541,15407
5541,20530
5541,21294
5541,25257
5541,28684
5541,28743
5541,31244
5541,33906
5541,33925
5541,34714
5541,34744
5541,35203
5541,35520
5541,39306
5541,39464
5541,39511
5541,39543
5541,39653
5541,41011
5541,41496
5541,41571
5541,41984
5541,42094
5541,42433
5541,42637
5541,43890
5541,43904
5541,43944
5541,44739
5541,47147
5541,47390
5541,47602
5541,48976
5541,48999
5541,49074
5541,49687
5541,50523
5541,50884
5541,51474
5541,52165
5541,57137
5541,57691
5541,57884
5541,58058
5541,59634
5541,59795
5541,60604
5541,61225
5541,62005
5541,202203
5606,56502
6663,3196
6663,12450
6663,13181
6663,15856
6663,16026
6663,16157
6663,20530
6663,20716
6663,29552
6663,29628
6663,31038
6663,31244
6663,31546
6663,34060
6663,34279
6663,34621
6663,34808
6663,35093
6663,35291
6663,35597
6663,38933
6663,39105
6663,39108
6663,39277
6663,39327
6663,39383
6663,39391
6663,39668
6663,39734
6663,39797
6663,39829
6663,41210
6663,41496
6663,41534
6663,41571
6663,41772
6663,41950
6663,42026
6663,42417
6663,42424
6663,42731
6663,43283
6663,43807
6663,44211
6663,44681
6663,44807
6663,47148
6663,47392
6663,48095
6663,48459
6663,48865
6663,49169
6663,49894
6663,50064
6663,50150
6663,50680
6663,50984
6663,51808
6663,52189
6663,56499
6663,56615
6663,56619
6663,57177
6663,57495
6663,57772
6663,58028
6663,59480
6663,59632
6663,59856
6663,59995
6663,60149
6663,60450
6663,61057
6663,61112
6663,61224
6663,61258
6663,61361
6663,61976
6663,62185
6663,62189
6663,62226
6663,62302
6663,62335
6663,62342
6663,62374
6663,196783
6663,197134
6663,198574
6663,202003
6718,2876
6718,57611
6718,57773
6718,58113
6718,59703
6910,8976
6910,13059
6910,15952
6910,20930
6910,28727
6910,29324
6910,29473
6910,33961
6910,34060
6910,34176
6910,34904
6910,39006
6910,39105
6910,39543
6910,39593
6910,39653
6910,41210
6910,42200
6910,42407
6910,42452
6910,42786
6910,42951
6910,43474
6910,44047
6910,44719
6910,44826
6910,44983
6910,47220
6910,47230
6910,47390
6910,48067
6910,48192
6910,48865
6910,49050
6910,49150
6910,49379
6910,49471
6910,49585
6910,49719
6910,50275
6910,50612
6910,50819
6910,50912
6910,51244
6910,51568
6910,51808
6910,51881
6910,51974
6910,52183
6910,56406
6910,56971
6910,57646
6910,57815
6910,57934
6910,58023
6910,58028
6910,58058
6910,59747
6910,60076
6910,60454
6910,61050
6910,61278
6910,61954
6910,62226
6910,62448
6910,198596
8338,42790
8708,3164
8708,6693
8708,8423
8708,8930
8708,12446
8708,12632
8708,13021
8708,13209
8708,15520
8708,15730
8708,15882
8708,16100
8708,16120
8708,16157
8708,16199
8708,20616
8708,20703
8708,20787
8708,21129
8708,24660
8708,24858
8708,25326
8708,25409
8708,29306
8708,30948
8708,31017
8708,31074
8708,31244
8708,31606
8708,33821
8708,33827
8708,33875
8708,33881
8708,33906
8708,33971
8708,34022
8708,34184
8708,34353
8708,34538
8708,34711
8708,34915
8708,35413
8708,35421
8708,35490
8708,35597
8708,35727
8708,38998
8708,39012
8708,39205
8708,39260
8708,39312
8708,39327
8708,39383
8708,39502
8708,39732
8708,39745
8708,39758
8708,39797
8708,39803
8708,39831
8708,40998
8708,41010
8708,41055
8708,41151
8708,41236
8708,41273
8708,41295
8708,41353
8708,41395
8708,41432
8708,41486
8708,41537
8708,41571
8708,41573
8708,41749
8708,41807
8708,41850
8708,41971
8708,41978
8708,42280
8708,42324
8708,42426
8708,42568
8708,42614
8708,42617
8708,42890
8708,42934
8708,43007
8708,43315
8708,43369
8708,43461
8708,43464
8708,43473
8708,43587
8708,43609
8708,43624
8708,43631
8708,43736
8708,43807
8708,43891
8708,44058
8708,44106
8708,44144
8708,44148
8708,44157
8708,44211
8708,44580
8708,44649
8708,44738
8708,44761
8708,44861
8708,44906
8708,47319
8708,47345
8708,47412
