Source,Target
6700,13091
6700,15982
6700,25337
6700,39377
6700,41404
6700,41507
6700,43084
6700,43547
6700,48688
6700,49198
6700,52026
6700,56452
6700,56816
6700,197021
8400,6700
8400,8270
8400,8771
8400,9081
8400,9125
8400,13091
8400,15832
8400,15926
8400,15982
8400,25431
8400,28964
8400,29163
8400,29170
8400,31161
8400,31716
8400,33983
8400,34096
8400,34131
8400,34258
8400,34299
8400,34404
8400,35573
8400,35796
8400,41937
8400,42646
8400,43084
8400,43335
8400,43784
8400,44252
8400,44287
8400,44958
8400,47663
8400,47666
8400,48015
8400,49198
8400,49412
8400,49486
8400,51052
8400,51451
8400,51602
8400,51908
8400,52116
8400,56569
8400,56708
8400,57207
8400,57550
8400,57595
8400,58179
8400,58266
8400,59992
8400,60137
8400,62420
8400,196908
8400,197423
8400,198273
8400,198370
8400,198649
8400,200036
8400,200855
8400,200923
8534,44287
8534,58266
8771,8295
8771,8534
8771,42646
8771,43125
8771,43191
8771,43608
8771,47267
8771,59737
9125,12823
9125,29604
9125,34299
9125,42186
9125,43125
9125,43191
9125,43281
9125,47222
9125,48164
9125,50653
9125,51859
9125,52026
9125,52072
9125,198237
9125,198360
9125,198371
13004,6700
13004,8771
13004,9125
13004,13091
13004,15926
13004,15958
13004,15982
13004,25431
13004,31042
13004,35573
13004,39311
13004,41937
13004,47267
13004,57427
13091,47663
13091,56569
13092,13303
15958,8771
15958,28964
15958,41937
15958,42860
15958,43191
15958,43277
15958,43547
15958,43608
15958,43784
15958,49717
15958,50781
15958,51002
15958,51052
15958,51859
15958,52116
15958,56569
15958,57486
15958,57595
15958,197021
15958,197423
15958,199398
15958,201047
15958,201236
15982,34096
15982,34258
15982,48688
21215,49412
28964,29604
28964,51002
28964,52105
28964,52187
29170,39237
29170,43272
29170,50091
29170,51404
29170,60871
29170,199195
31042,8270
31042,8295
31042,12823
31042,15926
31042,21215
31042,25431
31042,29163
31042,31161
31042,34258
31042,34404
31042,35440
31042,41507
31042,42860
31042,43335
31042,43547
31042,43608
31042,44143
31042,44301
31042,44958
31042,47222
31042,47267
31042,49167
31042,49462
31042,49486
31042,50653
31042,51002
31042,51859
31042,51908
31042,56576
31042,57550
31042,58179
31042,59737
31042,61254
31042,62012
31042,196908
31042,197021
31042,198237
31042,198273
31042,198370
31042,198371
31042,198603
31042,198649
31042,198894
31042,199493
31042,201047
33983,8661
33983,47588
33983,57891
41897,15982
41897,41937
41897,61439
41937,49167
41937,62420
44143,62012
51002,50872
52116,56843
57207,56843
57427,61254
60137,43281
