Source,Target
7908,52358
7908,52386
8048,3496
8048,19192
8048,20312
8048,21980
8048,22726
8048,23007
8048,27686
8048,27782
8048,27862
8048,27889
8048,27892
8048,27893
8048,27957
8048,28012
8048,28089
8048,61471
8048,262176
8048,263182
11562,27771
11562,27957
11562,52285
20312,11694
20312,19192
20312,23007
20312,27686
20312,27808
20312,27890
20312,27891
20312,27892
20312,27893
27717,27872
27717,263223
27717,263701
27807,11694
27807,19192
27807,23007
27807,27890
27807,27891
27807,27892
27807,27893
27893,17287
28007,27862
52320,8048
52320,11562
52320,21826
52320,21980
52320,27717
52320,27862
52320,61461
52320,263703
263703,11562
