Source,Target
2018,2905
2018,3741
2018,8094
2018,36982
2018,37105
2018,37501
2018,37520
2905,3741
2905,5713
2905,6083
2905,6187
2905,6968
2905,9129
2905,10474
2905,10798
2905,11744
2905,11845
2905,12091
2905,15022
2905,25818
2905,33762
2905,33769
2905,36937
2905,36994
2905,37028
2905,37053
2905,37105
2905,37179
2905,37180
2905,37511
3741,5713
3741,6968
3741,7020
3741,7154
3741,10798
3741,10803
3741,11744
3741,11845
3741,14115
3741,15022
3741,16637
3741,18931
3741,22386
3741,23058
3741,25818
3741,32653
3741,33769
3741,36883
3741,36889
3741,36919
3741,36937
3741,36943
3741,36951
3741,36983
3741,36994
3741,37007
3741,37028
3741,37053
3741,37105
3741,37153
3741,37159
3741,37168
3741,37172
3741,37179
3741,37235
3741,37239
3741,37253
3741,37254
3741,37271
3741,37302
3741,37333
3741,37358
3741,37394
3741,37399
3741,37403
3741,37422
3741,37474
3741,37484
3741,37488
3741,37523
3741,37630
3741,37639
3741,37663
3741,37667
3741,37680
3741,327701
3741,327749
3741,327767
3741,327783
3741,327787
3741,327808
5713,3067
5713,5734
5713,6083
5713,7154
5713,11157
5713,11845
5713,14115
5713,15022
5713,16416
5713,23058
5713,25818
5713,32437
5713,32653
5713,36874
5713,36883
5713,36889
5713,36916
5713,36953
5713,36968
5713,36994
5713,37055
5713,37116
5713,37159
5713,37179
5713,37239
5713,37251
5713,37253
5713,37312
5713,37316
5713,37317
5713,37353
5713,37356
5713,37357
5713,37399
5713,37402
5713,37411
5713,37438
5713,37457
5713,37479
5713,37482
5713,37491
5713,37515
5713,37523
5713,37546
5713,37611
5713,37624
5713,37639
5713,37640
5713,37658
5713,37670
5713,37673
5713,37675
5713,327812
5713,327824
5713,327892
6968,37105
7020,37105
10474,2018
10474,3741
10474,5713
10474,6083
10474,11845
10474,12258
10474,16637
10474,22355
10474,22750
10474,25818
10474,26106
10474,26422
10474,33762
10474,36874
10474,36889
10474,36898
10474,36916
10474,36937
10474,36944
10474,36985
10474,36994
10474,37016
10474,37028
10474,37049
10474,37105
10474,37150
10474,37153
10474,37157
10474,37159
10474,37168
10474,37172
10474,37179
10474,37225
10474,37235
10474,37236
10474,37239
10474,37253
10474,37266
10474,37276
10474,37315
10474,37333
10474,37334
10474,37353
10474,37356
10474,37357
10474,37363
10474,37368
10474,37399
10474,37403
10474,37412
10474,37417
10474,37439
10474,37457
10474,37479
10474,37497
10474,37511
10474,37515
10474,37519
10474,37525
10474,37549
10474,37589
10474,37596
10474,37599
10474,37611
10474,37628
10474,37634
10474,37639
10474,37650
10474,37658
10474,37670
10474,37675
10474,37680
10474,37691
10474,327693
10474,327698
10474,327726
10474,327733
10474,327737
10474,327745
10474,327751
10474,327785
10474,327791
10474,327804
10474,327805
10474,327811
10474,327822
10474,327824
10474,327850
10474,327893
10474,327894
10474,327897
10474,327901
10474,327911
11845,22355
11845,22386
11845,33790
11845,36937
11845,36985
11845,37105
11845,37236
11845,37266
11845,37656
11845,327693
11845,327733
11845,327754
11845,327850
12258,37266
16637,6187
16637,9129
16637,10798
16637,11744
16637,12091
16637,25818
16637,28698
16637,33762
16637,33769
16637,37028
16637,37105
16637,37180
16637,37511
18931,37271
22355,37105
22355,37266
22355,37599
22355,327749
22355,327781
22750,37049
22750,37105
25818,327893
26422,327715
28698,10798
36874,37105
36874,37179
36874,37199
36874,37317
36874,37491
36874,37652
36889,37105
36916,37105
36916,37595
36916,327751
36937,2018
36937,3067
36937,6968
36937,10803
36937,11157
36937,11744
36937,22355
36937,32437
36937,36919
36937,36953
36937,36983
36937,37028
36937,37105
36937,37130
36937,37160
36937,37172
36937,37180
36937,37302
36937,37312
36937,37314
36937,37315
36937,37316
36937,37333
36937,37417
36937,37422
36937,37439
36937,37479
36937,37519
36937,37520
36937,37525
36937,37542
36937,37630
36937,37634
36937,37650
36937,37675
36937,327693
36937,327715
36937,327751
36937,327805
36937,327817
36937,327826
36937,327841
36937,327858
36937,327878
36943,37399
36944,2018
36953,327841
36994,11744
36994,29918
36994,29975
36994,37028
36994,37121
36994,37160
36994,37275
36994,37402
36994,37525
36994,37670
37028,17148
37028,37105
37053,37105
37053,37363
37053,37439
37053,37511
37053,327811
37105,37157
37105,37168
37105,37179
37105,37235
37105,37236
37105,37253
37105,37271
37105,37333
37105,37334
37105,37358
37105,37474
37105,37497
37105,37515
37105,37549
37105,37597
37105,37658
37105,37680
37105,134384
37105,327745
37105,327849
37153,37399
37153,37411
37153,327813
37157,37564
37172,37271
37179,21739
37179,22750
37179,26106
37179,26422
37179,37053
37179,37150
37179,37153
37179,37225
37179,37239
37179,37276
37179,37353
37179,37368
37179,37413
37179,37482
37179,37523
37179,37624
37179,37627
37179,37673
37179,327872
37253,37488
37254,327715
37271,37157
37271,37254
37271,37417
37271,37497
37271,37519
37271,37549
37271,37564
37271,37618
37271,37650
37271,61092
37271,327737
37271,327750
37271,327772
37271,327824
37271,327825
37276,37658
37314,327840
37353,36898
37353,37236
37353,37628
37358,37356
37457,36985
37457,37251
37457,327839
37497,37640
37497,327745
37497,327822
37624,37673
327693,22572
327693,37611
