Source,Target,Type
55330,7494,Undirected
24244,30721,Undirected
24244,55330,Undirected
174,38742,Undirected
38742,6762,Undirected
17557,38742,Undirected
38264,38742,Undirected
133066,38742,Undirected
38742,55330,Undirected
45178,6762,Undirected
45178,55330,Undirected
30721,45521,Undirected
45521,55330,Undirected
45784,55330,Undirected
45790,55330,Undirected
55330,6762,Undirected
55330,9198,Undirected
38193,55330,Undirected
48159,55330,Undirected
55330,55424,Undirected
55330,55434,Undirected
55330,55732,Undirected
55330,55745,Undirected
55330,58427,Undirected
55330,58471,Undirected
55330,58630,Undirected
55330,58697,Undirected
55330,59317,Undirected
55330,59373,Undirected
55330,59381,Undirected
55330,60632,Undirected
131284,55330,Undirected
132173,55330,Undirected
132404,55330,Undirected
132471,55330,Undirected
133076,55330,Undirected
133141,55330,Undirected
133174,55330,Undirected
133477,55330,Undirected
133510,55330,Undirected
133533,55330,Undirected
133586,55330,Undirected
133875,55330,Undirected
133894,55330,Undirected
55424,6762,Undirected
131284,55745,Undirected
18117,55784,Undirected
51346,58630,Undirected
131284,6762,Undirected
131284,38193,Undirected
131284,48159,Undirected
131284,132707,Undirected
131284,133457,Undirected
132404,9229,Undirected
132467,20965,Undirected
132471,17557,Undirected
133477,49103,Undirected
