Source,Target,Type
43733,6682,Undirected
49363,6682,Undirected
49800,6682,Undirected
44395,6682,Undirected
12297,8226,Undirected
47623,8226,Undirected
51090,8226,Undirected
199673,8226,Undirected
41965,8226,Undirected
44395,8226,Undirected
196709,8226,Undirected
44395,8932,Undirected
12297,3356,Undirected
12297,3549,Undirected
12297,39863,Undirected
12297,44395,Undirected
12297,47623,Undirected
12297,52160,Undirected
12297,56561,Undirected
12297,60548,Undirected
12297,197497,Undirected
12297,31133,Undirected
12297,35805,Undirected
12304,16190,Undirected
16190,42688,Undirected
16190,44395,Undirected
16190,196709,Undirected
199620,21104,Undirected
21104,44395,Undirected
33852,50496,Undirected
33852,43733,Undirected
34083,49800,Undirected
39863,41965,Undirected
41965,42109,Undirected
41965,47642,Undirected
41965,47822,Undirected
41965,48861,Undirected
41965,51835,Undirected
41965,44395,Undirected
42109,8674,Undirected
42109,43845,Undirected
42109,44153,Undirected
42109,44395,Undirected
42109,44505,Undirected
42109,48860,Undirected
42109,56561,Undirected
42109,57162,Undirected
197497,42109,Undirected
199062,42109,Undirected
201268,42109,Undirected
20771,43733,Undirected
43733,47975,Undirected
43733,52160,Undirected
43733,56561,Undirected
196709,43733,Undirected
43845,44395,Undirected
43845,49800,Undirected
44153,48861,Undirected
44395,553,Undirected
1267,44395,Undirected
1299,44395,Undirected
1764,44395,Undirected
3252,44395,Undirected
3356,44395,Undirected
3549,44395,Undirected
44395,6939,Undirected
44395,8426,Undirected
44395,8468,Undirected
44395,8492,Undirected
44395,8596,Undirected
44395,8732,Undirected
44395,9002,Undirected
44395,9189,Undirected
12779,44395,Undirected
12859,44395,Undirected
13237,44395,Undirected
16265,44395,Undirected
20485,44395,Undirected
20640,44395,Undirected
20771,44395,Undirected
24989,44395,Undirected
25091,44395,Undirected
25220,44395,Undirected
28917,44395,Undirected
29076,44395,Undirected
29140,44395,Undirected
29208,44395,Undirected
30844,44395,Undirected
31019,44395,Undirected
31025,44395,Undirected
31133,44395,Undirected
31500,44395,Undirected
34288,44395,Undirected
36351,44395,Undirected
39792,44395,Undirected
39912,44395,Undirected
41313,44395,Undirected
42708,44395,Undirected
44217,44395,Undirected
39216,44395,Undirected
42991,44395,Undirected
44395,47623,Undirected
44395,47872,Undirected
44395,48008,Undirected
44395,48166,Undirected
44395,48406,Undirected
44395,48861,Undirected
44395,51225,Undirected
44395,51342,Undirected
44395,57231,Undirected
197834,44395,Undirected
198519,44395,Undirected
199673,44395,Undirected
201639,44395,Undirected
201921,44395,Undirected
20965,47623,Undirected
47623,51090,Undirected
47822,49800,Undirected
48861,49800,Undirected
20771,49363,Undirected
196709,49363,Undirected
49470,49800,Undirected
112,49800,Undirected
49800,50623,Undirected
49800,51225,Undirected
49800,51371,Undirected
49800,51693,Undirected
49800,52160,Undirected
49800,56561,Undirected
49800,57162,Undirected
49800,57849,Undirected
49800,60548,Undirected
197805,49800,Undirected
199062,49800,Undirected
199620,49800,Undirected
201268,49800,Undirected
201639,49800,Undirected
201921,49800,Undirected
201986,49800,Undirected
196709,49800,Undirected
20965,51090,Undirected
196709,57491,Undirected
12389,196709,Undirected
35805,6682,Undirected
41965,44327,Undirected
44395,49363,Undirected
42109,8226,Undirected
49363,8226,Undirected
49800,8226,Undirected
42109,49800,Undirected
42109,49363,Undirected
44395,49800,Undirected
49363,49800,Undirected
