Source,Target,Type
11259,4788,Undirected
11259,6453,Undirected
11259,8657,Undirected
11259,32717,Undirected
11259,36881,Undirected
11259,36907,Undirected
11259,36917,Undirected
11259,36976,Undirected
11259,37062,Undirected
11259,37384,Undirected
11259,37432,Undirected
11259,37533,Undirected
11259,37590,Undirected
11259,327775,Undirected
11259,327806,Undirected
11259,12956,Undirected
17400,3356,Undirected
17400,6453,Undirected
17400,36917,Undirected
17400,36976,Undirected
17400,37155,Undirected
17400,22351,Undirected
36881,8657,Undirected
33763,36881,Undirected
36881,37062,Undirected
36881,37147,Undirected
36881,37267,Undirected
33763,36907,Undirected
36907,36936,Undirected
36907,37011,Undirected
36907,37062,Undirected
36907,37147,Undirected
36907,37318,Undirected
36907,37448,Undirected
36907,37593,Undirected
327801,36907,Undirected
34444,36917,Undirected
36917,37267,Undirected
36917,37590,Undirected
327691,36917,Undirected
1103,37011,Undirected
37011,3741,Undirected
37011,8359,Undirected
37011,8419,Undirected
37011,8468,Undirected
37011,8657,Undirected
12779,37011,Undirected
13237,37011,Undirected
19151,37011,Undirected
20485,37011,Undirected
25091,37011,Undirected
25160,37011,Undirected
30844,37011,Undirected
31133,37011,Undirected
34288,37011,Undirected
37011,37100,Undirected
37011,37468,Undirected
37011,39202,Undirected
37011,39792,Undirected
37011,41695,Undirected
37011,41811,Undirected
37011,42708,Undirected
37011,50300,Undirected
37011,56730,Undirected
202109,37011,Undirected
37011,44356,Undirected
37036,37119,Undirected
33763,37062,Undirected
1273,37081,Undirected
12956,37081,Undirected
3491,37119,Undirected
37119,8657,Undirected
33763,37119,Undirected
327806,37119,Undirected
37155,37468,Undirected
33763,37264,Undirected
37468,553,Undirected
1103,37468,Undirected
1267,37468,Undirected
1299,37468,Undirected
1764,37468,Undirected
3252,37468,Undirected
3741,37468,Undirected
37468,6453,Undirected
37468,6939,Undirected
37468,8359,Undirected
37468,8419,Undirected
37468,8422,Undirected
37468,8426,Undirected
37468,8468,Undirected
37468,8492,Undirected
37468,8596,Undirected
37468,9002,Undirected
37468,9189,Undirected
12779,37468,Undirected
12859,37468,Undirected
13237,37468,Undirected
14537,37468,Undirected
16265,37468,Undirected
19151,37468,Undirected
20485,37468,Undirected
20640,37468,Undirected
24989,37468,Undirected
25091,37468,Undirected
25160,37468,Undirected
25220,37468,Undirected
28917,37468,Undirected
29076,37468,Undirected
29140,37468,Undirected
29208,37468,Undirected
29611,37468,Undirected
29636,37468,Undirected
30844,37468,Undirected
31019,37468,Undirected
31025,37468,Undirected
31133,37468,Undirected
31500,37468,Undirected
33891,37468,Undirected
34288,37468,Undirected
36351,37468,Undirected
37100,37468,Undirected
37468,37603,Undirected
37468,37645,Undirected
37468,39202,Undirected
37468,39792,Undirected
37468,39912,Undirected
37468,41695,Undirected
37468,41811,Undirected
37468,42708,Undirected
37468,43531,Undirected
37468,48166,Undirected
37468,50300,Undirected
37468,56730,Undirected
202109,37468,Undirected
37593,8657,Undirected
33763,37593,Undirected
327691,33763,Undirected
327775,33558,Undirected
327801,33763,Undirected
16422,327806,Undirected
