Source,Target,Type
8670,9146,Undirected
16178,8670,Undirected
1299,9146,Undirected
5391,9146,Undirected
5603,9146,Undirected
6762,9146,Undirected
21196,9146,Undirected
34665,9146,Undirected
39689,9146,Undirected
42432,9146,Undirected
47959,9146,Undirected
50537,9146,Undirected
50938,9146,Undirected
57397,9146,Undirected
57869,9146,Undirected
57888,9146,Undirected
59847,9146,Undirected
197687,9146,Undirected
16145,21107,Undirected
16145,25144,Undirected
16178,174,Undirected
16178,553,Undirected
1267,16178,Undirected
16178,1764,Undirected
16178,3252,Undirected
16178,3356,Undirected
16178,3549,Undirected
16178,6939,Undirected
16178,8426,Undirected
16178,8468,Undirected
16178,8492,Undirected
16178,8596,Undirected
16178,8732,Undirected
16178,9002,Undirected
16178,9189,Undirected
12779,16178,Undirected
12859,16178,Undirected
13030,16178,Undirected
13237,16178,Undirected
16178,20485,Undirected
16178,20640,Undirected
16178,24989,Undirected
16178,25091,Undirected
16178,25220,Undirected
16178,25467,Undirected
16178,28917,Undirected
16178,29076,Undirected
16178,29140,Undirected
16178,29208,Undirected
16178,30844,Undirected
16178,31019,Undirected
16178,31025,Undirected
16178,31133,Undirected
16178,31500,Undirected
16178,34288,Undirected
16178,39792,Undirected
16178,39912,Undirected
16178,42708,Undirected
16178,43947,Undirected
16178,48059,Undirected
16178,48166,Undirected
16178,16265,Undirected
20875,5391,Undirected
20875,34665,Undirected
20875,42432,Undirected
20875,43179,Undirected
20875,50938,Undirected
20875,57869,Undirected
197687,20875,Undirected
21107,5603,Undirected
21107,21196,Undirected
21107,42571,Undirected
198252,21107,Undirected
1299,25144,Undirected
25144,6453,Undirected
25144,8400,Undirected
25144,25467,Undirected
25144,34943,Undirected
25144,35567,Undirected
25144,42432,Undirected
198252,25144,Undirected
198994,25144,Undirected
201719,25144,Undirected
35567,5391,Undirected
35567,59457,Undirected
24747,42432,Undirected
42432,50537,Undirected
197687,42432,Undirected
3212,42560,Undirected
31042,42560,Undirected
42560,43179,Undirected
42560,57397,Undirected
42571,5391,Undirected
42571,8400,Undirected
198994,42571,Undirected
43179,5391,Undirected
43179,57397,Undirected
39765,43704,Undirected
13092,43752,Undirected
57397,59457,Undirected
198252,201719,Undirected
199051,9119,Undirected
199051,57888,Undirected
20875,9146,Undirected
