Source,Target,Type
17806,7565,Undirected
58587,7565,Undirected
24323,9230,Undirected
55846,9230,Undirected
58527,9230,Undirected
58695,9230,Undirected
58737,9230,Undirected
58917,9230,Undirected
59242,9230,Undirected
59321,9230,Undirected
17806,9230,Undirected
23923,9230,Undirected
58599,9230,Undirected
132267,9230,Undirected
38011,9441,Undirected
59351,9441,Undirected
133633,9441,Undirected
58656,9441,Undirected
58682,9441,Undirected
24122,9651,Undirected
24342,9651,Undirected
24122,9825,Undirected
17494,9832,Undirected
17806,9832,Undirected
58587,9832,Undirected
58656,9832,Undirected
58717,9832,Undirected
17469,17641,Undirected
17469,38315,Undirected
17469,38592,Undirected
17469,55344,Undirected
17469,59382,Undirected
17469,58704,Undirected
17471,58715,Undirected
17471,58717,Undirected
132267,17471,Undirected
17494,24122,Undirected
17494,38017,Undirected
17494,38031,Undirected
17494,45245,Undirected
17494,45532,Undirected
17494,45588,Undirected
17494,45925,Undirected
17494,56031,Undirected
17494,56032,Undirected
17494,58527,Undirected
17494,58918,Undirected
17494,59249,Undirected
17494,59361,Undirected
132267,17494,Undirected
132602,17494,Undirected
17641,24122,Undirected
17806,6453,Undirected
17806,9498,Undirected
17806,23893,Undirected
17806,23923,Undirected
17806,23991,Undirected
17806,24122,Undirected
17806,24342,Undirected
17806,24432,Undirected
17806,38017,Undirected
17806,38069,Undirected
17806,38192,Undirected
17806,38203,Undirected
17806,38210,Undirected
17806,38259,Undirected
17806,38562,Undirected
17806,38592,Undirected
17806,38721,Undirected
17806,38744,Undirected
17806,45245,Undirected
17806,45326,Undirected
17806,45532,Undirected
17806,45621,Undirected
17806,45904,Undirected
17806,45925,Undirected
17806,45951,Undirected
17806,55406,Undirected
17806,55828,Undirected
17806,56121,Undirected
17806,56138,Undirected
17806,58732,Undirected
17806,58826,Undirected
17806,58912,Undirected
17806,58918,Undirected
17806,59341,Undirected
18230,58601,Undirected
18230,58704,Undirected
23688,58695,Undirected
23688,58935,Undirected
132801,23688,Undirected
133610,23688,Undirected
23688,58599,Undirected
23688,58656,Undirected
132602,23876,Undirected
23893,59236,Undirected
23893,58601,Undirected
10102,23923,Undirected
21433,23923,Undirected
23923,55531,Undirected
23923,63923,Undirected
132502,23923,Undirected
133083,23923,Undirected
23923,58629,Undirected
23923,58656,Undirected
23956,38054,Undirected
23956,55531,Undirected
23956,55550,Undirected
23956,58581,Undirected
23956,58926,Undirected
132604,23956,Undirected
133083,23956,Undirected
133430,23956,Undirected
23956,58656,Undirected
23991,58814,Undirected
23991,58629,Undirected
23991,58656,Undirected
23991,58717,Undirected
24050,24122,Undirected
24122,24323,Undirected
24122,58445,Undirected
24122,58581,Undirected
24122,58814,Undirected
24122,58587,Undirected
24323,38712,Undirected
24323,55344,Undirected
24323,55828,Undirected
24323,58445,Undirected
24323,58917,Undirected
24323,59242,Undirected
24323,63914,Undirected
132604,24323,Undirected
24323,58601,Undirected
24342,63851,Undirected
24342,58656,Undirected
24342,58717,Undirected
132267,24342,Undirected
24389,58656,Undirected
24389,58682,Undirected
24432,58629,Undirected
132267,24432,Undirected
24481,58717,Undirected
24556,58656,Undirected
24556,58682,Undirected
38011,58587,Undirected
38011,58689,Undirected
38017,58656,Undirected
38026,58919,Undirected
38026,58656,Undirected
38026,58715,Undirected
38030,58704,Undirected
38031,59328,Undirected
38031,58715,Undirected
38031,58803,Undirected
38036,58682,Undirected
38036,58945,Undirected
38069,58656,Undirected
10102,38071,Undirected
38071,58926,Undirected
38071,58601,Undirected
38071,58656,Undirected
38137,58656,Undirected
38138,58691,Undirected
10102,38192,Undirected
38192,58656,Undirected
38200,58629,Undirected
38203,63932,Undirected
38203,58668,Undirected
132602,38203,Undirected
132884,38210,Undirected
38212,58715,Undirected
38256,58656,Undirected
38256,58682,Undirected
38256,58717,Undirected
38313,58656,Undirected
38313,58688,Undirected
38315,58601,Undirected
38493,58601,Undirected
38493,58682,Undirected
38555,58688,Undirected
38555,58691,Undirected
38555,58715,Undirected
38556,58682,Undirected
38556,58715,Undirected
38558,58715,Undirected
10102,38562,Undirected
38562,58717,Undirected
38592,45588,Undirected
38592,58717,Undirected
38614,58601,Undirected
38614,58656,Undirected
38614,58717,Undirected
38712,58935,Undirected
38712,63851,Undirected
38712,58656,Undirected
132267,38712,Undirected
38721,58682,Undirected
132267,38721,Undirected
