Source,Target,Type
2914,5416,Undirected
31452,5416,Undirected
35568,5416,Undirected
39273,5416,Undirected
45572,5416,Undirected
48109,5416,Undirected
5416,6453,Undirected
5416,6762,Undirected
5416,8781,Undirected
5416,8966,Undirected
48237,5416,Undirected
12411,22822,Undirected
30882,35313,Undirected
30882,35457,Undirected
30882,39273,Undirected
31452,8781,Undirected
31452,62123,Undirected
31452,41426,Undirected
31452,59605,Undirected
35019,6453,Undirected
35019,48109,Undirected
35313,8966,Undirected
35313,42909,Undirected
35313,59397,Undirected
35313,51406,Undirected
35457,8781,Undirected
35457,35729,Undirected
35457,44876,Undirected
35457,41426,Undirected
35546,51375,Undirected
198727,35568,Undirected
35568,51375,Undirected
39015,6762,Undirected
35753,39015,Undirected
39015,41426,Undirected
39273,5583,Undirected
39273,8781,Undirected
39273,44876,Undirected
39273,51375,Undirected
48109,51375,Undirected
41426,51375,Undirected
553,59605,Undirected
1103,59605,Undirected
1267,59605,Undirected
1299,59605,Undirected
1764,59605,Undirected
3252,59605,Undirected
3257,59605,Undirected
3267,59605,Undirected
3333,59605,Undirected
3356,59605,Undirected
3549,59605,Undirected
3741,59605,Undirected
59605,6453,Undirected
59605,6939,Undirected
59605,8283,Undirected
59605,8359,Undirected
59605,8419,Undirected
59605,8422,Undirected
59605,8426,Undirected
59605,8447,Undirected
59605,8468,Undirected
59605,8492,Undirected
59605,8596,Undirected
59605,8732,Undirected
59605,8781,Undirected
59605,9002,Undirected
59605,9189,Undirected
59605,9304,Undirected
10026,59605,Undirected
12637,59605,Undirected
12779,59605,Undirected
12859,59605,Undirected
12989,59605,Undirected
13030,59605,Undirected
13237,59605,Undirected
14537,59605,Undirected
15435,59605,Undirected
19151,59605,Undirected
20080,59605,Undirected
20485,59605,Undirected
20562,59605,Undirected
20640,59605,Undirected
20932,59605,Undirected
24989,59605,Undirected
25091,59605,Undirected
25160,59605,Undirected
25220,59605,Undirected
28917,59605,Undirected
29076,59605,Undirected
29140,59605,Undirected
29208,59605,Undirected
29611,59605,Undirected
29636,59605,Undirected
30132,59605,Undirected
30844,59605,Undirected
31019,59605,Undirected
31025,59605,Undirected
31133,59605,Undirected
31500,59605,Undirected
33891,59605,Undirected
34288,59605,Undirected
36351,59605,Undirected
37100,59605,Undirected
39202,59605,Undirected
39386,59605,Undirected
39792,59605,Undirected
39912,59605,Undirected
41692,59605,Undirected
41695,59605,Undirected
41811,59605,Undirected
42708,59605,Undirected
43531,59605,Undirected
48166,59605,Undirected
48237,59605,Undirected
50300,59605,Undirected
50304,59605,Undirected
50763,59605,Undirected
51185,59605,Undirected
56730,59605,Undirected
36998,59605,Undirected
42961,59605,Undirected
43766,59605,Undirected
48832,59605,Undirected
200130,59605,Undirected
202018,59605,Undirected
202109,59605,Undirected
62123,8781,Undirected
12411,35313,Undirected
