Source,Target,Type
28683,3491,Undirected
28683,5511,Undirected
28683,37136,Undirected
28683,37148,Undirected
174,37090,Undirected
1103,37090,Undirected
1267,37090,Undirected
1764,37090,Undirected
3252,37090,Undirected
3257,37090,Undirected
3267,37090,Undirected
3333,37090,Undirected
37090,4589,Undirected
37090,6777,Undirected
37090,6939,Undirected
37090,8283,Undirected
37090,8359,Undirected
37090,8447,Undirected
37090,8468,Undirected
37090,8492,Undirected
37090,8657,Undirected
37090,9002,Undirected
37090,9304,Undirected
10026,37090,Undirected
12637,37090,Undirected
12779,37090,Undirected
12859,37090,Undirected
12989,37090,Undirected
13030,37090,Undirected
13237,37090,Undirected
15435,37090,Undirected
20080,37090,Undirected
20562,37090,Undirected
20932,37090,Undirected
25091,37090,Undirected
25160,37090,Undirected
25220,37090,Undirected
28917,37090,Undirected
29140,37090,Undirected
29208,37090,Undirected
30132,37090,Undirected
30844,37090,Undirected
31019,37090,Undirected
31133,37090,Undirected
31500,37090,Undirected
33891,37090,Undirected
34288,37090,Undirected
37090,37100,Undirected
37090,39792,Undirected
37090,41692,Undirected
37090,42708,Undirected
37090,44953,Undirected
37090,48166,Undirected
37090,50300,Undirected
37090,50304,Undirected
37090,50763,Undirected
37090,51185,Undirected
200130,37090,Undirected
202018,37090,Undirected
327818,37090,Undirected
37292,5511,Undirected
2905,37424,Undirected
16637,37424,Undirected
327731,5511,Undirected
15169,37090,Undirected
13414,37090,Undirected
20940,37090,Undirected
10310,37090,Undirected
16509,37090,Undirected
