Source,Target,Type
3855,701,Undirected
1239,3855,Undirected
2914,3855,Undirected
3257,3855,Undirected
16705,3855,Undirected
19626,3855,Undirected
36549,3855,Undirected
3855,5580,Undirected
13802,3855,Undirected
10388,54301,Undirected
11269,1239,Undirected
11269,1273,Undirected
11269,2914,Undirected
11269,6453,Undirected
11269,11618,Undirected
11269,19626,Undirected
11269,47060,Undirected
11260,11618,Undirected
11618,13802,Undirected
13802,174,Undirected
13802,2914,Undirected
13802,3257,Undirected
13802,5769,Undirected
13802,6939,Undirected
11666,13802,Undirected
13030,13802,Undirected
13802,19151,Undirected
13802,41095,Undirected
16413,174,Undirected
13789,16413,Undirected
32020,33576,Undirected
22652,54859,Undirected
