Source,Target,Type
6568,701,Undirected
2914,6568,Undirected
6453,6568,Undirected
22541,6568,Undirected
262159,6568,Undirected
6568,6762,Undirected
12956,6568,Undirected
57731,6568,Undirected
22541,26210,Undirected
12956,25620,Undirected
25620,27882,Undirected
25620,57731,Undirected
12956,26210,Undirected
26210,27828,Undirected
26210,52355,Undirected
26210,61488,Undirected
26210,262159,Undirected
26210,263242,Undirected
26210,57731,Undirected
27714,27882,Undirected
12956,27839,Undirected
27839,28024,Undirected
27882,28024,Undirected
27882,52355,Undirected
27882,52495,Undirected
263242,27882,Undirected
262206,27882,Undirected
28024,7303,Undirected
12252,28024,Undirected
28024,57731,Undirected
12956,52340,Undirected
