Source,Target,Type
17660,2914,Undirected
17660,3303,Undirected
17660,4739,Undirected
17660,4826,Undirected
17660,6939,Undirected
17660,7660,Undirected
17660,9002,Undirected
17660,9304,Undirected
17660,9498,Undirected
17660,9505,Undirected
17660,20485,Undirected
17660,23673,Undirected
17660,38004,Undirected
17660,38726,Undirected
17660,59219,Undirected
132232,17660,Undirected
3491,38740,Undirected
38740,6453,Undirected
38740,9498,Undirected
23858,38740,Undirected
132232,38740,Undirected
13414,17660,Undirected
17660,20940,Undirected
17660,22822,Undirected
17660,5580,Undirected
10310,17660,Undirected
16625,17660,Undirected
17660,6461,Undirected
17660,54888,Undirected
16509,17660,Undirected
