Source,Target,Type
14988,5713,Undirected
10798,14988,Undirected
14988,37382,Undirected
14988,327758,Undirected
14988,36937,Undirected
14988,37678,Undirected
30844,33781,Undirected
33781,37678,Undirected
36963,5511,Undirected
36963,37662,Undirected
2905,37014,Undirected
37014,8657,Undirected
16637,37014,Undirected
37014,37678,Undirected
30844,37395,Undirected
37100,37395,Undirected
327716,37395,Undirected
37537,37678,Undirected
37604,37678,Undirected
174,37678,Undirected
3491,37678,Undirected
3741,37678,Undirected
37678,5713,Undirected
37678,6762,Undirected
37079,37678,Undirected
37184,37678,Undirected
327716,37678,Undirected
327757,37678,Undirected
327758,37678,Undirected
327760,37678,Undirected
