Source,Target,Type
5498,6697,Undirected
21274,5498,Undirected
174,6697,Undirected
553,6697,Undirected
1267,6697,Undirected
1299,6697,Undirected
1764,6697,Undirected
3216,6697,Undirected
3252,6697,Undirected
6697,6939,Undirected
6697,8468,Undirected
6697,8596,Undirected
6697,9189,Undirected
12406,6697,Undirected
12779,6697,Undirected
13237,6697,Undirected
20640,6697,Undirected
20852,6697,Undirected
21062,6697,Undirected
21236,6697,Undirected
21305,6697,Undirected
24989,6697,Undirected
25091,6697,Undirected
25106,6697,Undirected
25220,6697,Undirected
28849,6697,Undirected
29140,6697,Undirected
30844,6697,Undirected
31019,6697,Undirected
31025,6697,Undirected
31143,6697,Undirected
33973,6697,Undirected
34288,6697,Undirected
34421,6697,Undirected
34921,6697,Undirected
39912,6697,Undirected
42036,6697,Undirected
42632,6697,Undirected
42708,6697,Undirected
42772,6697,Undirected
44288,6697,Undirected
44397,6697,Undirected
44841,6697,Undirected
47311,6697,Undirected
48743,6697,Undirected
48981,6697,Undirected
49243,6697,Undirected
49526,6697,Undirected
50176,6697,Undirected
50685,6697,Undirected
50686,6697,Undirected
51365,6697,Undirected
51631,6697,Undirected
57192,6697,Undirected
57481,6697,Undirected
59770,6697,Undirected
60280,6697,Undirected
60367,6697,Undirected
60742,6697,Undirected
60770,6697,Undirected
60870,6697,Undirected
199561,6697,Undirected
6697,8359,Undirected
6697,9002,Undirected
12389,6697,Undirected
12578,6697,Undirected
20485,6697,Undirected
31133,6697,Undirected
12406,24659,Undirected
12406,24827,Undirected
12406,24941,Undirected
12406,28737,Undirected
12406,30945,Undirected
12406,31345,Undirected
12406,33973,Undirected
12406,34421,Undirected
12406,42772,Undirected
12406,44087,Undirected
12406,44841,Undirected
12406,48352,Undirected
12406,49711,Undirected
12406,50155,Undirected
12406,50334,Undirected
12406,50345,Undirected
12406,50438,Undirected
12406,50492,Undirected
12406,50528,Undirected
12406,50590,Undirected
12406,50685,Undirected
12406,50929,Undirected
12406,51276,Undirected
12406,51584,Undirected
12406,56497,Undirected
12406,56742,Undirected
12406,56920,Undirected
12406,57331,Undirected
12406,60306,Undirected
12406,60611,Undirected
12406,60769,Undirected
12406,60857,Undirected
12406,61235,Undirected
12406,62165,Undirected
12406,62197,Undirected
12406,199102,Undirected
12406,60280,Undirected
12406,60330,Undirected
13171,21274,Undirected
20852,61277,Undirected
21043,21236,Undirected
21236,60330,Undirected
21274,8501,Undirected
20965,21274,Undirected
21274,50686,Undirected
21274,50934,Undirected
21274,57331,Undirected
21274,60744,Undirected
199561,21274,Undirected
21305,60744,Undirected
21305,60330,Undirected
25106,56740,Undirected
25106,60330,Undirected
28849,38980,Undirected
28849,49051,Undirected
28849,60655,Undirected
31143,60330,Undirected
201512,34421,Undirected
35668,60330,Undirected
42772,58076,Undirected
49091,60330,Undirected
50593,60330,Undirected
56410,62028,Undirected
56498,60330,Undirected
59861,60330,Undirected
553,60280,Undirected
1267,60280,Undirected
1764,60280,Undirected
3252,60280,Undirected
60280,6679,Undirected
60280,6939,Undirected
60280,8331,Undirected
60280,8426,Undirected
60280,8468,Undirected
60280,8492,Undirected
60280,8732,Undirected
60280,9002,Undirected
60280,9189,Undirected
12389,60280,Undirected
12779,60280,Undirected
12859,60280,Undirected
13237,60280,Undirected
16265,60280,Undirected
20485,60280,Undirected
20640,60280,Undirected
24989,60280,Undirected
25091,60280,Undirected
25220,60280,Undirected
28917,60280,Undirected
29076,60280,Undirected
29140,60280,Undirected
29208,60280,Undirected
30844,60280,Undirected
31019,60280,Undirected
31025,60280,Undirected
31133,60280,Undirected
34288,60280,Undirected
39792,60280,Undirected
39912,60280,Undirected
42708,60280,Undirected
48166,60280,Undirected
50952,60280,Undirected
60280,60330,Undirected
20940,6697,Undirected
12358,6697,Undirected
2635,6697,Undirected
13414,6697,Undirected
15169,6697,Undirected
10310,6697,Undirected
1668,24827,Undirected
24827,34421,Undirected
31143,50685,Undirected
31143,34421,Undirected
34421,56740,Undirected
34421,50685,Undirected
