Source,Target,Type
10269,28094,Undirected
10269,23520,Undirected
10269,28512,Undirected
10269,52276,Undirected
18734,28094,Undirected
262232,3356,Undirected
262232,3549,Undirected
262232,44356,Undirected
262239,28512,Undirected
262254,553,Undirected
1103,262254,Undirected
1267,262254,Undirected
1764,262254,Undirected
262254,3252,Undirected
262254,3267,Undirected
262254,3333,Undirected
262254,3356,Undirected
262254,5413,Undirected
262254,6777,Undirected
262254,6939,Undirected
262254,8283,Undirected
262254,8426,Undirected
262254,8447,Undirected
262254,8468,Undirected
262254,8596,Undirected
262254,8657,Undirected
262254,9002,Undirected
262254,9189,Undirected
262254,9304,Undirected
10026,262254,Undirected
12637,262254,Undirected
12714,262254,Undirected
12779,262254,Undirected
12859,262254,Undirected
12989,262254,Undirected
13030,262254,Undirected
13237,262254,Undirected
15435,262254,Undirected
20080,262254,Undirected
20485,262254,Undirected
20640,262254,Undirected
20932,262254,Undirected
24989,262254,Undirected
25091,262254,Undirected
25160,262254,Undirected
25220,262254,Undirected
262254,28917,Undirected
262254,29140,Undirected
262254,29208,Undirected
262254,30132,Undirected
262254,30844,Undirected
262254,31019,Undirected
262254,31025,Undirected
262254,31500,Undirected
262254,33891,Undirected
262254,34288,Undirected
262254,37100,Undirected
262254,39792,Undirected
262254,39912,Undirected
262254,42632,Undirected
262254,42708,Undirected
262254,44953,Undirected
262254,48166,Undirected
262254,50300,Undirected
262254,50304,Undirected
262254,50384,Undirected
262254,50763,Undirected
262254,51185,Undirected
200130,262254,Undirected
202018,262254,Undirected
12961,262254,Undirected
14558,262254,Undirected
15756,262254,Undirected
262254,41098,Undirected
262254,43391,Undirected
262254,51790,Undirected
262254,57062,Undirected
262254,61977,Undirected
197695,262254,Undirected
201186,262254,Undirected
263187,28545,Undirected
43289,60387,Undirected
43350,60387,Undirected
201371,60387,Undirected
