Source,Target,Type
1273,29571,Undirected
29571,3491,Undirected
29571,5511,Undirected
21271,29571,Undirected
25543,29571,Undirected
29571,36912,Undirected
29571,36973,Undirected
29571,37000,Undirected
29571,37190,Undirected
29571,37381,Undirected
29571,37475,Undirected
29571,37531,Undirected
29571,37577,Undirected
2905,36974,Undirected
36974,6453,Undirected
16637,36974,Undirected
10798,36974,Undirected
36974,37000,Undirected
36974,37190,Undirected
36974,37475,Undirected
327773,36974,Undirected
37381,6453,Undirected
37381,57731,Undirected
327746,37475,Undirected
