Source,Target,Type
11081,286,Undirected
11081,1299,Undirected
11081,2914,Undirected
11081,22069,Undirected
11081,26505,Undirected
11081,27745,Undirected
11081,27748,Undirected
11081,27762,Undirected
11081,52301,Undirected
11081,52389,Undirected
11081,52391,Undirected
11081,61473,Undirected
174,23541,Undirected
1239,23541,Undirected
23541,2914,Undirected
23541,6939,Undirected
23541,7738,Undirected
23541,27748,Undirected
23541,28017,Undirected
23541,52231,Undirected
23541,52301,Undirected
23541,262162,Undirected
23520,26505,Undirected
26505,49933,Undirected
262933,26505,Undirected
27970,5580,Undirected
27970,6939,Undirected
27970,8359,Undirected
27970,8455,Undirected
27970,40191,Undirected
27970,43531,Undirected
27970,51999,Undirected
27970,62567,Undirected
27970,393406,Undirected
27745,28017,Undirected
1103,52233,Undirected
1267,52233,Undirected
1764,52233,Undirected
3252,52233,Undirected
3267,52233,Undirected
3333,52233,Undirected
52233,6777,Undirected
52233,6939,Undirected
52233,8283,Undirected
52233,8359,Undirected
52233,8447,Undirected
52233,8468,Undirected
52233,8492,Undirected
52233,9002,Undirected
52233,9304,Undirected
10026,52233,Undirected
12637,52233,Undirected
12779,52233,Undirected
12859,52233,Undirected
12989,52233,Undirected
13030,52233,Undirected
13237,52233,Undirected
15435,52233,Undirected
20080,52233,Undirected
20562,52233,Undirected
20932,52233,Undirected
23520,52233,Undirected
25091,52233,Undirected
25160,52233,Undirected
25220,52233,Undirected
28917,52233,Undirected
29140,52233,Undirected
29208,52233,Undirected
30132,52233,Undirected
30844,52233,Undirected
31019,52233,Undirected
31133,52233,Undirected
31500,52233,Undirected
33891,52233,Undirected
34288,52233,Undirected
37100,52233,Undirected
39792,52233,Undirected
44953,52233,Undirected
48166,52233,Undirected
50300,52233,Undirected
50304,52233,Undirected
50763,52233,Undirected
51185,52233,Undirected
20940,52233,Undirected
200130,52233,Undirected
202018,52233,Undirected
262162,52233,Undirected
262173,52233,Undirected
262238,52233,Undirected
174,52344,Undirected
3356,52344,Undirected
3549,52344,Undirected
23520,52344,Undirected
52344,61473,Undirected
11816,262164,Undirected
11081,52344,Undirected
20940,52344,Undirected
