Source,Target,Type
3272,35033,Undirected
3292,42,Undirected
174,3292,Undirected
224,3292,Undirected
251,3292,Undirected
286,3292,Undirected
293,3292,Undirected
3292,553,Undirected
3292,577,Undirected
3292,668,Undirected
3292,680,Undirected
3292,702,Undirected
3292,714,Undirected
3292,786,Undirected
3292,812,Undirected
1103,3292,Undirected
1140,3292,Undirected
1239,3292,Undirected
1257,3292,Undirected
1273,3292,Undirected
1280,3292,Undirected
1290,3292,Undirected
1299,3292,Undirected
1653,3292,Undirected
1668,3292,Undirected
1741,3292,Undirected
1759,3292,Undirected
1880,3292,Undirected
2110,3292,Undirected
2119,3292,Undirected
2152,3292,Undirected
2497,3292,Undirected
2516,3292,Undirected
2603,3292,Undirected
2611,3292,Undirected
2686,3292,Undirected
2818,3292,Undirected
2856,3292,Undirected
2857,3292,Undirected
2874,3292,Undirected
2906,3292,Undirected
2914,3292,Undirected
3209,3292,Undirected
3249,3292,Undirected
3257,3292,Undirected
3265,3292,Undirected
1342,3292,Undirected
1421,3292,Undirected
2109,3292,Undirected
3166,3292,Undirected
3222,3292,Undirected
3274,3292,Undirected
3292,3301,Undirected
3292,3303,Undirected
3292,3308,Undirected
3292,3320,Undirected
3292,3321,Undirected
3292,3327,Undirected
3292,3333,Undirected
3292,3491,Undirected
3292,3549,Undirected
3292,3561,Undirected
3292,3573,Undirected
3292,3856,Undirected
3292,3910,Undirected
3292,3943,Undirected
3292,4004,Undirected
3292,4134,Undirected
3292,4181,Undirected
3292,4323,Undirected
3292,4565,Undirected
3292,4589,Undirected
3292,4637,Undirected
3292,4648,Undirected
3292,4651,Undirected
3292,4657,Undirected
3292,4739,Undirected
3292,4766,Undirected
3292,4788,Undirected
3292,5089,Undirected
3292,5390,Undirected
3292,5400,Undirected
3292,5410,Undirected
3292,5413,Undirected
3292,5420,Undirected
3292,5430,Undirected
3292,5459,Undirected
3292,5466,Undirected
3292,5503,Undirected
3292,5539,Undirected
3292,5552,Undirected
3292,5580,Undirected
3292,5583,Undirected
3292,5588,Undirected
3292,5605,Undirected
3292,5624,Undirected
3292,5769,Undirected
3292,6079,Undirected
3292,6128,Undirected
3292,6181,Undirected
3292,6327,Undirected
3292,6407,Undirected
3292,6453,Undirected
3292,6461,Undirected
3292,6661,Undirected
3292,6667,Undirected
3292,6724,Undirected
3292,6730,Undirected
3292,6735,Undirected
3292,6762,Undirected
3292,6774,Undirected
3292,6805,Undirected
3292,6820,Undirected
3292,6830,Undirected
3292,6834,Undirected
3292,6839,Undirected
3292,6852,Undirected
3292,6900,Undirected
3292,6908,Undirected
3292,6939,Undirected
3292,7029,Undirected
3292,7342,Undirected
3292,7385,Undirected
3292,7473,Undirected
3292,7575,Undirected
3292,7843,Undirected
3292,7922,Undirected
3292,8001,Undirected
3292,8075,Undirected
3292,8218,Undirected
3292,8220,Undirected
3292,8319,Undirected
3292,8359,Undirected
3292,8365,Undirected
3292,8403,Undirected
3292,8419,Undirected
3292,8422,Undirected
3292,8426,Undirected
3292,8447,Undirected
3292,8469,Undirected
3292,8473,Undirected
3292,8478,Undirected
3292,8553,Undirected
3292,8560,Undirected
3292,8657,Undirected
3292,8674,Undirected
3292,8708,Undirected
3292,8741,Undirected
3292,8763,Undirected
3292,8781,Undirected
3292,8818,Undirected
3292,8851,Undirected
3292,8881,Undirected
3292,8918,Undirected
3292,8928,Undirected
3292,8954,Undirected
3292,8989,Undirected
3292,9002,Undirected
3292,9009,Undirected
3292,9143,Undirected
3292,9145,Undirected
3292,9158,Undirected
3292,9171,Undirected
3292,9189,Undirected
3292,9193,Undirected
3292,9211,Undirected
3292,9304,Undirected
3292,9318,Undirected
3292,9498,Undirected
3292,9505,Undirected
10297,3292,Undirected
10310,3292,Undirected
11164,3292,Undirected
11643,3292,Undirected
11798,3292,Undirected
12306,3292,Undirected
12322,3292,Undirected
12389,3292,Undirected
12390,3292,Undirected
12399,3292,Undirected
12414,3292,Undirected
12480,3292,Undirected
12483,3292,Undirected
12496,3292,Undirected
12552,3292,Undirected
12578,3292,Undirected
12597,3292,Undirected
12611,3292,Undirected
12630,3292,Undirected
12654,3292,Undirected
12713,3292,Undirected
12731,3292,Undirected
12782,3292,Undirected
12834,3292,Undirected
12859,3292,Undirected
12871,3292,Undirected
12897,3292,Undirected
12935,3292,Undirected
12956,3292,Undirected
12989,3292,Undirected
13030,3292,Undirected
13037,3292,Undirected
13101,3292,Undirected
13120,3292,Undirected
13127,3292,Undirected
13189,3292,Undirected
13237,3292,Undirected
13285,3292,Undirected
13335,3292,Undirected
13414,3292,Undirected
13489,3292,Undirected
13768,3292,Undirected
14361,3292,Undirected
14492,3292,Undirected
14907,3292,Undirected
15133,3292,Undirected
15169,3292,Undirected
15389,3292,Undirected
15412,3292,Undirected
15426,3292,Undirected
15435,3292,Undirected
15516,3292,Undirected
15527,3292,Undirected
15594,3292,Undirected
15600,3292,Undirected
15659,3292,Undirected
15743,3292,Undirected
15793,3292,Undirected
15869,3292,Undirected
15912,3292,Undirected
15991,3292,Undirected
16086,3292,Undirected
16095,3292,Undirected
16150,3292,Undirected
16186,3292,Undirected
16245,3292,Undirected
16265,3292,Undirected
16273,3292,Undirected
16509,3292,Undirected
16735,3292,Undirected
19151,3292,Undirected
19318,3292,Undirected
19399,3292,Undirected
20495,3292,Undirected
20513,3292,Undirected
20569,3292,Undirected
20571,3292,Undirected
20640,3292,Undirected
20676,3292,Undirected
20681,3292,Undirected
20764,3292,Undirected
20774,3292,Undirected
20847,3292,Undirected
20904,3292,Undirected
20940,3292,Undirected
20953,3292,Undirected
21099,3292,Undirected
21125,3292,Undirected
21155,3292,Undirected
21171,3292,Undirected
21221,3292,Undirected
21293,3292,Undirected
21348,3292,Undirected
21473,3292,Undirected
21478,3292,Undirected
21490,3292,Undirected
22577,3292,Undirected
22773,3292,Undirected
22822,3292,Undirected
23148,3292,Undirected
23265,3292,Undirected
23576,3292,Undirected
24167,3292,Undirected
24584,3292,Undirected
24713,3292,Undirected
24819,3292,Undirected
24875,3292,Undirected
25074,3292,Undirected
25152,3292,Undirected
25213,3292,Undirected
25225,3292,Undirected
25384,3292,Undirected
25562,3292,Undirected
26415,3292,Undirected
27524,3292,Undirected
28717,3292,Undirected
28765,3292,Undirected
28788,3292,Undirected
28795,3292,Undirected
28854,3292,Undirected
29024,3292,Undirected
29093,3292,Undirected
29240,3292,Undirected
29243,3292,Undirected
29293,3292,Undirected
29468,3292,Undirected
29695,3292,Undirected
29791,3292,Undirected
29838,3292,Undirected
30094,3292,Undirected
30132,3292,Undirected
30740,3292,Undirected
30795,3292,Undirected
30821,3292,Undirected
31024,3292,Undirected
31027,3292,Undirected
31131,3292,Undirected
31211,3292,Undirected
31264,3292,Undirected
3292,32934,Undirected
3292,33031,Undirected
3292,33438,Undirected
3292,33796,Undirected
3292,34288,Undirected
3292,34305,Undirected
3292,34482,Undirected
3292,34576,Undirected
3292,34848,Undirected
3292,34941,Undirected
3292,35033,Undirected
3292,35157,Undirected
3292,35445,Undirected
3292,35742,Undirected
3292,35789,Undirected
3292,36351,Undirected
3292,36692,Undirected
3292,36944,Undirected
3292,38082,Undirected
3292,38861,Undirected
3292,39137,Undirected
3292,39194,Undirected
3292,39242,Undirected
3292,39326,Undirected
3292,39342,Undirected
3292,39554,Undirected
3292,39597,Undirected
3292,39651,Undirected
3292,39662,Undirected
3292,39792,Undirected
3292,39840,Undirected
3292,39870,Undirected
3292,39871,Undirected
3292,41014,Undirected
3292,41076,Undirected
3292,41095,Undirected
3292,41136,Undirected
3292,41164,Undirected
3292,41243,Undirected
3292,41401,Undirected
3292,41690,Undirected
3292,41701,Undirected
3292,41729,Undirected
3292,41795,Undirected
3292,41808,Undirected
3292,41878,Undirected
3292,42022,Undirected
3292,42127,Undirected
3292,42175,Undirected
3292,42252,Undirected
3292,42318,Undirected
3292,42418,Undirected
3292,42525,Undirected
3292,42540,Undirected
3292,42595,Undirected
3292,42659,Undirected
3292,42697,Undirected
3292,42708,Undirected
3292,42876,Undirected
3292,42885,Undirected
3292,42903,Undirected
3292,43167,Undirected
3292,43499,Undirected
3292,43504,Undirected
3292,43531,Undirected
3292,43646,Undirected
3292,43792,Undirected
3292,43821,Undirected
3292,43959,Undirected
3292,44034,Undirected
3292,44123,Undirected
3292,44338,Undirected
3292,44398,Undirected
3292,44447,Undirected
3292,44457,Undirected
3292,44743,Undirected
3292,44763,Undirected
3292,44764,Undirected
3292,44838,Undirected
3292,46489,Undirected
3292,46786,Undirected
3292,47249,Undirected
3292,47292,Undirected
3292,47467,Undirected
3292,47527,Undirected
3292,47528,Undirected
3292,48093,Undirected
3292,48171,Undirected
3292,48186,Undirected
3292,48299,Undirected
3292,48469,Undirected
3292,48564,Undirected
3292,48657,Undirected
3292,48768,Undirected
3292,48805,Undirected
3292,48854,Undirected
3292,48904,Undirected
3292,49010,Undirected
3292,49059,Undirected
3292,49082,Undirected
3292,49172,Undirected
3292,49251,Undirected
3292,49272,Undirected
3292,49278,Undirected
3292,49292,Undirected
3292,49309,Undirected
3292,49329,Undirected
3292,49422,Undirected
3292,49544,Undirected
3292,49670,Undirected
3292,49769,Undirected
3292,49930,Undirected
3292,49974,Undirected
3292,50062,Undirected
3292,50420,Undirected
3292,50572,Undirected
3292,51000,Undirected
3292,51164,Undirected
3292,51473,Undirected
3292,51634,Undirected
3292,51726,Undirected
3292,51844,Undirected
3292,51899,Undirected
3292,52004,Undirected
3292,52114,Undirected
3292,52170,Undirected
3292,56496,Undirected
3292,56736,Undirected
3292,56828,Undirected
3292,56901,Undirected
3292,57030,Undirected
3292,57084,Undirected
3292,57195,Undirected
3292,57208,Undirected
3292,58320,Undirected
3292,59469,Undirected
3292,59586,Undirected
3292,59807,Undirected
3292,60238,Undirected
3292,60244,Undirected
3292,60876,Undirected
3292,61006,Undirected
3292,61032,Undirected
3292,61395,Undirected
3292,61413,Undirected
3292,62022,Undirected
3292,62180,Undirected
3292,62319,Undirected
196997,3292,Undirected
197000,3292,Undirected
197190,3292,Undirected
197317,3292,Undirected
197332,3292,Undirected
197436,3292,Undirected
197519,3292,Undirected
197581,3292,Undirected
198008,3292,Undirected
198206,3292,Undirected
198309,3292,Undirected
198407,3292,Undirected
198473,3292,Undirected
198530,3292,Undirected
198944,3292,Undirected
199215,3292,Undirected
199355,3292,Undirected
199470,3292,Undirected
199524,3292,Undirected
199564,3292,Undirected
199768,3292,Undirected
200018,3292,Undirected
200037,3292,Undirected
200139,3292,Undirected
201419,3292,Undirected
201503,3292,Undirected
201720,3292,Undirected
201816,3292,Undirected
202174,3292,Undirected
3292,3356,Undirected
1299,3308,Undirected
3308,6834,Undirected
3308,9167,Undirected
15133,3308,Undirected
25384,3308,Undirected
28765,3308,Undirected
28826,3308,Undirected
29266,3308,Undirected
31393,3308,Undirected
3308,33796,Undirected
3308,34482,Undirected
3308,41795,Undirected
3308,42659,Undirected
3308,47527,Undirected
3308,48854,Undirected
3308,49974,Undirected
3308,51000,Undirected
3308,56849,Undirected
196724,3308,Undirected
197288,3308,Undirected
197291,3308,Undirected
197927,3308,Undirected
199213,3308,Undirected
3321,701,Undirected
3321,4755,Undirected
18101,3321,Undirected
31027,3321,Undirected
1835,5491,Undirected
31027,5491,Undirected
3549,5624,Undirected
174,6834,Undirected
1103,6834,Undirected
1267,6834,Undirected
1764,6834,Undirected
3252,6834,Undirected
3267,6834,Undirected
3333,6834,Undirected
6667,6834,Undirected
6834,6939,Undirected
6834,8283,Undirected
6834,8359,Undirected
6834,8468,Undirected
6834,8492,Undirected
6834,9002,Undirected
10026,6834,Undirected
12637,6834,Undirected
12779,6834,Undirected
12859,6834,Undirected
12989,6834,Undirected
13030,6834,Undirected
13237,6834,Undirected
19151,6834,Undirected
20562,6834,Undirected
20932,6834,Undirected
25091,6834,Undirected
25160,6834,Undirected
25220,6834,Undirected
28917,6834,Undirected
29140,6834,Undirected
29208,6834,Undirected
30132,6834,Undirected
30844,6834,Undirected
31019,6834,Undirected
31133,6834,Undirected
31500,6834,Undirected
33891,6834,Undirected
34027,6834,Undirected
34288,6834,Undirected
37100,6834,Undirected
39792,6834,Undirected
48166,6834,Undirected
50300,6834,Undirected
50304,6834,Undirected
50763,6834,Undirected
51185,6834,Undirected
200130,6834,Undirected
202018,6834,Undirected
2,8273,Undirected
31027,8273,Undirected
2603,9120,Undirected
6667,9120,Undirected
6939,9120,Undirected
13030,9120,Undirected
42525,9120,Undirected
251,9158,Undirected
2119,9158,Undirected
6939,9158,Undirected
13030,9158,Undirected
13237,9158,Undirected
29266,9158,Undirected
57720,9158,Undirected
198676,9158,Undirected
31709,9167,Undirected
42124,9167,Undirected
49187,9167,Undirected
50346,9167,Undirected
61397,9167,Undirected
198622,9167,Undirected
201895,9167,Undirected
31027,9171,Undirected
42525,9171,Undirected
12483,8220,Undirected
12483,32787,Undirected
12617,174,Undirected
12617,3356,Undirected
12617,6939,Undirected
12617,41474,Undirected
12617,43531,Undirected
12617,51251,Undirected
12617,61253,Undirected
12617,197495,Undirected
12617,16245,Undirected
12617,59469,Undirected
12834,702,Undirected
15411,16245,Undirected
15423,2686,Undirected
15516,251,Undirected
15516,2603,Undirected
15516,6667,Undirected
15516,6939,Undirected
13030,15516,Undirected
15516,31661,Undirected
15687,49309,Undirected
15859,28717,Undirected
16095,2603,Undirected
16095,3356,Undirected
16095,6667,Undirected
13237,16095,Undirected
16095,35033,Undirected
16095,42541,Undirected
16095,42638,Undirected
16095,48186,Undirected
16095,48726,Undirected
16095,61045,Undirected
16095,197927,Undirected
16095,198901,Undirected
16095,199289,Undirected
16245,174,Undirected
1299,16245,Undirected
16245,2603,Undirected
16245,6667,Undirected
16245,6939,Undirected
13030,16245,Undirected
13237,16245,Undirected
16245,29280,Undirected
16245,31590,Undirected
16245,35678,Undirected
16245,39839,Undirected
16245,43806,Undirected
16245,57915,Undirected
16245,197660,Undirected
16245,198194,Undirected
16245,198206,Undirected
16245,198608,Undirected
16245,198631,Undirected
16245,198903,Undirected
16245,199988,Undirected
16245,201455,Undirected
16245,201960,Undirected
174,20618,Undirected
20618,6667,Undirected
20618,6939,Undirected
13030,20618,Undirected
20618,62324,Undirected
1103,20681,Undirected
1267,20681,Undirected
20681,3356,Undirected
20681,3549,Undirected
20681,3741,Undirected
20681,6939,Undirected
20681,8359,Undirected
20681,8419,Undirected
20681,8468,Undirected
12779,20681,Undirected
13237,20681,Undirected
14537,20681,Undirected
19151,20681,Undirected
20485,20681,Undirected
20681,25091,Undirected
20681,25160,Undirected
20681,29208,Undirected
20681,29611,Undirected
20681,29636,Undirected
20681,30844,Undirected
20681,31133,Undirected
20681,31500,Undirected
20681,33891,Undirected
20681,34288,Undirected
20681,37100,Undirected
20681,39202,Undirected
20681,39792,Undirected
20681,41695,Undirected
20681,41811,Undirected
20681,42708,Undirected
20681,43531,Undirected
20681,50300,Undirected
20681,56730,Undirected
202109,20681,Undirected
21060,31027,Undirected
21465,34848,Undirected
21465,42525,Undirected
25111,702,Undirected
25111,42525,Undirected
