Source,Target,Type
1239,46198,Undirected
3356,46198,Undirected
3549,46198,Undirected
27896,46198,Undirected
6400,701,Undirected
1299,6400,Undirected
2914,6400,Undirected
19151,6400,Undirected
27759,6400,Undirected
27991,6400,Undirected
262148,6400,Undirected
262247,6400,Undirected
28513,6400,Undirected
12066,174,Undirected
12066,6453,Undirected
12066,27767,Undirected
12066,28118,Undirected
12066,262221,Undirected
12066,263212,Undirected
12066,263689,Undirected
12066,23520,Undirected
23520,27847,Undirected
27847,27887,Undirected
174,27887,Undirected
27887,3303,Undirected
27887,6939,Undirected
16735,27887,Undirected
262178,27887,Undirected
263212,27887,Undirected
262221,27896,Undirected
23148,27991,Undirected
23520,28053,Undirected
174,28118,Undirected
28118,6453,Undirected
262247,28118,Undirected
23520,52412,Undirected
26929,52448,Undirected
262148,52457,Undirected
52457,54308,Undirected
23520,52471,Undirected
23520,262178,Undirected
23520,262931,Undirected
23520,263212,Undirected
