Source,Target,Type
16214,3208,Undirected
3208,3257,Undirected
3208,6762,Undirected
20965,3208,Undirected
16214,3257,Undirected
21391,36947,Undirected
21391,57023,Undirected
3257,33779,Undirected
33779,6453,Undirected
33779,6762,Undirected
33779,36947,Undirected
36879,5511,Undirected
36879,6762,Undirected
1273,36891,Undirected
36891,5511,Undirected
36891,6762,Undirected
21175,36918,Undirected
36947,6762,Undirected
12956,36947,Undirected
327712,36947,Undirected
36947,57023,Undirected
3356,36989,Undirected
3549,36989,Undirected
3257,37632,Undirected
15169,36947,Undirected
