Source,Target,Type
2586,3221,Undirected
2603,3221,Undirected
3221,3267,Undirected
3221,62024,Undirected
20965,3221,Undirected
251,3249,Undirected
1103,3249,Undirected
1267,3249,Undirected
1299,3249,Undirected
3249,3267,Undirected
3249,3292,Undirected
3249,3303,Undirected
3249,3332,Undirected
3249,3741,Undirected
3249,4589,Undirected
3249,4739,Undirected
3249,5413,Undirected
3249,5580,Undirected
3249,6461,Undirected
3249,6667,Undirected
3249,6939,Undirected
3249,8218,Undirected
3249,8240,Undirected
3249,8359,Undirected
3249,8419,Undirected
3249,8422,Undirected
3249,8426,Undirected
3249,8447,Undirected
3249,8468,Undirected
3249,8492,Undirected
3249,8657,Undirected
3249,8928,Undirected
3249,9002,Undirected
12989,3249,Undirected
13030,3249,Undirected
13237,3249,Undirected
15412,3249,Undirected
16014,3249,Undirected
19151,3249,Undirected
20485,3249,Undirected
20562,3249,Undirected
21147,3249,Undirected
25408,3249,Undirected
28917,3249,Undirected
28955,3249,Undirected
29076,3249,Undirected
31133,3249,Undirected
31500,3249,Undirected
3249,33891,Undirected
3249,34729,Undirected
3249,35106,Undirected
3249,35407,Undirected
3249,36351,Undirected
3249,39211,Undirected
3249,39632,Undirected
3249,39792,Undirected
3249,41095,Undirected
3249,41692,Undirected
3249,42012,Undirected
3249,42016,Undirected
3249,42300,Undirected
3249,42708,Undirected
3249,43682,Undirected
3249,43937,Undirected
3249,43958,Undirected
3249,44929,Undirected
3249,47525,Undirected
3249,48166,Undirected
3249,49604,Undirected
3249,57201,Undirected
3249,59725,Undirected
3249,61189,Undirected
3249,61328,Undirected
196743,3249,Undirected
197060,3249,Undirected
197517,3249,Undirected
198068,3249,Undirected
198795,3249,Undirected
199328,3249,Undirected
199800,3249,Undirected
201601,3249,Undirected
251,3327,Undirected
3327,553,Undirected
1103,3327,Undirected
1267,3327,Undirected
1764,3327,Undirected
2895,3327,Undirected
3252,3327,Undirected
3267,3327,Undirected
3292,3327,Undirected
3303,3327,Undirected
3327,3333,Undirected
3327,4589,Undirected
3327,4739,Undirected
3327,5580,Undirected
3327,6679,Undirected
3327,6730,Undirected
3327,6939,Undirected
3327,8240,Undirected
3327,8283,Undirected
3327,8331,Undirected
3327,8359,Undirected
3327,8426,Undirected
3327,8447,Undirected
3327,8468,Undirected
3327,8492,Undirected
3327,8596,Undirected
3327,8657,Undirected
3327,8728,Undirected
3327,9189,Undirected
3327,9198,Undirected
3327,9304,Undirected
3327,9505,Undirected
10026,3327,Undirected
12637,3327,Undirected
12695,3327,Undirected
12714,3327,Undirected
12757,3327,Undirected
12779,3327,Undirected
12859,3327,Undirected
12976,3327,Undirected
12989,3327,Undirected
13237,3327,Undirected
15435,3327,Undirected
16083,3327,Undirected
19151,3327,Undirected
20080,3327,Undirected
20485,3327,Undirected
20562,3327,Undirected
20632,3327,Undirected
20640,3327,Undirected
20764,3327,Undirected
20932,3327,Undirected
21147,3327,Undirected
24989,3327,Undirected
25091,3327,Undirected
25160,3327,Undirected
