Source,Target,Type
1741,565,Undirected
1739,1741,Undirected
1741,3267,Undirected
1741,3292,Undirected
1741,6667,Undirected
1741,8359,Undirected
1741,9002,Undirected
15496,1741,Undirected
1741,30754,Undirected
1741,39098,Undirected
1741,39662,Undirected
1741,39857,Undirected
1741,2603,Undirected
2586,3221,Undirected
12757,2586,Undirected
2586,34729,Undirected
2586,35407,Undirected
2586,39632,Undirected
2586,42016,Undirected
2586,42472,Undirected
2586,43958,Undirected
2586,44839,Undirected
2586,47525,Undirected
2586,49604,Undirected
2586,59725,Undirected
2586,62024,Undirected
197517,2586,Undirected
199800,2586,Undirected
201321,2586,Undirected
2586,6667,Undirected
3222,3292,Undirected
174,3238,Undirected
2603,3238,Undirected
3216,3238,Undirected
3238,6667,Undirected
3238,6939,Undirected
3238,8359,Undirected
3238,9002,Undirected
20764,3238,Undirected
31019,3238,Undirected
31133,3238,Undirected
31500,3238,Undirected
31644,3238,Undirected
3238,33891,Undirected
3238,36351,Undirected
3238,39792,Undirected
3238,41878,Undirected
3238,42708,Undirected
3238,47605,Undirected
3238,3549,Undirected
16265,3238,Undirected
1759,3274,Undirected
3274,3292,Undirected
3274,47605,Undirected
209,5420,Undirected
5420,719,Undirected
3292,5420,Undirected
35985,5420,Undirected
42,6667,Undirected
224,6667,Undirected
251,6667,Undirected
286,6667,Undirected
553,6667,Undirected
6667,702,Undirected
6667,714,Undirected
6667,786,Undirected
1103,6667,Undirected
1126,6667,Undirected
1136,6667,Undirected
1248,6667,Undirected
1267,6667,Undirected
1273,6667,Undirected
1280,6667,Undirected
1290,6667,Undirected
1299,6667,Undirected
1547,6667,Undirected
1653,6667,Undirected
1759,6667,Undirected
1836,6667,Undirected
1880,6667,Undirected
2110,6667,Undirected
2116,6667,Undirected
2119,6667,Undirected
2484,6667,Undirected
2497,6667,Undirected
2516,6667,Undirected
2529,6667,Undirected
2603,6667,Undirected
2611,6667,Undirected
2686,6667,Undirected
2818,6667,Undirected
2852,6667,Undirected
2856,6667,Undirected
2857,6667,Undirected
2874,6667,Undirected
2906,6667,Undirected
3209,6667,Undirected
3213,6667,Undirected
3216,6667,Undirected
3223,6667,Undirected
3249,6667,Undirected
3257,6667,Undirected
3262,6667,Undirected
3265,6667,Undirected
3267,6667,Undirected
3292,6667,Undirected
3303,6667,Undirected
3320,6667,Undirected
3333,6667,Undirected
3356,6667,Undirected
3491,6667,Undirected
3549,6667,Undirected
3741,6667,Undirected
3786,6667,Undirected
3856,6667,Undirected
4004,6667,Undirected
4134,6667,Undirected
4181,6667,Undirected
4565,6667,Undirected
4589,6667,Undirected
4788,6667,Undirected
5089,6667,Undirected
5381,6667,Undirected
5390,6667,Undirected
5409,6667,Undirected
5410,6667,Undirected
5413,6667,Undirected
5430,6667,Undirected
5459,6667,Undirected
5466,6667,Undirected
5503,6667,Undirected
5524,6667,Undirected
5539,6667,Undirected
5552,6667,Undirected
5580,6667,Undirected
5583,6667,Undirected
5588,6667,Undirected
5605,6667,Undirected
5607,6667,Undirected
5631,6667,Undirected
6128,6667,Undirected
6327,6667,Undirected
6407,6667,Undirected
6461,6667,Undirected
6507,6667,Undirected
6661,6667,Undirected
6663,6667,Undirected
375,6667,Undirected
6667,719,Undirected
6667,6677,Undirected
6667,6717,Undirected
6667,6724,Undirected
6667,6730,Undirected
6667,6735,Undirected
6667,6774,Undirected
6667,6805,Undirected
6667,6830,Undirected
6667,6834,Undirected
6667,6871,Undirected
6667,6894,Undirected
6667,6900,Undirected
6667,6908,Undirected
6667,6939,Undirected
6667,7270,Undirected
6667,7342,Undirected
6667,7385,Undirected
6667,8001,Undirected
6667,8002,Undirected
6667,8075,Undirected
6667,8121,Undirected
6667,8218,Undirected
6667,8220,Undirected
6667,8262,Undirected
6667,8282,Undirected
6667,8304,Undirected
6667,8308,Undirected
6667,8309,Undirected
6667,8319,Undirected
6667,8359,Undirected
