Source,Target,Type
1103,8301,Undirected
1267,8301,Undirected
1273,8301,Undirected
3356,8301,Undirected
3741,8301,Undirected
6939,8301,Undirected
8301,8359,Undirected
8301,8419,Undirected
8301,8422,Undirected
8301,8468,Undirected
12779,8301,Undirected
12798,8301,Undirected
12859,8301,Undirected
12874,8301,Undirected
13237,8301,Undirected
14537,8301,Undirected
15412,8301,Undirected
19151,8301,Undirected
20485,8301,Undirected
20764,8301,Undirected
25091,8301,Undirected
25160,8301,Undirected
29208,8301,Undirected
29611,8301,Undirected
29636,8301,Undirected
30844,8301,Undirected
31133,8301,Undirected
31500,8301,Undirected
33891,8301,Undirected
34288,8301,Undirected
36351,8301,Undirected
37100,8301,Undirected
39202,8301,Undirected
39792,8301,Undirected
39882,8301,Undirected
41695,8301,Undirected
41811,8301,Undirected
42708,8301,Undirected
43531,8301,Undirected
47448,8301,Undirected
47971,8301,Undirected
49061,8301,Undirected
50300,8301,Undirected
56730,8301,Undirected
56775,8301,Undirected
196775,8301,Undirected
197387,8301,Undirected
202109,8301,Undirected
8301,8928,Undirected
12956,8301,Undirected
12798,34803,Undirected
174,34803,Undirected
1267,34803,Undirected
1299,34803,Undirected
1764,34803,Undirected
2914,34803,Undirected
3267,34803,Undirected
34803,4589,Undirected
34803,6453,Undirected
34803,6939,Undirected
34803,8426,Undirected
34803,8447,Undirected
34803,8468,Undirected
34803,8607,Undirected
34803,8928,Undirected
34803,8943,Undirected
12859,34803,Undirected
12874,34803,Undirected
13030,34803,Undirected
14537,34803,Undirected
15435,34803,Undirected
19151,34803,Undirected
31500,34803,Undirected
33891,34803,Undirected
34803,34810,Undirected
34803,39326,Undirected
34803,39882,Undirected
34803,41692,Undirected
34803,42708,Undirected
34803,43531,Undirected
34803,44646,Undirected
34803,47448,Undirected
34803,47971,Undirected
34803,49061,Undirected
196775,34803,Undirected
199458,34803,Undirected
14537,39882,Undirected
41578,62300,Undirected
1273,44181,Undirected
44181,8928,Undirected
32787,49061,Undirected
174,196916,Undirected
16150,196916,Undirected
197206,286,Undirected
197206,8767,Undirected
174,202087,Undirected
16509,8301,Undirected
20940,8301,Undirected
10310,8301,Undirected
15169,8301,Undirected
