Source,Target,Type
26617,6133,Undirected
10586,6458,Undirected
27654,6458,Undirected
27737,6458,Undirected
27929,6458,Undirected
27933,6458,Undirected
28069,6458,Undirected
262166,6458,Undirected
14754,6458,Undirected
174,6487,Undirected
16592,6487,Undirected
40336,6487,Undirected
23243,6487,Undirected
32760,6487,Undirected
12956,13682,Undirected
12127,13682,Undirected
13682,27929,Undirected
13682,263231,Undirected
14754,174,Undirected
14754,2914,Undirected
14754,3257,Undirected
14754,8151,Undirected
14754,27708,Undirected
14754,27761,Undirected
14754,27785,Undirected
14754,27811,Undirected
14754,27929,Undirected
14754,27999,Undirected
14754,28072,Undirected
14754,28074,Undirected
14754,262204,Undirected
14754,262205,Undirected
14754,263201,Undirected
14754,263234,Undirected
14754,263694,Undirected
14754,23520,Undirected
14754,28513,Undirected
174,20299,Undirected
20299,701,Undirected
1239,20299,Undirected
20299,3573,Undirected
16973,20299,Undirected
20299,27742,Undirected
20299,27773,Undirected
20299,28050,Undirected
20299,28055,Undirected
20299,28086,Undirected
20299,28317,Undirected
20299,52325,Undirected
20299,52342,Undirected
20299,52356,Undirected
20299,52392,Undirected
20299,52395,Undirected
20299,52408,Undirected
20299,52423,Undirected
20299,61479,Undirected
20299,262145,Undirected
20299,262149,Undirected
20299,262171,Undirected
20299,262184,Undirected
20299,263248,Undirected
20299,23243,Undirected
20299,23383,Undirected
20299,23520,Undirected
20299,52262,Undirected
20299,262206,Undirected
23243,26617,Undirected
23243,27654,Undirected
23243,28087,Undirected
23243,52362,Undirected
23243,52454,Undirected
23243,262207,Undirected
23243,263231,Undirected
23243,263247,Undirected
23243,262206,Undirected
26617,3257,Undirected
12956,26617,Undirected
16592,26617,Undirected
17079,26617,Undirected
23383,26617,Undirected
262206,26617,Undirected
27750,27929,Undirected
262166,27929,Undirected
23520,27933,Undirected
28049,52276,Undirected
23520,28087,Undirected
28087,52276,Undirected
28105,52286,Undirected
12956,52276,Undirected
23520,52276,Undirected
10269,52276,Undirected
262179,52276,Undirected
23520,52286,Undirected
23520,52454,Undirected
23520,262166,Undirected
174,262206,Undirected
1239,262206,Undirected
1299,262206,Undirected
262206,2914,Undirected
262206,3356,Undirected
262206,3549,Undirected
13489,262206,Undirected
23520,262206,Undirected
262206,57731,Undirected
17079,262206,Undirected
262206,27742,Undirected
262206,27773,Undirected
262206,27882,Undirected
262206,37030,Undirected
262206,37035,Undirected
262206,37447,Undirected
262206,37649,Undirected
262206,52262,Undirected
262206,52501,Undirected
262197,262206,Undirected
15169,262206,Undirected
20299,3790,Undirected
