Source,Target,Type
3605,701,Undirected
3605,852,Undirected
1280,3605,Undirected
2914,3605,Undirected
3303,3605,Undirected
3605,4181,Undirected
3605,4323,Undirected
3605,4739,Undirected
3605,4826,Undirected
3605,5580,Undirected
3605,6939,Undirected
3605,7575,Undirected
3605,8359,Undirected
3605,9505,Undirected
10026,3605,Undirected
12989,3605,Undirected
14361,3605,Undirected
19151,3605,Undirected
21996,3605,Undirected
3605,36351,Undirected
3605,45177,Undirected
3605,4766,Undirected
3605,6453,Undirected
174,7131,Undirected
3356,7131,Undirected
3549,7131,Undirected
6453,7131,Undirected
701,9246,Undirected
852,9246,Undirected
3356,9246,Undirected
3549,9246,Undirected
4739,9246,Undirected
4826,9246,Undirected
6453,9246,Undirected
6939,9246,Undirected
7575,9246,Undirected
8359,9246,Undirected
9002,9246,Undirected
10026,9246,Undirected
11666,9246,Undirected
12989,9246,Undirected
13030,9246,Undirected
14361,9246,Undirected
19151,9246,Undirected
36351,9246,Undirected
45177,9246,Undirected
56200,9246,Undirected
174,17456,Undirected
17456,209,Undirected
