Source,Target,Type
174,1955,Undirected
1955,2012,Undirected
1955,2547,Undirected
1955,3314,Undirected
1955,3549,Undirected
1955,5580,Undirected
1955,6711,Undirected
1955,6830,Undirected
1955,6939,Undirected
1955,8512,Undirected
13092,1955,Undirected
1955,25171,Undirected
1955,30904,Undirected
1955,31581,Undirected
1955,3356,Undirected
1955,20965,Undirected
31581,3219,Undirected
3244,6939,Undirected
21229,3244,Undirected
251,5483,Undirected
5483,553,Undirected
1267,5483,Undirected
1299,5483,Undirected
1764,5483,Undirected
3252,5483,Undirected
3320,5483,Undirected
5483,5513,Undirected
5483,6700,Undirected
5483,6830,Undirected
5483,6939,Undirected
5483,8294,Undirected
5483,8317,Undirected
5483,8359,Undirected
5483,8426,Undirected
5483,8468,Undirected
5483,8492,Undirected
5483,8585,Undirected
5483,8596,Undirected
5483,8732,Undirected
5483,9002,Undirected
5483,9125,Undirected
5483,9127,Undirected
5483,9189,Undirected
12779,5483,Undirected
12859,5483,Undirected
12874,5483,Undirected
13004,5483,Undirected
13237,5483,Undirected
15545,5483,Undirected
15555,5483,Undirected
15856,5483,Undirected
15953,5483,Undirected
16015,5483,Undirected
16154,5483,Undirected
16280,5483,Undirected
19197,5483,Undirected
20485,5483,Undirected
20530,5483,Undirected
20640,5483,Undirected
20722,5483,Undirected
21186,5483,Undirected
24989,5483,Undirected
25091,5483,Undirected
25220,5483,Undirected
25318,5483,Undirected
28917,5483,Undirected
28925,5483,Undirected
29076,5483,Undirected
29140,5483,Undirected
29183,5483,Undirected
29208,5483,Undirected
29278,5483,Undirected
30844,5483,Undirected
30917,5483,Undirected
31019,5483,Undirected
31025,5483,Undirected
31102,5483,Undirected
31133,5483,Undirected
31207,5483,Undirected
31252,5483,Undirected
31282,5483,Undirected
31500,5483,Undirected
33946,5483,Undirected
33954,5483,Undirected
33977,5483,Undirected
34059,5483,Undirected
34288,5483,Undirected
34304,5483,Undirected
34563,5483,Undirected
35371,5483,Undirected
39311,5483,Undirected
39396,5483,Undirected
39474,5483,Undirected
39531,5483,Undirected
39543,5483,Undirected
39669,5483,Undirected
39792,5483,Undirected
39861,5483,Undirected
39912,5483,Undirected
40997,5483,Undirected
41313,5483,Undirected
41694,5483,Undirected
