Source,Target,Type
1197,31122,Undirected
1213,2128,Undirected
1213,2850,Undirected
1213,3549,Undirected
1213,6939,Undirected
1213,13237,Undirected
1213,42310,Undirected
1213,43531,Undirected
1213,3257,Undirected
1213,3356,Undirected
1213,20965,Undirected
2127,5466,Undirected
2127,29644,Undirected
2110,2128,Undirected
2128,6939,Undirected
13237,2128,Undirected
2128,43531,Undirected
251,5466,Undirected
286,5466,Undirected
5466,553,Undirected
1103,5466,Undirected
1267,5466,Undirected
1299,5466,Undirected
1764,5466,Undirected
2914,5466,Undirected
3216,5466,Undirected
3252,5466,Undirected
3257,5466,Undirected
3267,5466,Undirected
3292,5466,Undirected
3303,5466,Undirected
3333,5466,Undirected
3356,5466,Undirected
3741,5466,Undirected
4589,5466,Undirected
5089,5466,Undirected
5413,5466,Undirected
4983,5466,Undirected
5466,5580,Undirected
5466,6667,Undirected
5466,6830,Undirected
5466,6939,Undirected
5466,8116,Undirected
5466,8283,Undirected
5466,8359,Undirected
5466,8419,Undirected
5466,8426,Undirected
5466,8447,Undirected
5466,8468,Undirected
5466,8492,Undirected
5466,8596,Undirected
5466,8607,Undirected
5466,8928,Undirected
5466,9002,Undirected
5466,9115,Undirected
5466,9189,Undirected
5466,9304,Undirected
10026,5466,Undirected
11521,5466,Undirected
12637,5466,Undirected
12779,5466,Undirected
12859,5466,Undirected
12989,5466,Undirected
13030,5466,Undirected
13237,5466,Undirected
14537,5466,Undirected
15435,5466,Undirected
15751,5466,Undirected
15806,5466,Undirected
19151,5466,Undirected
20080,5466,Undirected
20485,5466,Undirected
20562,5466,Undirected
20640,5466,Undirected
20932,5466,Undirected
24989,5466,Undirected
25091,5466,Undirected
25160,5466,Undirected
25220,5466,Undirected
28917,5466,Undirected
29076,5466,Undirected
29140,5466,Undirected
29208,5466,Undirected
29686,5466,Undirected
30132,5466,Undirected
30614,5466,Undirected
30844,5466,Undirected
31019,5466,Undirected
31025,5466,Undirected
31133,5466,Undirected
31500,5466,Undirected
34004,5466,Undirected
34288,5466,Undirected
35289,5466,Undirected
35299,5466,Undirected
37100,5466,Undirected
39326,5466,Undirected
39730,5466,Undirected
39792,5466,Undirected
39912,5466,Undirected
39915,5466,Undirected
41095,5466,Undirected
41811,5466,Undirected
42708,5466,Undirected
44953,5466,Undirected
47615,5466,Undirected
48166,5466,Undirected
50300,5466,Undirected
50304,5466,Undirected
50763,5466,Undirected
51185,5466,Undirected
51516,5466,Undirected
51945,5466,Undirected
197953,5466,Undirected
200130,5466,Undirected
202018,5466,Undirected
