Source,Target,Type
1680,174,Undirected
1680,553,Undirected
1103,1680,Undirected
1267,1680,Undirected
1299,1680,Undirected
1547,1680,Undirected
1680,1764,Undirected
1680,3252,Undirected
1680,3267,Undirected
1680,3288,Undirected
1680,3333,Undirected
1680,3741,Undirected
1680,5540,Undirected
1680,6777,Undirected
1680,6939,Undirected
1680,8283,Undirected
1680,8359,Undirected
1680,8419,Undirected
1680,8422,Undirected
1680,8426,Undirected
1680,8447,Undirected
1680,8468,Undirected
1680,8492,Undirected
1680,8596,Undirected
1680,8738,Undirected
1680,8867,Undirected
1680,8894,Undirected
1680,9002,Undirected
1680,9189,Undirected
1680,9304,Undirected
10026,1680,Undirected
11856,1680,Undirected
12222,1680,Undirected
12257,1680,Undirected
12441,1680,Undirected
12619,1680,Undirected
12637,1680,Undirected
12736,1680,Undirected
12754,1680,Undirected
12779,1680,Undirected
12859,1680,Undirected
12874,1680,Undirected
12989,1680,Undirected
13030,1680,Undirected
13073,1680,Undirected
13074,1680,Undirected
13093,1680,Undirected
13237,1680,Undirected
13240,1680,Undirected
13448,1680,Undirected
14537,1680,Undirected
15435,1680,Undirected
15526,1680,Undirected
15643,1680,Undirected
15686,1680,Undirected
15708,1680,Undirected
15976,1680,Undirected
16061,1680,Undirected
16158,1680,Undirected
16370,1680,Undirected
1680,19151,Undirected
1680,20080,Undirected
1680,20485,Undirected
1680,20562,Undirected
1680,20640,Undirected
1680,20645,Undirected
1680,20800,Undirected
1680,20841,Undirected
1680,20932,Undirected
1680,21350,Undirected
1680,21363,Undirected
1680,21486,Undirected
1680,24989,Undirected
1680,25046,Undirected
1680,25091,Undirected
1680,25160,Undirected
1680,25220,Undirected
1680,25237,Undirected
1680,28917,Undirected
1680,29076,Undirected
1680,29140,Undirected
1680,29149,Undirected
1680,29208,Undirected
1680,29410,Undirected
1680,29608,Undirected
1680,29611,Undirected
1680,29636,Undirected
1680,30132,Undirected
1680,30744,Undirected
1680,30844,Undirected
1680,30866,Undirected
1680,31019,Undirected
1680,31025,Undirected
1680,31133,Undirected
1680,31417,Undirected
1680,31500,Undirected
1680,31578,Undirected
1680,33891,Undirected
1680,34105,Undirected
1680,34288,Undirected
1680,34583,Undirected
1680,35243,Undirected
1680,35435,Undirected
1680,35438,Undirected
1680,35532,Undirected
1680,35553,Undirected
1680,35560,Undirected
1680,36351,Undirected
1680,37100,Undirected
1680,39202,Undirected
1680,39213,Undirected
1680,39274,Undirected
1680,39343,Undirected
1680,39768,Undirected
1680,39792,Undirected
1680,39912,Undirected
1680,41095,Undirected
1680,41346,Undirected
1680,41394,Undirected
1680,41695,Undirected
1680,41811,Undirected
1680,41923,Undirected
1680,41927,Undirected
1680,42647,Undirected
1680,42708,Undirected
1680,42793,Undirected
1680,42925,Undirected
1680,43194,Undirected
1680,43514,Undirected
1680,43871,Undirected
1680,44282,Undirected
1680,44367,Undirected
1680,44669,Undirected
1680,44953,Undirected
1680,47253,Undirected
1680,47256,Undirected
1680,47776,Undirected
1680,47997,Undirected
1680,48068,Undirected
1680,48166,Undirected
1680,48966,Undirected
1680,49069,Undirected
1680,49308,Undirected
1680,49391,Undirected
1680,49456,Undirected
1680,49771,Undirected
1680,49794,Undirected
1680,50237,Undirected
1680,50300,Undirected
1680,50304,Undirected
1680,50454,Undirected
1680,50744,Undirected
1680,50763,Undirected
1680,50995,Undirected
1680,51185,Undirected
1680,51304,Undirected
1680,51336,Undirected
1680,51440,Undirected
1680,51825,Undirected
1680,56378,Undirected
1680,56596,Undirected
1680,56730,Undirected
1680,56804,Undirected
1680,56839,Undirected
1680,57035,Undirected
1680,57259,Undirected
1680,58268,Undirected
1680,197538,Undirected
1680,197797,Undirected
1680,197819,Undirected
1680,198087,Undirected
1680,198114,Undirected
1680,198773,Undirected
1680,199270,Undirected
1680,200130,Undirected
1680,201415,Undirected
1680,202018,Undirected
1680,202109,Undirected
1680,202122,Undirected
1680,3257,Undirected
1680,6453,Undirected
1680,6762,Undirected
1680,43531,Undirected
3288,8551,Undirected
3356,5486,Undirected
3549,5486,Undirected
5486,8738,Undirected
20623,5486,Undirected
20645,5486,Undirected
20841,5486,Undirected
47135,5486,Undirected
5486,8551,Undirected
5486,9116,Undirected
6810,8551,Undirected
8203,8551,Undirected
174,8551,Undirected
251,8551,Undirected
553,8551,Undirected
1103,8551,Undirected
1267,8551,Undirected
1299,8551,Undirected
1764,8551,Undirected
2603,8551,Undirected
3216,8551,Undirected
3252,8551,Undirected
3257,8551,Undirected
3267,8551,Undirected
3303,8551,Undirected
3333,8551,Undirected
3356,8551,Undirected
3491,8551,Undirected
3549,8551,Undirected
3741,8551,Undirected
4589,8551,Undirected
4739,8551,Undirected
5413,8551,Undirected
5580,8551,Undirected
6453,8551,Undirected
6667,8551,Undirected
6730,8551,Undirected
6777,8551,Undirected
6939,8551,Undirected
8218,8551,Undirected
8283,8551,Undirected
8359,8551,Undirected
8419,8551,Undirected
8422,8551,Undirected
8426,8551,Undirected
8447,8551,Undirected
8468,8551,Undirected
8492,8551,Undirected
109,8551,Undirected
714,8551,Undirected
1547,8551,Undirected
4983,8551,Undirected
6907,8551,Undirected
8551,8596,Undirected
8551,8607,Undirected
8551,8657,Undirected
8551,8732,Undirected
8551,8867,Undirected
8551,8928,Undirected
8551,8958,Undirected
8551,9002,Undirected
8551,9071,Undirected
8551,9116,Undirected
8551,9189,Undirected
8551,9304,Undirected
8551,9505,Undirected
10026,8551,Undirected
11666,8551,Undirected
12491,8551,Undirected
12619,8551,Undirected
12637,8551,Undirected
12714,8551,Undirected
12749,8551,Undirected
12753,8551,Undirected
12779,8551,Undirected
12802,8551,Undirected
12849,8551,Undirected
12859,8551,Undirected
12874,8551,Undirected
12989,8551,Undirected
13035,8551,Undirected
13074,8551,Undirected
13093,8551,Undirected
13237,8551,Undirected
13240,8551,Undirected
14537,8551,Undirected
15435,8551,Undirected
15805,8551,Undirected
15976,8551,Undirected
16116,8551,Undirected
16158,8551,Undirected
16370,8551,Undirected
19151,8551,Undirected
19551,8551,Undirected
20080,8551,Undirected
20464,8551,Undirected
20485,8551,Undirected
20562,8551,Undirected
20640,8551,Undirected
20645,8551,Undirected
20800,8551,Undirected
20932,8551,Undirected
21486,8551,Undirected
24989,8551,Undirected
25003,8551,Undirected
25091,8551,Undirected
25125,8551,Undirected
25160,8551,Undirected
25220,8551,Undirected
25565,8551,Undirected
25804,8551,Undirected
28783,8551,Undirected
28799,8551,Undirected
28833,8551,Undirected
28917,8551,Undirected
29076,8551,Undirected
29140,8551,Undirected
29149,8551,Undirected
29208,8551,Undirected
29611,8551,Undirected
29636,8551,Undirected
29686,8551,Undirected
30132,8551,Undirected
30844,8551,Undirected
31019,8551,Undirected
31025,8551,Undirected
31092,8551,Undirected
31133,8551,Undirected
31162,8551,Undirected
31500,8551,Undirected
33802,8551,Undirected
33891,8551,Undirected
33914,8551,Undirected
34105,8551,Undirected
34288,8551,Undirected
