Source,Target,Type
174,8681,Undirected
1103,8681,Undirected
1267,8681,Undirected
2603,8681,Undirected
3356,8681,Undirected
3549,8681,Undirected
3741,8681,Undirected
4589,8681,Undirected
5413,8681,Undirected
6067,8681,Undirected
6667,8681,Undirected
8359,8681,Undirected
8419,8681,Undirected
8422,8681,Undirected
8426,8681,Undirected
8468,8681,Undirected
8607,8681,Undirected
8681,8943,Undirected
8681,9002,Undirected
12350,8681,Undirected
12779,8681,Undirected
12859,8681,Undirected
13173,8681,Undirected
13237,8681,Undirected
14537,8681,Undirected
15412,8681,Undirected
19151,8681,Undirected
20485,8681,Undirected
25091,8681,Undirected
25160,8681,Undirected
29208,8681,Undirected
29611,8681,Undirected
29636,8681,Undirected
30844,8681,Undirected
31133,8681,Undirected
31500,8681,Undirected
33891,8681,Undirected
34288,8681,Undirected
34497,8681,Undirected
36351,8681,Undirected
37100,8681,Undirected
39202,8681,Undirected
39792,8681,Undirected
41095,8681,Undirected
41695,8681,Undirected
41811,8681,Undirected
42708,8681,Undirected
43531,8681,Undirected
43538,8681,Undirected
50300,8681,Undirected
56730,8681,Undirected
56805,8681,Undirected
58223,8681,Undirected
61143,8681,Undirected
197094,8681,Undirected
202109,8681,Undirected
174,60725,Undirected
3356,60725,Undirected
3491,60725,Undirected
3549,60725,Undirected
4323,60725,Undirected
4739,60725,Undirected
4826,60725,Undirected
60725,6762,Undirected
60725,7575,Undirected
60725,8657,Undirected
10026,60725,Undirected
11271,60725,Undirected
12956,60725,Undirected
24093,60725,Undirected
36149,60725,Undirected
38193,60725,Undirected
38809,60725,Undirected
58511,60725,Undirected
10131,60725,Undirected
12491,60725,Undirected
17893,60725,Undirected
21042,60725,Undirected
37281,60725,Undirected
37406,60725,Undirected
38077,60725,Undirected
38800,60725,Undirected
38875,60725,Undirected
45168,60725,Undirected
45193,60725,Undirected
58460,60725,Undirected
132789,60725,Undirected
197094,8680,Undirected
201306,3303,Undirected
