Source,Target,Type
50955,8376,Undirected
59451,8376,Undirected
197921,8376,Undirected
202092,8376,Undirected
8376,8697,Undirected
3356,8697,Undirected
3549,8697,Undirected
5511,8697,Undirected
6453,8697,Undirected
8452,8697,Undirected
21088,8697,Undirected
35656,8697,Undirected
42319,8697,Undirected
51958,8697,Undirected
57393,8697,Undirected
12975,8697,Undirected
15412,8697,Undirected
48237,8697,Undirected
8934,9038,Undirected
42912,8934,Undirected
47887,8934,Undirected
3257,9038,Undirected
3356,9038,Undirected
3549,9038,Undirected
6762,9038,Undirected
28730,9038,Undirected
60838,9038,Undirected
197921,9038,Undirected
47887,9038,Undirected
48237,9038,Undirected
12524,47887,Undirected
28730,50670,Undirected
3257,33831,Undirected
35282,47887,Undirected
20,42912,Undirected
3257,42912,Undirected
39386,42912,Undirected
42912,50670,Undirected
42912,51958,Undirected
42912,48832,Undirected
44702,50670,Undirected
251,47887,Undirected
47887,553,Undirected
1267,47887,Undirected
1764,47887,Undirected
3252,47887,Undirected
3257,47887,Undirected
3356,47887,Undirected
3491,47887,Undirected
3549,47887,Undirected
47887,6939,Undirected
47887,8426,Undirected
47887,8468,Undirected
47887,8492,Undirected
47887,8596,Undirected
47887,8732,Undirected
47887,9002,Undirected
47887,9189,Undirected
12779,47887,Undirected
12859,47887,Undirected
13237,47887,Undirected
20485,47887,Undirected
20640,47887,Undirected
24989,47887,Undirected
25091,47887,Undirected
25220,47887,Undirected
28917,47887,Undirected
29076,47887,Undirected
29140,47887,Undirected
29208,47887,Undirected
30844,47887,Undirected
31019,47887,Undirected
31025,47887,Undirected
31133,47887,Undirected
31500,47887,Undirected
33891,47887,Undirected
34288,47887,Undirected
35753,47887,Undirected
39792,47887,Undirected
39912,47887,Undirected
42708,47887,Undirected
40986,47887,Undirected
47887,48166,Undirected
3257,48832,Undirected
20,48832,Undirected
48832,60302,Undirected
48832,60838,Undirected
48832,60849,Undirected
202092,48832,Undirected
48832,59605,Undirected
50162,50597,Undirected
50162,50710,Undirected
1299,50670,Undirected
3356,50670,Undirected
3549,50670,Undirected
12975,50670,Undirected
100,51958,Undirected
15802,59451,Undirected
32787,59451,Undirected
20,60838,Undirected
3257,60849,Undirected
3491,60849,Undirected
50597,60849,Undirected
