Source,Target,Type
39214,8511,Undirected
41271,8511,Undirected
61010,8511,Undirected
12764,39214,Undirected
12764,44343,Undirected
12764,50873,Undirected
12764,56988,Undirected
12764,59430,Undirected
12764,35104,Undirected
12764,61010,Undirected
12997,9198,Undirected
12389,12997,Undirected
12997,8847,Undirected
12997,20485,Undirected
12997,24722,Undirected
12997,25035,Undirected
12997,48271,Undirected
12997,48887,Undirected
12997,50223,Undirected
12997,51346,Undirected
12997,43727,Undirected
25035,39819,Undirected
12695,29061,Undirected
29061,39819,Undirected
29061,50251,Undirected
29061,60188,Undirected
29061,61196,Undirected
29061,61010,Undirected
39214,8449,Undirected
41271,8449,Undirected
41329,8449,Undirected
35168,41329,Undirected
35104,41750,Undirected
41750,47782,Undirected
41750,50873,Undirected
41750,52214,Undirected
41750,61010,Undirected
35104,47237,Undirected
35168,47237,Undirected
47782,8449,Undirected
48271,8449,Undirected
50223,8449,Undirected
31133,50223,Undirected
35168,50223,Undirected
12389,57041,Undirected
28745,57041,Undirected
57096,8449,Undirected
57878,8449,Undirected
59430,8449,Undirected
59527,8449,Undirected
59527,59684,Undirected
43727,61010,Undirected
44604,61010,Undirected
61196,8449,Undirected
197118,20965,Undirected
197118,43030,Undirected
197118,51327,Undirected
197118,197119,Undirected
197118,41419,Undirected
