Source,Target,Type
55329,7712,Undirected
4739,9902,Undirected
4809,9902,Undirected
4826,9902,Undirected
6939,9902,Undirected
7660,9902,Undirected
9002,9902,Undirected
9304,9902,Undirected
9505,9902,Undirected
17726,9902,Undirected
17887,9902,Undirected
17981,9902,Undirected
23673,9902,Undirected
24441,9902,Undirected
38286,9902,Undirected
45498,9902,Undirected
45656,9902,Undirected
55636,9902,Undirected
55769,9902,Undirected
58424,9902,Undirected
58447,9902,Undirected
132590,9902,Undirected
18403,9902,Undirected
24218,9902,Undirected
38726,9902,Undirected
58453,9902,Undirected
17726,9304,Undirected
17726,23673,Undirected
17726,38286,Undirected
17726,38579,Undirected
17726,58447,Undirected
17976,55329,Undirected
17981,38235,Undirected
17981,45896,Undirected
18014,55329,Undirected
23673,42,Undirected
209,23673,Undirected
1239,23673,Undirected
1299,23673,Undirected
1836,23673,Undirected
23673,2518,Undirected
23673,2687,Undirected
23673,2706,Undirected
23673,2914,Undirected
23673,3491,Undirected
23673,3549,Undirected
23673,3661,Undirected
23673,3662,Undirected
23673,3741,Undirected
23673,3856,Undirected
23673,4040,Undirected
23673,4058,Undirected
23673,4382,Undirected
23673,4434,Undirected
23673,4515,Undirected
23673,4637,Undirected
23673,4641,Undirected
23673,4645,Undirected
23673,4651,Undirected
23673,4658,Undirected
23673,4739,Undirected
23673,4760,Undirected
23673,4761,Undirected
23673,4780,Undirected
23673,4788,Undirected
23673,4826,Undirected
23673,4862,Undirected
23673,6453,Undirected
23673,6619,Undirected
23673,6648,Undirected
23673,6660,Undirected
23673,6939,Undirected
23673,7479,Undirected
23673,7497,Undirected
23673,7540,Undirected
23673,7552,Undirected
23673,7598,Undirected
23673,7602,Undirected
23673,7610,Undirected
23673,7617,Undirected
23673,7660,Undirected
23673,7713,Undirected
23673,7862,Undirected
23673,8075,Undirected
23673,8304,Undirected
23673,9002,Undirected
23673,9221,Undirected
23673,9228,Undirected
23673,9229,Undirected
23673,9231,Undirected
23673,9253,Undirected
23673,9263,Undirected
23673,9264,Undirected
23673,9269,Undirected
23673,9293,Undirected
23673,9304,Undirected
23673,9381,Undirected
23673,9409,Undirected
23673,9498,Undirected
23673,9505,Undirected
23673,9513,Undirected
23673,9534,Undirected
23673,9535,Undirected
23673,9536,Undirected
23673,9584,Undirected
23673,9658,Undirected
23673,9729,Undirected
23673,9732,Undirected
23673,9785,Undirected
23673,9875,Undirected
23673,9905,Undirected
23673,9906,Undirected
23673,9908,Undirected
23673,9909,Undirected
23673,9924,Undirected
23673,9925,Undirected
23673,9957,Undirected
10026,23673,Undirected
10030,23673,Undirected
10032,23673,Undirected
10098,23673,Undirected
10099,23673,Undirected
10103,23673,Undirected
10118,23673,Undirected
10153,23673,Undirected
10205,23673,Undirected
10310,23673,Undirected
12678,23673,Undirected
13335,23673,Undirected
13414,23673,Undirected
13445,23673,Undirected
15133,23673,Undirected
15169,23673,Undirected
15695,23673,Undirected
17299,23673,Undirected
17444,23673,Undirected
17450,23673,Undirected
17451,23673,Undirected
17454,23673,Undirected
17537,23673,Undirected
17554,23673,Undirected
17579,23673,Undirected
17619,23673,Undirected
17657,23673,Undirected
17660,23673,Undirected
17666,23673,Undirected
17670,23673,Undirected
17671,23673,Undirected
17727,23673,Undirected
17814,23673,Undirected
17884,23673,Undirected
17888,23673,Undirected
17924,23673,Undirected
17934,23673,Undirected
17975,23673,Undirected
17990,23673,Undirected
17995,23673,Undirected
18056,23673,Undirected
18103,23673,Undirected
18106,23673,Undirected
18218,23673,Undirected
18366,23673,Undirected
18368,23673,Undirected
18382,23673,Undirected
18393,23673,Undirected
18403,23673,Undirected
20485,23673,Undirected
21859,23673,Undirected
22822,23673,Undirected
23576,23673,Undirected
23666,23673,Undirected
23673,23695,Undirected
23673,23709,Undirected
23673,23749,Undirected
23673,23756,Undirected
23673,23875,Undirected
23673,23881,Undirected
23673,23930,Undirected
23673,23944,Undirected
23673,23953,Undirected
23673,24028,Undirected
23673,24043,Undirected
23673,24077,Undirected
23673,24133,Undirected
23673,24151,Undirected
23673,24167,Undirected
23673,24200,Undirected
23673,24201,Undirected
23673,24204,Undirected
23673,24211,Undirected
23673,24213,Undirected
23673,24218,Undirected
23673,24334,Undirected
23673,24449,Undirected
23673,24482,Undirected
23673,24492,Undirected
23673,24521,Undirected
23673,24523,Undirected
23673,24526,Undirected
23673,24527,Undirected
23673,24528,Undirected
23673,24535,Undirected
23673,26178,Undirected
23673,26415,Undirected
23673,30094,Undirected
23673,31529,Undirected
23673,32787,Undirected
23673,36236,Undirected
23673,36351,Undirected
23673,36408,Undirected
23673,36692,Undirected
23673,38001,Undirected
23673,38040,Undirected
23673,38082,Undirected
23673,38148,Undirected
23673,38158,Undirected
23673,38165,Undirected
23673,38182,Undirected
23673,38186,Undirected
23673,38197,Undirected
23673,38235,Undirected
23673,38277,Undirected
23673,38320,Undirected
23673,38345,Undirected
23673,38478,Undirected
23673,38505,Undirected
23673,38524,Undirected
23673,38527,Undirected
23673,38574,Undirected
23673,38591,Undirected
23673,38603,Undirected
23673,38758,Undirected
23673,38778,Undirected
23673,38819,Undirected
23673,38896,Undirected
23673,41095,Undirected
23673,41913,Undirected
23673,43996,Undirected
23673,45147,Undirected
23673,45187,Undirected
23673,45287,Undirected
23673,45309,Undirected
23673,45352,Undirected
23673,45430,Undirected
23673,45474,Undirected
23673,45496,Undirected
23673,45498,Undirected
23673,45508,Undirected
23673,45561,Undirected
23673,45590,Undirected
23673,45629,Undirected
23673,45706,Undirected
23673,45707,Undirected
23673,45711,Undirected
23673,45727,Undirected
23673,45731,Undirected
23673,45753,Undirected
23673,45816,Undirected
23673,45849,Undirected
23673,45896,Undirected
23673,45910,Undirected
23673,45932,Undirected
23673,46023,Undirected
23673,46055,Undirected
23673,53727,Undirected
23673,55329,Undirected
23673,55350,Undirected
23673,55367,Undirected
23673,55369,Undirected
23673,55480,Undirected
23673,55536,Undirected
23673,55561,Undirected
23673,55569,Undirected
23673,55639,Undirected
23673,55653,Undirected
23673,55669,Undirected
23673,55685,Undirected
23673,55720,Undirected
23673,55945,Undirected
23673,55953,Undirected
23673,55967,Undirected
23673,56059,Undirected
23673,56088,Undirected
23673,56195,Undirected
23673,56233,Undirected
23673,56308,Undirected
23673,58376,Undirected
23673,58451,Undirected
23673,58453,Undirected
23673,58474,Undirected
23673,58627,Undirected
23673,58708,Undirected
23673,58779,Undirected
23673,58985,Undirected
23673,59214,Undirected
131188,23673,Undirected
131207,23673,Undirected
131685,23673,Undirected
132169,23673,Undirected
132203,23673,Undirected
132252,23673,Undirected
132499,23673,Undirected
132506,23673,Undirected
133070,23673,Undirected
133352,23673,Undirected
133380,23673,Undirected
133448,23673,Undirected
23673,38726,Undirected
24441,55329,Undirected
24478,38235,Undirected
24492,4739,Undirected
24492,4826,Undirected
24492,6939,Undirected
24492,7660,Undirected
24492,9002,Undirected
24492,9304,Undirected
18403,24492,Undirected
20485,24492,Undirected
24492,55559,Undirected
131331,24492,Undirected
132088,24492,Undirected
132098,24492,Undirected
132730,24492,Undirected
24492,38726,Undirected
24492,55554,Undirected
18403,38209,Undirected
38209,58465,Undirected
132730,38209,Undirected
38209,55329,Undirected
2914,38235,Undirected
38235,4739,Undirected
38235,4826,Undirected
38235,6939,Undirected
38235,7643,Undirected
38235,7660,Undirected
38235,9002,Undirected
38235,9304,Undirected
20485,38235,Undirected
24088,38235,Undirected
38235,38566,Undirected
38235,38608,Undirected
38235,45498,Undirected
38235,55440,Undirected
38235,59351,Undirected
132599,38235,Undirected
38235,55554,Undirected
38286,55329,Undirected
132080,38579,Undirected
38608,55329,Undirected
1273,38623,Undirected
38623,7552,Undirected
38623,9304,Undirected
132599,38623,Undirected
38901,55329,Undirected
2914,45348,Undirected
3491,45348,Undirected
45348,4739,Undirected
45348,4826,Undirected
45348,6939,Undirected
45348,7660,Undirected
45348,9002,Undirected
45348,9304,Undirected
45348,9505,Undirected
18403,45348,Undirected
20485,45348,Undirected
24088,45348,Undirected
45348,55636,Undirected
45429,45896,Undirected
45429,55329,Undirected
45498,55329,Undirected
45656,55329,Undirected
1299,55329,Undirected
3491,55329,Undirected
4739,55329,Undirected
4766,55329,Undirected
4826,55329,Undirected
55329,6939,Undirected
55329,7660,Undirected
55329,9002,Undirected
55329,9304,Undirected
55329,9498,Undirected
55329,9505,Undirected
18403,55329,Undirected
36351,55329,Undirected
133070,55329,Undirected
45796,55636,Undirected
55635,55636,Undirected
131207,55636,Undirected
4809,58424,Undirected
24218,58424,Undirected
38566,58465,Undirected
3491,59318,Undirected
4739,59318,Undirected
4826,59318,Undirected
4844,59318,Undirected
59318,6939,Undirected
59318,7660,Undirected
59318,9002,Undirected
59318,9304,Undirected
20485,59318,Undirected
36351,59318,Undirected
38726,59318,Undirected
131207,59318,Undirected
132132,59318,Undirected
59351,9441,Undirected
132730,59372,Undirected
131178,18403,Undirected
131178,132730,Undirected
131207,3491,Undirected
