Source,Target,Type
1103,3225,Undirected
1267,3225,Undirected
1299,3225,Undirected
3225,3741,Undirected
3225,6939,Undirected
3225,8359,Undirected
3225,8419,Undirected
3225,8422,Undirected
3225,8468,Undirected
12779,3225,Undirected
12859,3225,Undirected
13237,3225,Undirected
14537,3225,Undirected
19151,3225,Undirected
20485,3225,Undirected
25091,3225,Undirected
25122,3225,Undirected
25160,3225,Undirected
29208,3225,Undirected
29611,3225,Undirected
29636,3225,Undirected
30844,3225,Undirected
31133,3225,Undirected
31500,3225,Undirected
3225,33891,Undirected
3225,34288,Undirected
3225,36351,Undirected
3225,37100,Undirected
3225,39202,Undirected
3225,39792,Undirected
3225,41695,Undirected
3225,41811,Undirected
3225,42708,Undirected
3225,43531,Undirected
3225,47519,Undirected
3225,47589,Undirected
3225,49205,Undirected
3225,50300,Undirected
3225,56730,Undirected
3225,60992,Undirected
199869,3225,Undirected
202109,3225,Undirected
3225,6762,Undirected
15802,3225,Undirected
3225,39386,Undirected
3356,9155,Undirected
3549,9155,Undirected
6453,9155,Undirected
8781,9155,Undirected
16060,9155,Undirected
29029,9155,Undirected
29357,9155,Undirected
30033,9155,Undirected
39504,9155,Undirected
41890,9155,Undirected
42013,9155,Undirected
42028,9155,Undirected
42961,9155,Undirected
43184,9155,Undirected
45246,9155,Undirected
47589,9155,Undirected
49104,9155,Undirected
51914,9155,Undirected
56680,9155,Undirected
61089,9155,Undirected
196921,9155,Undirected
15412,9155,Undirected
39386,9155,Undirected
48237,9155,Undirected
21050,31488,Undirected
21050,39682,Undirected
21050,41890,Undirected
21050,42606,Undirected
21050,43158,Undirected
21050,43184,Undirected
21050,45246,Undirected
21050,50774,Undirected
21050,51080,Undirected
21050,52081,Undirected
21050,57719,Undirected
196635,21050,Undirected
196921,21050,Undirected
199729,21050,Undirected
201756,21050,Undirected
21050,43852,Undirected
1299,25122,Undirected
25122,3257,Undirected
25122,3356,Undirected
25122,3549,Undirected
24627,25122,Undirected
25242,43852,Undirected
29357,43852,Undirected
209,35181,Undirected
35181,6412,Undirected
10026,35181,Undirected
35181,43852,Undirected
39504,42781,Undirected
39682,42781,Undirected
15830,41669,Undirected
41669,43531,Undirected
41890,42781,Undirected
42642,42781,Undirected
42781,6412,Undirected
30033,42781,Undirected
42028,42781,Undirected
42781,43080,Undirected
42781,43158,Undirected
42781,43184,Undirected
42781,49104,Undirected
42781,50774,Undirected
42781,51080,Undirected
42781,52081,Undirected
42781,57278,Undirected
42781,57714,Undirected
42781,61089,Undirected
198019,42781,Undirected
199526,42781,Undirected
199616,42781,Undirected
42961,59605,Undirected
43852,553,Undirected
1267,43852,Undirected
1299,43852,Undirected
1764,43852,Undirected
3252,43852,Undirected
3303,43852,Undirected
43852,5580,Undirected
43852,6453,Undirected
43852,6939,Undirected
43852,8426,Undirected
43852,8468,Undirected
43852,8492,Undirected
43852,8596,Undirected
43852,8732,Undirected
43852,9002,Undirected
43852,9189,Undirected
12779,43852,Undirected
12859,43852,Undirected
13030,43852,Undirected
13237,43852,Undirected
20485,43852,Undirected
20640,43852,Undirected
24989,43852,Undirected
25091,43852,Undirected
25220,43852,Undirected
28917,43852,Undirected
29076,43852,Undirected
29140,43852,Undirected
29208,43852,Undirected
30844,43852,Undirected
31019,43852,Undirected
31025,43852,Undirected
31133,43852,Undirected
31500,43852,Undirected
34288,43852,Undirected
39792,43852,Undirected
39912,43852,Undirected
42708,43852,Undirected
43531,43852,Undirected
43852,44356,Undirected
43852,48166,Undirected
43852,48237,Undirected
43852,50384,Undirected
1299,47442,Undirected
47589,6412,Undirected
196921,6412,Undirected
198392,6412,Undirected
3225,8966,Undirected
13414,3225,Undirected
21050,35819,Undirected
43852,8781,Undirected
2635,43852,Undirected
