Source,Target,Type
3176,9051,Undirected
16130,3176,Undirected
3176,39010,Undirected
12376,9051,Undirected
12812,9051,Undirected
24634,9051,Undirected
34370,9051,Undirected
34741,9051,Undirected
39275,9051,Undirected
39868,9051,Undirected
47674,9051,Undirected
48740,9051,Undirected
49004,9051,Undirected
51938,9051,Undirected
58281,9051,Undirected
60406,9051,Undirected
61113,9051,Undirected
199643,9051,Undirected
30721,9051,Undirected
31198,9051,Undirected
42020,9051,Undirected
12812,31126,Undirected
16130,42020,Undirected
24634,24982,Undirected
24634,31126,Undirected
24634,61113,Undirected
197249,24634,Undirected
198867,24634,Undirected
24634,29286,Undirected
24634,30721,Undirected
24634,42020,Undirected
24982,39010,Undirected
29286,31126,Undirected
30721,31126,Undirected
31126,39918,Undirected
31126,51938,Undirected
31126,58281,Undirected
31126,62144,Undirected
31126,42020,Undirected
34708,39216,Undirected
34708,44217,Undirected
34741,42020,Undirected
35074,37148,Undirected
35074,37282,Undirected
3223,35197,Undirected
29686,35197,Undirected
35197,39743,Undirected
35197,42020,Undirected
38999,42020,Undirected
30721,39010,Undirected
31198,39010,Undirected
39010,39868,Undirected
39010,39918,Undirected
39010,41211,Undirected
39010,43056,Undirected
39010,44189,Undirected
196856,39010,Undirected
196917,39010,Undirected
39010,42020,Undirected
39402,42020,Undirected
30721,41833,Undirected
41833,42020,Undirected
42003,42020,Undirected
174,42020,Undirected
3356,42020,Undirected
3491,42020,Undirected
3549,42020,Undirected
42020,6453,Undirected
42020,42183,Undirected
42020,42334,Undirected
42020,42852,Undirected
42020,43019,Undirected
42020,43056,Undirected
42020,43824,Undirected
42020,44189,Undirected
42020,47935,Undirected
42020,48847,Undirected
42020,51558,Undirected
42020,57256,Undirected
42020,57513,Undirected
42020,59931,Undirected
42020,59989,Undirected
42020,60372,Undirected
42020,60398,Undirected
42020,60999,Undirected
198867,42334,Undirected
42852,58281,Undirected
29686,47935,Undirected
48847,57256,Undirected
50285,52036,Undirected
51910,701,Undirected
51910,702,Undirected
3356,51910,Undirected
3549,51910,Undirected
51910,6461,Undirected
37100,51910,Undirected
37631,51910,Undirected
174,56530,Undirected
3356,56530,Undirected
3549,56530,Undirected
174,57937,Undirected
25577,57937,Undirected
3223,59989,Undirected
39743,59989,Undirected
197674,3491,Undirected
198727,35568,Undirected
