Source,Target,Type
15955,174,Undirected
15955,6830,Undirected
15955,48362,Undirected
174,20634,Undirected
20634,251,Undirected
20634,513,Undirected
1103,20634,Undirected
1267,20634,Undirected
20634,3252,Undirected
20634,3267,Undirected
20634,3303,Undirected
20634,3320,Undirected
20634,3333,Undirected
20634,3356,Undirected
20634,3549,Undirected
20634,4589,Undirected
20634,5580,Undirected
20634,6667,Undirected
20634,6939,Undirected
20634,8283,Undirected
20634,8359,Undirected
20634,8447,Undirected
20634,8468,Undirected
20634,8492,Undirected
20634,8758,Undirected
20634,9002,Undirected
20634,9304,Undirected
12350,20634,Undirected
12637,20634,Undirected
12779,20634,Undirected
12859,20634,Undirected
12989,20634,Undirected
13237,20634,Undirected
15435,20634,Undirected
19151,20634,Undirected
20080,20634,Undirected
20562,20634,Undirected
20612,20634,Undirected
20634,20932,Undirected
20634,25091,Undirected
20634,25160,Undirected
20634,25220,Undirected
20634,28917,Undirected
20634,29140,Undirected
20634,29208,Undirected
20634,30132,Undirected
20634,30844,Undirected
20634,31019,Undirected
20634,31133,Undirected
20634,31500,Undirected
20634,34288,Undirected
20634,37100,Undirected
20634,39145,Undirected
20634,39326,Undirected
20634,39792,Undirected
20634,42708,Undirected
20634,48166,Undirected
20634,48362,Undirected
20634,50300,Undirected
20634,50304,Undirected
20634,50763,Undirected
20634,51185,Undirected
20634,57210,Undirected
198288,20634,Undirected
200130,20634,Undirected
202018,20634,Undirected
21113,6730,Undirected
21113,8447,Undirected
1764,35223,Undirected
3257,35223,Undirected
35223,5385,Undirected
35223,6939,Undirected
35223,8218,Undirected
35223,9002,Undirected
12350,35223,Undirected
12387,35223,Undirected
20932,35223,Undirected
25091,35223,Undirected
29222,35223,Undirected
34288,35223,Undirected
35223,49652,Undirected
3303,35535,Undirected
12387,35535,Undirected
3257,39145,Undirected
39145,6939,Undirected
39145,9002,Undirected
12350,39145,Undirected
12387,39145,Undirected
20932,39145,Undirected
34288,39145,Undirected
39145,48362,Undirected
174,42162,Undirected
42162,6830,Undirected
42162,48362,Undirected
12387,49652,Undirected
56653,8447,Undirected
12387,56653,Undirected
12387,57210,Undirected
12387,59748,Undirected
174,196734,Undirected
196734,3356,Undirected
196734,3549,Undirected
198288,48362,Undirected
198288,34919,Undirected
198412,5577,Undirected
198412,6939,Undirected
198412,7604,Undirected
198412,8492,Undirected
15003,198412,Undirected
16154,198412,Undirected
198412,20836,Undirected
198412,22356,Undirected
198412,25761,Undirected
198412,36236,Undirected
198412,36446,Undirected
198412,36943,Undirected
198412,42708,Undirected
198412,47720,Undirected
198412,49634,Undirected
198412,57463,Undirected
198412,58436,Undirected
198412,61163,Undirected
198412,62588,Undirected
132335,198412,Undirected
13414,20634,Undirected
20634,20940,Undirected
10310,20634,Undirected
15169,20634,Undirected
20634,8075,Undirected
198288,58119,Undirected
