Source,Target,Type
2603,2847,Undirected
2847,5479,Undirected
2847,44358,Undirected
2847,48053,Undirected
2847,51172,Undirected
20965,2847,Undirected
1299,5377,Undirected
3356,5377,Undirected
3549,5377,Undirected
5377,9207,Undirected
37371,5377,Undirected
13194,5479,Undirected
5522,8764,Undirected
174,6769,Undirected
15911,6769,Undirected
44198,6769,Undirected
50610,6769,Undirected
196852,6769,Undirected
198651,6769,Undirected
8314,8764,Undirected
553,8764,Undirected
1103,8764,Undirected
1267,8764,Undirected
1299,8764,Undirected
1764,8764,Undirected
3216,8764,Undirected
3252,8764,Undirected
3257,8764,Undirected
3267,8764,Undirected
3333,8764,Undirected
6777,8764,Undirected
6939,8764,Undirected
8218,8764,Undirected
8283,8764,Undirected
8359,8764,Undirected
8426,8764,Undirected
8447,8764,Undirected
8468,8764,Undirected
8492,8764,Undirected
8596,8764,Undirected
8764,9002,Undirected
8764,9189,Undirected
8764,9304,Undirected
10026,8764,Undirected
12350,8764,Undirected
12637,8764,Undirected
12779,8764,Undirected
12859,8764,Undirected
12989,8764,Undirected
13237,8764,Undirected
15435,8764,Undirected
15440,8764,Undirected
15908,8764,Undirected
15995,8764,Undirected
19151,8764,Undirected
20080,8764,Undirected
20562,8764,Undirected
20640,8764,Undirected
20764,8764,Undirected
20932,8764,Undirected
21031,8764,Undirected
21412,8764,Undirected
24852,8764,Undirected
24984,8764,Undirected
24989,8764,Undirected
25091,8764,Undirected
25160,8764,Undirected
25190,8764,Undirected
25220,8764,Undirected
28917,8764,Undirected
29076,8764,Undirected
29140,8764,Undirected
29208,8764,Undirected
30132,8764,Undirected
30721,8764,Undirected
30775,8764,Undirected
30844,8764,Undirected
30944,8764,Undirected
31019,8764,Undirected
31025,8764,Undirected
31114,8764,Undirected
31133,8764,Undirected
31500,8764,Undirected
33891,8764,Undirected
34037,8764,Undirected
34120,8764,Undirected
34288,8764,Undirected
34326,8764,Undirected
34842,8764,Undirected
34961,8764,Undirected
35407,8764,Undirected
36351,8764,Undirected
37100,8764,Undirected
39007,8764,Undirected
39792,8764,Undirected
39912,8764,Undirected
41095,8764,Undirected
41228,8764,Undirected
41506,8764,Undirected
41692,8764,Undirected
42549,8764,Undirected
42675,8764,Undirected
42708,8764,Undirected
42887,8764,Undirected
43811,8764,Undirected
44198,8764,Undirected
44953,8764,Undirected
47205,8764,Undirected
47247,8764,Undirected
47512,8764,Undirected
48166,8764,Undirected
49602,8764,Undirected
50065,8764,Undirected
50300,8764,Undirected
50304,8764,Undirected
50763,8764,Undirected
51172,8764,Undirected
51185,8764,Undirected
51719,8764,Undirected
51802,8764,Undirected
57289,8764,Undirected
59821,8764,Undirected
60121,8764,Undirected
62203,8764,Undirected
197225,8764,Undirected
198345,8764,Undirected
198622,8764,Undirected
198651,8764,Undirected
199527,8764,Undirected
200130,8764,Undirected
201959,8764,Undirected
202018,8764,Undirected
202085,8764,Undirected
12578,8764,Undirected
13030,8764,Undirected
16265,8764,Undirected
20485,8764,Undirected
50384,8764,Undirected
8892,9002,Undirected
43700,8892,Undirected
12539,12578,Undirected
12578,12587,Undirected
13194,553,Undirected
1267,13194,Undirected
13194,1764,Undirected
13194,2603,Undirected
13194,3252,Undirected
