Source,Target,Type
2602,6939,Undirected
13237,2602,Undirected
2602,26415,Undirected
2602,42909,Undirected
2602,3356,Undirected
2602,5577,Undirected
20965,2602,Undirected
174,3347,Undirected
3347,6939,Undirected
3347,3549,Undirected
3347,6661,Undirected
174,5577,Undirected
5577,8632,Undirected
29608,5577,Undirected
34769,5577,Undirected
41095,5577,Undirected
49624,5577,Undirected
50763,5577,Undirected
51405,5577,Undirected
51430,5577,Undirected
53667,5577,Undirected
54456,5577,Undirected
5577,60778,Undirected
198412,5577,Undirected
46786,5577,Undirected
174,6661,Undirected
251,6661,Undirected
553,6661,Undirected
6661,680,Undirected
1103,6661,Undirected
1267,6661,Undirected
1764,6661,Undirected
2497,6661,Undirected
2914,6661,Undirected
3216,6661,Undirected
3252,6661,Undirected
3257,6661,Undirected
3267,6661,Undirected
3292,6661,Undirected
3303,6661,Undirected
3320,6661,Undirected
3333,6661,Undirected
3741,6661,Undirected
4589,6661,Undirected
4739,6661,Undirected
5580,6661,Undirected
6661,6667,Undirected
6661,6730,Undirected
6661,6891,Undirected
6661,6939,Undirected
6661,8283,Undirected
6661,8359,Undirected
6661,8419,Undirected
6661,8426,Undirected
6661,8447,Undirected
6661,8468,Undirected
6661,8492,Undirected
6661,8596,Undirected
6661,8607,Undirected
6661,9002,Undirected
6661,9008,Undirected
6661,9189,Undirected
6661,9304,Undirected
10026,6661,Undirected
11245,6661,Undirected
11666,6661,Undirected
12350,6661,Undirected
12637,6661,Undirected
12684,6661,Undirected
12779,6661,Undirected
12859,6661,Undirected
12874,6661,Undirected
12989,6661,Undirected
13030,6661,Undirected
13237,6661,Undirected
14537,6661,Undirected
15435,6661,Undirected
19151,6661,Undirected
20080,6661,Undirected
20501,6661,Undirected
20562,6661,Undirected
20640,6661,Undirected
20932,6661,Undirected
21179,6661,Undirected
21484,6661,Undirected
24611,6661,Undirected
24989,6661,Undirected
25091,6661,Undirected
25160,6661,Undirected
25220,6661,Undirected
25367,6661,Undirected
28917,6661,Undirected
29076,6661,Undirected
29140,6661,Undirected
29208,6661,Undirected
29608,6661,Undirected
29611,6661,Undirected
29636,6661,Undirected
29686,6661,Undirected
30132,6661,Undirected
30844,6661,Undirected
31019,6661,Undirected
31025,6661,Undirected
31133,6661,Undirected
31500,6661,Undirected
34288,6661,Undirected
34683,6661,Undirected
36351,6661,Undirected
37100,6661,Undirected
39202,6661,Undirected
39792,6661,Undirected
39912,6661,Undirected
41095,6661,Undirected
41695,6661,Undirected
41811,6661,Undirected
43719,6661,Undirected
43751,6661,Undirected
44295,6661,Undirected
44708,6661,Undirected
47137,6661,Undirected
47557,6661,Undirected
47944,6661,Undirected
48166,6661,Undirected
49814,6661,Undirected
50300,6661,Undirected
50304,6661,Undirected
50763,6661,Undirected
51185,6661,Undirected
51497,6661,Undirected
56730,6661,Undirected
57205,6661,Undirected
57935,6661,Undirected
60319,6661,Undirected
198015,6661,Undirected
198191,6661,Undirected
198290,6661,Undirected
198664,6661,Undirected
200130,6661,Undirected
201441,6661,Undirected
201973,6661,Undirected
202018,6661,Undirected
202109,6661,Undirected
16265,6661,Undirected
174,8632,Undirected
553,8632,Undirected
1103,8632,Undirected
1267,8632,Undirected
1764,8632,Undirected
3252,8632,Undirected
3267,8632,Undirected
3333,8632,Undirected
4589,8632,Undirected
6939,8632,Undirected
8283,8632,Undirected
8359,8632,Undirected
8468,8632,Undirected
8492,8632,Undirected
8596,8632,Undirected
8632,9002,Undirected
8632,9189,Undirected
8632,9304,Undirected
12637,8632,Undirected
12779,8632,Undirected
12859,8632,Undirected
12989,8632,Undirected
13030,8632,Undirected
13237,8632,Undirected
15435,8632,Undirected
20080,8632,Undirected
20485,8632,Undirected
20562,8632,Undirected
20640,8632,Undirected
20932,8632,Undirected
24989,8632,Undirected
25091,8632,Undirected
25220,8632,Undirected
28917,8632,Undirected
29076,8632,Undirected
29140,8632,Undirected
30132,8632,Undirected
30844,8632,Undirected
31019,8632,Undirected
31025,8632,Undirected
31133,8632,Undirected
34288,8632,Undirected
37100,8632,Undirected
39792,8632,Undirected
39912,8632,Undirected
50300,8632,Undirected
50304,8632,Undirected
50763,8632,Undirected
51185,8632,Undirected
200130,8632,Undirected
202018,8632,Undirected
48968,9008,Undirected
12684,174,Undirected
12684,1299,Undirected
12684,2914,Undirected
12684,3320,Undirected
12684,3491,Undirected
12684,6939,Undirected
12684,9304,Undirected
12684,20485,Undirected
12684,29608,Undirected
12684,31019,Undirected
12684,34288,Undirected
12684,41692,Undirected
12684,48166,Undirected
