Source,Target,Type
45204,4850,Undirected
55805,9484,Undirected
45204,9789,Undirected
45204,9934,Undirected
55805,9934,Undirected
58439,9934,Undirected
10076,45204,Undirected
10109,45204,Undirected
10219,56194,Undirected
10219,45204,Undirected
17882,55408,Undirected
17882,45204,Undirected
20485,24320,Undirected
24496,45204,Undirected
24559,45204,Undirected
38008,45204,Undirected
38038,45204,Undirected
38051,45204,Undirected
38218,55805,Undirected
38805,45204,Undirected
38818,45204,Undirected
38869,45204,Undirected
174,45204,Undirected
45204,553,Undirected
1103,45204,Undirected
1267,45204,Undirected
1764,45204,Undirected
3252,45204,Undirected
3267,45204,Undirected
3333,45204,Undirected
3356,45204,Undirected
45204,6777,Undirected
45204,6939,Undirected
45204,8283,Undirected
45204,8359,Undirected
45204,8426,Undirected
45204,8447,Undirected
45204,8468,Undirected
45204,8492,Undirected
45204,8596,Undirected
45204,9002,Undirected
45204,9189,Undirected
45204,9304,Undirected
10026,45204,Undirected
12637,45204,Undirected
12779,45204,Undirected
12859,45204,Undirected
12989,45204,Undirected
13030,45204,Undirected
13237,45204,Undirected
15435,45204,Undirected
20080,45204,Undirected
20485,45204,Undirected
20562,45204,Undirected
20640,45204,Undirected
20764,45204,Undirected
20932,45204,Undirected
24989,45204,Undirected
25091,45204,Undirected
25160,45204,Undirected
25220,45204,Undirected
28917,45204,Undirected
29076,45204,Undirected
29140,45204,Undirected
29208,45204,Undirected
30132,45204,Undirected
30844,45204,Undirected
31019,45204,Undirected
31025,45204,Undirected
31133,45204,Undirected
31500,45204,Undirected
33891,45204,Undirected
34288,45204,Undirected
36351,45204,Undirected
37100,45204,Undirected
39792,45204,Undirected
39912,45204,Undirected
42708,45204,Undirected
44953,45204,Undirected
45204,45237,Undirected
45204,48166,Undirected
45204,50300,Undirected
45204,50304,Undirected
45204,50763,Undirected
45204,51185,Undirected
45204,55342,Undirected
45204,55801,Undirected
45204,55805,Undirected
45204,56293,Undirected
45204,58598,Undirected
45204,58625,Undirected
45204,58726,Undirected
45204,59354,Undirected
133453,45204,Undirected
200130,45204,Undirected
202018,45204,Undirected
45509,55805,Undirected
174,55805,Undirected
4809,55805,Undirected
36408,55805,Undirected
55805,58406,Undirected
56301,58439,Undirected
4809,58439,Undirected
133177,58439,Undirected
16625,45204,Undirected
16509,45204,Undirected
20940,45204,Undirected
2635,45204,Undirected
31377,45204,Undirected
