Source,Target,Type
48768,5532,Undirected
49069,5532,Undirected
51840,5532,Undirected
5532,57435,Undirected
15735,5532,Undirected
15735,8889,Undirected
1267,12709,Undirected
12709,1299,Undirected
12709,3356,Undirected
12709,3549,Undirected
12046,12709,Undirected
12709,34558,Undirected
12709,35134,Undirected
12709,51166,Undirected
12709,57567,Undirected
12709,200127,Undirected
12709,33874,Undirected
15735,6762,Undirected
15735,8928,Undirected
15735,15892,Undirected
15735,20521,Undirected
15735,34410,Undirected
15735,34558,Undirected
15735,35356,Undirected
15735,42108,Undirected
12046,15892,Undirected
14537,20521,Undirected
20521,35713,Undirected
20521,43937,Undirected
20521,44646,Undirected
20521,47171,Undirected
20521,56805,Undirected
20521,57150,Undirected
20521,33874,Undirected
29387,33874,Undirected
1267,33874,Undirected
1273,33874,Undirected
33874,35134,Undirected
33874,42108,Undirected
33874,49069,Undirected
33874,51840,Undirected
174,35669,Undirected
3257,35669,Undirected
3320,35669,Undirected
35669,38930,Undirected
32787,47171,Undirected
174,196640,Undirected
1103,196640,Undirected
1267,196640,Undirected
1764,196640,Undirected
196640,3252,Undirected
196640,3267,Undirected
196640,3333,Undirected
196640,6777,Undirected
196640,6939,Undirected
196640,8283,Undirected
196640,8359,Undirected
196640,8447,Undirected
196640,8455,Undirected
196640,8468,Undirected
196640,8492,Undirected
196640,9002,Undirected
196640,9304,Undirected
10026,196640,Undirected
11039,196640,Undirected
11666,196640,Undirected
12637,196640,Undirected
12779,196640,Undirected
12859,196640,Undirected
12989,196640,Undirected
13237,196640,Undirected
13618,196640,Undirected
16559,196640,Undirected
16735,196640,Undirected
196640,20080,Undirected
196640,20562,Undirected
196640,20932,Undirected
196640,25091,Undirected
196640,25160,Undirected
196640,25220,Undirected
196640,28917,Undirected
196640,29140,Undirected
196640,29208,Undirected
196640,30132,Undirected
196640,30844,Undirected
196640,31019,Undirected
196640,31133,Undirected
196640,31500,Undirected
196640,33891,Undirected
196640,34288,Undirected
196640,36351,Undirected
196640,37100,Undirected
196640,39792,Undirected
196640,43531,Undirected
196640,44953,Undirected
196640,48166,Undirected
196640,50300,Undirected
196640,50304,Undirected
196640,50763,Undirected
196640,51185,Undirected
196640,200130,Undirected
196640,202018,Undirected
15830,197103,Undirected
174,199926,Undirected
1299,199926,Undirected
