Source,Target,Type
174,7642,Undirected
1103,7642,Undirected
1267,7642,Undirected
3491,7642,Undirected
3741,7642,Undirected
4739,7642,Undirected
4826,7642,Undirected
4844,7642,Undirected
6762,7642,Undirected
6939,7642,Undirected
7642,8359,Undirected
7642,8419,Undirected
7642,8422,Undirected
7642,8468,Undirected
12779,7642,Undirected
12859,7642,Undirected
13237,7642,Undirected
14537,7642,Undirected
19151,7642,Undirected
20485,7642,Undirected
20562,7642,Undirected
25091,7642,Undirected
25160,7642,Undirected
29208,7642,Undirected
29611,7642,Undirected
29636,7642,Undirected
30844,7642,Undirected
31133,7642,Undirected
31500,7642,Undirected
33891,7642,Undirected
34288,7642,Undirected
37100,7642,Undirected
39202,7642,Undirected
39792,7642,Undirected
41695,7642,Undirected
41811,7642,Undirected
42708,7642,Undirected
43531,7642,Undirected
50300,7642,Undirected
56730,7642,Undirected
132132,7642,Undirected
202109,7642,Undirected
7642,9329,Undirected
16265,7642,Undirected
24016,3356,Undirected
24016,3549,Undirected
15412,24016,Undirected
24016,57731,Undirected
3491,55944,Undirected
55944,7473,Undirected
55944,8781,Undirected
55944,9498,Undirected
45224,55944,Undirected
2635,7642,Undirected
13414,7642,Undirected
15169,7642,Undirected
10310,7642,Undirected
54888,7642,Undirected
