Source,Target,Type
30619,5713,Undirected
30619,8928,Undirected
25139,30619,Undirected
30619,36945,Undirected
30619,36969,Undirected
30619,36986,Undirected
30619,37436,Undirected
30619,37100,Undirected
30619,37662,Undirected
31960,37100,Undirected
32017,42235,Undirected
36865,37100,Undirected
12491,37047,Undirected
29614,37047,Undirected
37110,37477,Undirected
37110,42235,Undirected
3491,37139,Undirected
25139,37223,Undirected
36994,37223,Undirected
10798,37223,Undirected
1299,37342,Undirected
37342,6453,Undirected
37342,9498,Undirected
37100,37436,Undirected
25139,37477,Undirected
37100,37489,Undirected
3491,37509,Undirected
37100,37556,Undirected
37100,37697,Undirected
327759,42235,Undirected
3741,42235,Undirected
30619,6453,Undirected
